dataset,metric,metric_error,metric_error_val,batch_size,lora_alpha,lora_dropout,lora_lr,lora_rank,lr,token_dim,weight_decay,num_epochs
blood-transfusion-service-center,roc_auc,0.2800877192982456,0.2555976806422837,512,64,0.071630433393905,0.000317228561912626,32,0.0005338528208876639,32.0,1.3039960606998157e-06,
QSAR_fish_toxicity,rmse,1.4239345329348108,1.5065963858999025,512,64,0.071630433393905,0.000317228561912626,32,0.0005338528208876639,32.0,1.3039960606998157e-06,
concrete_compressive_strength,rmse,13.348961826178998,14.804631797890746,512,64,0.071630433393905,0.000317228561912626,32,0.0005338528208876639,32.0,1.3039960606998157e-06,
airfoil_self_noise,rmse,6.748878485734406,6.963614887500328,512,64,0.071630433393905,0.000317228561912626,32,0.0005338528208876639,32.0,1.3039960606998157e-06,
credit-g,roc_auc,0.20431623931623932,0.22353004291845502,512,64,0.071630433393905,0.000317228561912626,32,0.0005338528208876639,32.0,1.3039960606998157e-06,
diabetes,roc_auc,0.19431057563587684,0.1882527080670121,512,64,0.071630433393905,0.000317228561912626,32,0.0005338528208876639,32.0,1.3039960606998157e-06,
maternal_health_risk,log_loss,0.6889037760747072,0.6862342994293531,512,64,0.071630433393905,0.000317228561912626,32,0.0005338528208876639,32.0,1.3039960606998157e-06,
anneal,log_loss,0.13379779995785446,0.10924962527167839,512,64,0.071630433393905,0.000317228561912626,32,0.0005338528208876639,32.0,1.3039960606998157e-06,
blood-transfusion-service-center,roc_auc,0.2825438596491229,0.25023416592328285,128,32,0.16885314971620347,0.0005198657849887131,32,0.0007035737028722148,32.0,1.4228041454890752e-05,
QSAR_fish_toxicity,rmse,1.3677247897385252,1.508798325709249,128,32,0.16885314971620347,0.0005198657849887131,32,0.0007035737028722148,32.0,1.4228041454890752e-05,
concrete_compressive_strength,rmse,10.20578704487256,11.788155409137914,128,32,0.16885314971620347,0.0005198657849887131,32,0.0007035737028722148,32.0,1.4228041454890752e-05,
Amazon_employee_access,roc_auc,0.2580848264859672,0.3212007582879408,128,32,0.16885314971620347,0.0005198657849887131,32,0.0007035737028722148,32.0,1.4228041454890752e-05,
airfoil_self_noise,rmse,4.704501921318944,5.435158952489475,128,32,0.16885314971620347,0.0005198657849887131,32,0.0007035737028722148,32.0,1.4228041454890752e-05,
credit-g,roc_auc,0.20166666666666666,0.2290557939914163,128,32,0.16885314971620347,0.0005198657849887131,32,0.0007035737028722148,32.0,1.4228041454890752e-05,
diabetes,roc_auc,0.18748326639892898,0.1845522438269529,128,32,0.16885314971620347,0.0005198657849887131,32,0.0007035737028722148,32.0,1.4228041454890752e-05,
maternal_health_risk,log_loss,0.668465371176477,0.6643247372305353,128,32,0.16885314971620347,0.0005198657849887131,32,0.0007035737028722148,32.0,1.4228041454890752e-05,
qsar-biodeg,roc_auc,0.107656796624229,0.07221575616498144,128,32,0.16885314971620347,0.0005198657849887131,32,0.0007035737028722148,32.0,1.4228041454890752e-05,
anneal,log_loss,0.06033241371211255,0.04771342551037817,128,32,0.16885314971620347,0.0005198657849887131,32,0.0007035737028722148,32.0,1.4228041454890752e-05,
blood-transfusion-service-center,roc_auc,0.26526315789473687,0.2386262265834076,512,16,0.19273255210020587,5.8463261216434157e-05,16,0.004210536704211819,16.0,5.059803874660435e-05,
QSAR_fish_toxicity,rmse,1.433755821488158,1.4168848503160953,512,16,0.19273255210020587,5.8463261216434157e-05,16,0.004210536704211819,16.0,5.059803874660435e-05,
concrete_compressive_strength,rmse,12.343395936615304,13.711686366352115,512,16,0.19273255210020587,5.8463261216434157e-05,16,0.004210536704211819,16.0,5.059803874660435e-05,
Amazon_employee_access,roc_auc,0.21068043356060173,0.2713704627603686,512,16,0.19273255210020587,5.8463261216434157e-05,16,0.004210536704211819,16.0,5.059803874660435e-05,
airfoil_self_noise,rmse,6.051320202571236,6.459895661971447,512,16,0.19273255210020587,5.8463261216434157e-05,16,0.004210536704211819,16.0,5.059803874660435e-05,
credit-g,roc_auc,0.21303418803418794,0.22266094420600857,512,16,0.19273255210020587,5.8463261216434157e-05,16,0.004210536704211819,16.0,5.059803874660435e-05,
diabetes,roc_auc,0.17958500669344035,0.17911928951086598,512,16,0.19273255210020587,5.8463261216434157e-05,16,0.004210536704211819,16.0,5.059803874660435e-05,
maternal_health_risk,log_loss,0.7123599851776978,0.7284082610686236,512,16,0.19273255210020587,5.8463261216434157e-05,16,0.004210536704211819,16.0,5.059803874660435e-05,
