dataset,metric,metric_error,metric_error_val,batch_size,lora_alpha,lora_dropout,lora_lr,lora_rank,lr,token_dim,weight_decay,num_epochs
Amazon_employee_access,roc_auc,0.17276286948531894,0.23446171331515142,256,32,0.10747464588980214,0.00032902678102626607,16,0.0006750312521595928,32.0,3.622405211455963e-06,
QSAR_fish_toxicity,rmse,1.1544346967104393,1.2212994607430794,128,32,0.08998999798224552,0.00016831658680991382,8,0.00248463381689824,32.0,0.0008117591698634135,
airfoil_self_noise,rmse,4.704501921318944,5.435158952489475,128,32,0.16885314971620347,0.0005198657849887131,32,0.0007035737028722148,32.0,1.4228041454890752e-05,
anneal,log_loss,0.04810216832784216,0.0334227669705895,128,32,0.08998999798224552,0.00016831658680991382,8,0.00248463381689824,32.0,0.0008117591698634135,
blood-transfusion-service-center,roc_auc,0.26526315789473687,0.2386262265834076,512,16,0.19273255210020587,5.8463261216434157e-05,16,0.004210536704211819,16.0,5.059803874660435e-05,
concrete_compressive_strength,rmse,10.20578704487256,11.788155409137914,128,32,0.16885314971620347,0.0005198657849887131,32,0.0007035737028722148,32.0,1.4228041454890752e-05,
credit-g,roc_auc,0.19491452991452995,0.21793454935622314,128,32,0.08998999798224552,0.00016831658680991382,8,0.00248463381689824,32.0,0.0008117591698634135,
diabetes,roc_auc,0.16820615796519411,0.18466157572495456,128,64,0.03179391672910394,1.6624564693643617e-05,8,0.0004309267799258763,32.0,3.888186473153664e-06,
maternal_health_risk,log_loss,0.5888330888732699,0.5793637619328953,128,32,0.08998999798224552,0.00016831658680991382,8,0.00248463381689824,32.0,0.0008117591698634135,
qsar-biodeg,roc_auc,0.09983049013596856,0.0982896268276714,256,32,0.1,0.0001,8,0.001,,1e-05,200.0
