dataset,tid,metric,metric_error,metric_error_val,batch_size,lora_alpha,lora_dropout,lora_lr,lora_rank,max_length,weight_decay,model_name,num_epochs,eval_batch_size,patience
blood-transfusion-service-center,363621,roc_auc,0.33346491228070174,0.29751338090990187,64,16,0.059506921308894456,1.2984521643751782e-05,4,256,2.710162626224752e-05,,,,
diabetes,363629,roc_auc,0.47510040160642575,0.472439951557559,64,16,0.059506921308894456,1.2984521643751782e-05,4,256,2.710162626224752e-05,,,,
anneal,363614,log_loss,0.06682892359388085,0.046154625578676244,128,64,0.0875174422525385,0.0006074996073425694,4,128,6.576107192827545e-06,,,,
blood-transfusion-service-center,363621,roc_auc,0.33280701754385955,0.33365298840321134,128,64,0.11360891221878647,0.0007098936257405903,8,256,1.8255254802399014e-06,,,,
diabetes,363629,roc_auc,0.20779785809906282,0.18128910717890068,128,64,0.11360891221878647,0.0007098936257405903,8,256,1.8255254802399014e-06,,,,
anneal,363614,log_loss,0.056527176678960366,0.03266082255597821,128,64,0.16243374575509864,9.119149691664954e-05,8,128,0.0005981221901152554,,,,
blood-transfusion-service-center,363621,roc_auc,0.3035964912280702,0.2640499553969671,128,16,0.1665239691095876,0.00036000911929116066,32,256,0.0008626905220714901,,,,
diabetes,363629,roc_auc,0.26439089692101747,0.24153939312386463,128,16,0.1665239691095876,0.00036000911929116066,32,256,0.0008626905220714901,,,,
anneal,363614,log_loss,0.11551358390226639,0.05997775315650798,128,16,0.017425859940308142,1.0975815419380153e-05,32,128,0.0007438159327920407,,,,
blood-transfusion-service-center,363621,roc_auc,0.33008771929824565,0.29510481712756476,64,32,0.13952623918545298,1.3196262418422203e-05,32,256,0.0001027811822415701,,,,
diabetes,363629,roc_auc,0.44497991967871486,0.4305910650608894,64,32,0.13952623918545298,1.3196262418422203e-05,32,256,0.0001027811822415701,,,,
blood-transfusion-service-center,363621,roc_auc,0.2796491228070175,0.27933764495985725,64,32,0.16885314971620347,0.0005198657849887131,32,512,7.424908231815009e-05,,,,
diabetes,363629,roc_auc,0.20669344042838023,0.20995088474735923,64,32,0.16885314971620347,0.0005198657849887131,32,512,7.424908231815009e-05,,,,
anneal,363614,log_loss,0.05233641681937137,0.02516390555949676,64,32,0.16885314971620347,0.0005198657849887131,32,128,1.8662266976517965e-05,,,,
blood-transfusion-service-center,363621,roc_auc,0.2907017543859649,0.27690677966101696,64,64,0.02578525953097066,4.274218324036843e-05,8,256,5.1355896065002253e-05,,,,
diabetes,363629,roc_auc,0.30066934404283796,0.3122603108389962,64,64,0.02578525953097066,4.274218324036843e-05,8,256,5.1355896065002253e-05,,,,
blood-transfusion-service-center,363621,roc_auc,0.29438596491228075,0.28230374665477254,128,32,0.1889337834099168,0.00011058510725696446,4,512,6.218230782016855e-06,,,,
diabetes,363629,roc_auc,0.305421686746988,0.269561999596313,128,32,0.1889337834099168,0.00011058510725696446,4,512,6.218230782016855e-06,,,,
anneal,363614,log_loss,0.0578494026934722,0.022175333139773597,128,64,0.14412653094518335,0.0001458947231236184,8,128,0.0006823493012435792,,,,
blood-transfusion-service-center,363621,roc_auc,0.28535087719298247,0.2794491525423729,64,16,0.1233867993749514,0.0007717846862118063,8,256,1.1981845126013873e-05,,,,
diabetes,363629,roc_auc,0.21238286479250335,0.1857969454349726,64,16,0.1233867993749514,0.0007717846862118063,8,256,1.1981845126013873e-05,,,,
anneal,363614,log_loss,0.07454145761152743,0.02149106390452224,64,64,0.027043634681090414,4.4492008916629506e-05,8,128,6.859416411328693e-05,,,,
blood-transfusion-service-center,363621,roc_auc,0.2793859649122806,0.2656779661016949,128,64,0.09123006644330972,0.0001370464839284902,4,256,7.126995609048586e-05,,,,
diabetes,363629,roc_auc,0.2517402945113788,0.2665175267442643,128,64,0.09123006644330972,0.0001370464839284902,4,256,7.126995609048586e-05,,,,
anneal,363614,log_loss,0.07183490675705759,0.03907720627228864,128,64,0.08293238799810472,3.381514267820288e-05,32,128,0.0001624630235090774,,,,
blood-transfusion-service-center,363621,roc_auc,0.28929824561403517,0.2634589652096343,64,32,0.09229587245058637,0.0003639639356786391,16,512,8.313101133778734e-05,,,,
diabetes,363629,roc_auc,0.2162650602409637,0.1929539796810873,64,32,0.09229587245058637,0.0003639639356786391,16,512,8.313101133778734e-05,,,,
anneal,363614,log_loss,0.05965634394237258,0.02372186044356153,128,16,0.1957236684465528,0.00039656750817710094,32,128,3.6427757654632415e-05,,,,
blood-transfusion-service-center,363621,roc_auc,0.2939473684210526,0.27377341659232834,128,32,0.1,0.0001,8,512,1e-05,Qwen/Qwen2.5-0.5B,100.0,128.0,16.0
diabetes,363629,roc_auc,0.31398929049531454,0.28752607145260045,128,32,0.1,0.0001,8,512,1e-05,Qwen/Qwen2.5-0.5B,100.0,128.0,16.0
anneal,363614,log_loss,0.05973993730393637,0.024773215783838398,128,32,0.1,0.0001,8,128,1e-05,Qwen/Qwen2.5-0.5B,100.0,128.0,16.0
