,category,Blood,Credit-G,Diabetes,QSAR-Bio,QSAR-Fish,Concrete,Insurance,Anneal,Maternal,Phishing
metric,,roc_auc,roc_auc,roc_auc,roc_auc,rmse,rmse,rmse,log_loss,log_loss,log_loss
CAT,ML,0.7107894736842105,0.7927350427350429,0.8335341365461848,0.9265697695387167,0.9169135943553836,4.479989948836688,4089.2521585967734,0.04721400587739318,0.4266560518199411,0.23235150814363295
EBM,ML,0.7082456140350877,0.7912820512820513,0.8425702811244979,0.9342878782414252,0.9456287726391835,4.428036811524854,4180.362861666773,0.07275742673584468,0.49959478868894475,0.2241565744224039
GBM,ML,0.6629385964912282,0.7697008547008548,0.8174029451137885,0.9170122984816245,0.9219470233399446,4.609973311169731,4235.509729780342,0.07258413190361404,0.45202013687701087,0.23792094778681513
KNN,ML,0.6749999999999999,0.767948717948718,0.8175368139223562,0.9096368160998305,0.9470259228582849,8.986232450905673,5097.162999758122,0.18054473476045046,0.8570291857311769,0.8015007951233438
LR,ML,0.7310526315789474,0.7663675213675214,0.822289156626506,0.8969235762974717,0.9779810035849538,8.079074721109023,5575.862768468926,0.10165076885028021,0.7708599588207895,0.3413345934803583
RF,ML,0.6650877192982456,0.7783333333333335,0.8255354752342704,0.9211057813683413,0.938418407690184,5.50373270046845,4520.752203125408,0.05355503214432793,0.44818613791993206,0.29963073681709124
XGB,ML,0.6631578947368421,0.778974358974359,0.8306559571619812,0.9044974212861111,0.9451572737910531,5.037816906376259,4264.447087094856,0.048919027940115434,0.4306064609189078,0.23613700767860935
XT,ML,0.6742105263157895,0.761431623931624,0.8290160642570281,0.9260468135752155,0.9233862947299291,5.212221902799439,4372.4788112879405,0.08004472847210596,0.41809839144230426,0.2964549788419785
FASTAI,DL,0.7268421052631578,0.7634188034188035,0.8297858099062918,0.9323763840300069,0.9453682137164233,6.271214783661322,4263.604669891753,0.11476169357130345,0.6515454920065065,0.2974262256296583
MNCA_GPU,DL,0.745438596491228,0.7592307692307692,0.838219544846051,0.9254156598261621,0.9079065375057965,5.113994006479045,4101.408056328212,0.10373663359923335,0.4198462235434901,0.24928811780460233
NN_TORCH,DL,0.7416666666666667,0.7799572649572648,0.8070281124497993,0.9181303422656616,0.9567096116016571,4.489181374302094,4284.493211542226,0.057056382624834076,0.5987640807044072,0.2669362439005517
REALMLP_GPU,DL,0.7450000000000001,0.7896153846153846,0.8500669344042837,0.9322321203159376,0.902031865224557,5.013467964220634,4169.775918222015,0.03160915622542364,0.5935180898948357,0.22505026052985158
TABM_GPU,DL,0.7017543859649122,0.7811965811965812,0.8207496653279786,0.9301042305334151,0.9275436468576879,4.4997519026239905,4105.547952453262,0.046598555490574164,0.5241959021987332,0.2302941078960504
XRFM_GPU,DL,0.673859649122807,0.7677350427350428,0.817570281124498,0.9311501424604177,0.8957594416323091,5.4829799128889,4588.086639568085,0.0351097915833094,0.40111243804193053,0.2951955451820066
REALTABPFN-V2.5,Foundation,0.7444298245614036,0.7849145299145298,0.8486947791164658,0.9366321635950517,0.9021697485200404,3.816273829391835,4075.862737431688,0.01724696349112164,0.418697125047572,0.20898421158367678
TABDPT_GPU,Foundation,0.7282894736842105,0.7649572649572649,0.8443105756358769,0.9305730876041405,0.9032009771392325,4.194899538096949,4094.6992019149893,0.0676078146117423,0.3466039316921292,0.2109085410496047
TABPFNV2_GPU,Foundation,0.7386842105263158,0.7721794871794871,0.8485943775100402,0.9270025606809248,0.9033054900056293,3.9696752157329884,4321.7507912330075,0.018732650610432378,0.4251002550137872,0.21791295821483742
MITRA_GPU,,0.7220175438596491,0.7785470085470085,0.8392235609103079,0.9279763407508927,0.9012402148282606,4.329742394231109,4032.357647014834,0.02933883162895879,0.37773906038340466,0.21455161114694993
TABICLV2,,0.7451754385964913,0.7885897435897437,0.8451807228915663,0.9355141198110145,0.894265712135384,3.6729471916148135,4042.4652260759326,0.033034431782149175,0.3542280741307795,0.20272048908731136
TABICL_GPU,,0.7026315789473685,0.7814102564102565,0.838219544846051,0.9387239874490569,0.938418407690184,5.50373270046845,4520.752203125408,0.042555178904666896,0.3636477547868081,0.20420556961596548
FTTransformer,DL,0.7264912280701754,0.7690598290598291,0.828380187416332,0.9031629819309699,1.2398653728130447,12.285288531686305,5202.08276842444,0.04965282135798628,0.641125529410087,0.2383863006481635
LLMBaseline,Foundation,0.7060526315789474,0.7216239316239317,0.6860107095046855,0.8670790204493815,1.6545004849408724,16.808829044894885,17800.341386653545,0.05973993730393637,1.3630054951387849,0.5501418437708177
LLMBaselineBidirectional,Foundation,0.5364035087719297,0.7358119658119658,0.6022757697456492,0.852742813863743,1.5432013237974604,12.97116616811925,11635.598255402369,0.060722131782951674,1.092054874891659,0.666446688958687
LLMBaselineBidirectionalPooling,Foundation,0.7227192982456141,0.7933333333333333,0.77570281124498,0.8616510982075234,1.1831031419218097,10.46618175315201,9731.421152889881,0.043150999889737834,0.6058330426508624,0.24386559652781603
TFMLLM,Foundation,0.7235964912280701,0.7832905982905982,0.7998661311914325,0.9001695098640314,1.3124215566110666,11.768094580661456,5983.194424988639,0.059627503831563476,0.6567999024474278,0.25581737084657813
