,category,Blood,Credit-G,Diabetes,QSAR-Bio,QSAR-Fish,Concrete,Insurance,Anneal,Maternal,Phishing
metric,,roc_auc,roc_auc,roc_auc,roc_auc,rmse,rmse,rmse,log_loss,log_loss,log_loss
CAT,ML,0.7107894736842105,0.7927350427350429,0.8335341365461848,0.9265697695387167,0.9169135943553836,4.479989948836688,4089.2521585967734,0.04721400587739318,0.4266560518199411,0.23235150814363295
EBM,ML,0.7082456140350877,0.7912820512820513,0.8425702811244979,0.9342878782414252,0.9456287726391835,4.428036811524854,4180.362861666773,0.07275742673584468,0.49959478868894475,0.2241565744224039
KNN,ML,0.6749999999999999,0.767948717948718,0.8175368139223562,0.9096368160998305,0.9470259228582849,8.986232450905673,5097.162999758122,0.18054473476045046,0.8570291857311769,0.8015007951233438
LR,ML,0.7310526315789474,0.7663675213675214,0.822289156626506,0.8969235762974717,0.9779810035849538,8.079074721109023,5575.862768468926,0.10165076885028021,0.7708599588207895,0.3413345934803583
REALMLP_GPU,DL,0.7450000000000001,0.7896153846153846,0.8500669344042837,0.9322321203159376,0.902031865224557,5.013467964220634,4169.775918222015,0.03160915622542364,0.5935180898948357,0.22505026052985158
REALTABPFN-V2.5,Foundation,0.7444298245614036,0.7849145299145298,0.8486947791164658,0.9366321635950517,0.9021697485200404,3.816273829391835,4075.862737431688,0.01724696349112164,0.418697125047572,0.20898421158367678
MITRA_GPU,,0.7220175438596491,0.7785470085470085,0.8392235609103079,0.9279763407508927,0.9012402148282606,4.329742394231109,4032.357647014834,0.02933883162895879,0.37773906038340466,0.21455161114694993
TABICLV2,,0.7451754385964913,0.7885897435897437,0.8451807228915663,0.9355141198110145,0.894265712135384,3.6729471916148135,4042.4652260759326,0.033034431782149175,0.3542280741307795,0.20272048908731136
TABICL_GPU,,0.7026315789473685,0.7814102564102565,0.838219544846051,0.9387239874490569,0.938418407690184,5.50373270046845,4520.752203125408,0.042555178904666896,0.3636477547868081,0.20420556961596548
FTTransformer,DL,0.7264912280701754,0.7690598290598291,0.828380187416332,0.9031629819309699,1.2398653728130447,12.285288531686305,5202.08276842444,0.04965282135798628,0.641125529410087,0.2383863006481635
LLMBaseline,Foundation,0.7060526315789474,0.7216239316239317,0.6860107095046855,0.8670790204493815,1.6545004849408724,16.808829044894885,17800.341386653545,0.05973993730393637,1.3630054951387849,0.5501418437708177
LLMBaselineBidirectional,Foundation,0.5364035087719297,0.7358119658119658,0.6022757697456492,0.852742813863743,1.5432013237974604,12.97116616811925,11635.598255402369,0.060722131782951674,1.092054874891659,0.666446688958687
LLMBaselineBidirectionalPooling,Foundation,0.7227192982456141,0.7933333333333333,0.77570281124498,0.8616510982075234,1.1831031419218097,10.46618175315201,9731.421152889881,0.043150999889737834,0.6058330426508624,0.24386559652781603
TFMLLM,Foundation,0.7235964912280701,0.7832905982905982,0.7998661311914325,0.9001695098640314,1.3124215566110666,11.768094580661456,5983.194424988639,0.059627503831563476,0.6567999024474278,0.25581737084657813
