,category,Blood,Credit-G,Diabetes,QSAR-Bio,QSAR-Fish,Concrete,Insurance,Anneal,Maternal,Phishing
metric,,roc_auc,roc_auc,roc_auc,roc_auc,rmse,rmse,rmse,log_loss,log_loss,log_loss
CAT,ML,0.7078070175438597,0.7913675213675214,0.8392235609103079,0.9275435496086847,0.9108357993477078,4.349307405056239,4099.415070640934,0.028524514184980122,0.423541489234404,0.21068219564559593
EBM,ML,0.711140350877193,0.7850854700854701,0.8519410977242302,0.9349731308832546,0.933905919615701,4.378025654572182,4058.6072991706296,0.05042694881558418,0.4953609108924866,0.2357894629240036
GBM,ML,0.7219298245614035,0.7797435897435897,0.8345381526104417,0.9225664514732932,0.9151007788510053,4.23183913566624,4101.070785897937,0.0444048792788039,0.41954079366003805,0.22905714781769784
KNN,ML,0.7039473684210527,0.7679059829059829,0.8226907630522088,0.9211598802611173,0.9347266281684382,6.060376754495909,4601.137288169586,0.07725414633750916,0.40368014574050903,0.26445460319519043
LR,ML,0.7539473684210526,0.7653418803418803,0.8263721552878179,0.9206549572618747,0.9768729285149236,7.9030084866624035,5578.938995200396,0.05425482988357544,0.7640236616134644,0.33642998337745667
RF,ML,0.6664035087719298,0.7817521367521367,0.8258366800535475,0.9106286291340571,0.9166780663072045,5.355749505698358,4226.209636611783,0.023006393800036065,0.3990178342498508,0.2486712805468587
XGB,ML,0.6993859649122807,0.7847008547008547,0.826706827309237,0.9185631334078695,0.9145528249148004,4.2893139362250805,4133.899611275165,0.03892136917445271,0.4167617650971186,0.2290283770953786
XT,ML,0.6821052631578948,0.7655128205128205,0.8403614457831325,0.9267861651098207,0.9078442096273903,5.190510222950174,4132.754142034768,0.029002307380355308,0.3968436642333707,0.23770534933948567
FASTAI,DL,0.7436842105263158,0.7693589743589744,0.843908969210174,0.9342157463843906,0.9312487963568503,5.229370285200833,4214.627144308174,0.08526936687443813,0.6179137976727035,0.22664938543111787
MNCA_GPU,DL,0.6753508771929825,0.7785042735042735,0.8069611780455154,0.9254877916831968,0.9225872956639865,5.175840034325168,4117.0854826350915,0.04072477790727136,0.3838663966201875,0.21786419042911936
NN_TORCH,DL,0.7406140350877193,0.7794017094017094,0.8246987951807229,0.9202582320481841,0.9211951262075508,4.454149088455697,4144.198944747313,0.05635070620970603,0.5263237738835965,0.21425051268604176
REALMLP_GPU,DL,0.7298245614035088,0.7925213675213675,0.8459170013386881,0.9302124283189671,0.9014784160630552,4.141370860233445,4071.1783567245207,0.029990119859576225,0.40136799216270447,0.2129228562116623
TABM_GPU,DL,0.7101754385964912,0.7882478632478632,0.8251673360107095,0.9341436145273561,0.9109158278963556,4.374334605859934,4101.560812702842,0.037722728510801044,0.4541251495467335,0.2223637501455227
XRFM_GPU,DL,0.703859649122807,0.7666239316239316,0.8444444444444444,0.9306812853896923,0.9115647745800096,4.344043788976497,4217.97912318839,0.026894191280007362,0.39351046085357666,0.2490585297346115
REALTABPFN-V2.5,Foundation,0.7303508771929824,0.7811538461538462,0.8431726907630522,0.9300681646048977,0.8866661964472332,3.7665874877665413,4030.724697336574,0.010615817792250088,0.3801728631098418,0.20309345139166002
TABDPT_GPU,Foundation,0.7275438596491228,0.7692307692307693,0.8433734939759037,0.9352977242399105,0.8974494159544669,4.040272334480419,4104.0711948039,0.03276921195620291,0.3613204578377259,0.21080187905697836
TABPFNV2_GPU,Foundation,0.727280701754386,0.7866239316239316,0.84190093708166,0.9230353085440185,0.8958826799112578,3.9147441045180007,4147.532527898639,0.025444212742377244,0.40931312412357507,0.20735885385992128
FTTransformer,DL,0.7159649122807018,0.7785897435897436,0.8275100401606426,0.9115663432755077,1.0236326869317924,6.2630538483766305,4328.37942255068,0.03631234268703688,0.5516511974574335,0.22467492641607956
LLMBaseline,Foundation,0.7093859649122807,0.7855128205128206,0.7898259705488622,0.8670970534136402,1.0715240938086552,8.513369474178416,5838.997467247002,0.05257918951931996,0.8347154882827691,0.24506427220857213
LLMBaselineBidirectional,Foundation,0.7167543859649123,,0.780053547523427,0.8576117142135824,1.198693462128096,,,0.04149921316392114,,
LLMBaselineBidirectionalPooling,Foundation,0.71,,0.805087014725569,0.8680347675550907,0.9721895091619169,,,0.03487228718886535,,
TFMLLM,Foundation,0.7256140350877193,0.8016239316239316,0.8200803212851405,0.8959137302989866,1.171575512866934,10.335984295391388,5590.13744430964,0.04940682709229765,0.5963589319886404,0.22701044485216249
