,category,Blood,Credit-G,Diabetes,QSAR-Bio,QSAR-Fish,Concrete,Insurance,Anneal,Maternal,Phishing
metric,,roc_auc,roc_auc,roc_auc,roc_auc,rmse,rmse,rmse,log_loss,log_loss,log_loss
CAT,ML,0.7078070175438597,0.7913675213675214,0.8392235609103079,0.9275435496086847,0.9108357993477078,4.349307405056239,4099.415070640934,0.028524514184980122,0.423541489234404,0.21068219564559593
EBM,ML,0.711140350877193,0.7850854700854701,0.8519410977242302,0.9349731308832546,0.933905919615701,4.378025654572182,4058.6072991706296,0.05042694881558418,0.4953609108924866,0.2357894629240036
KNN,ML,0.7039473684210527,0.7679059829059829,0.8226907630522088,0.9211598802611173,0.9347266281684382,6.060376754495909,4601.137288169586,0.07725414633750916,0.40368014574050903,0.26445460319519043
LR,ML,0.7539473684210526,0.7653418803418803,0.8263721552878179,0.9206549572618747,0.9768729285149236,7.9030084866624035,5578.938995200396,0.05425482988357544,0.7640236616134644,0.33642998337745667
REALMLP_GPU,DL,0.7298245614035088,0.7925213675213675,0.8459170013386881,0.9302124283189671,0.9014784160630552,4.141370860233445,4071.1783567245207,0.029990119859576225,0.40136799216270447,0.2129228562116623
REALTABPFN-V2.5,Foundation,0.7303508771929824,0.7811538461538462,0.8431726907630522,0.9300681646048977,0.8866661964472332,3.7665874877665413,4030.724697336574,0.010615817792250088,0.3801728631098418,0.20309345139166002
FTTransformer,DL,0.7159649122807018,0.7785897435897436,0.8275100401606426,0.9115663432755077,1.0236326869317924,6.2630538483766305,4328.37942255068,0.03631234268703688,0.5516511974574335,0.22467492641607956
LLMBaseline,Foundation,0.7093859649122807,0.7855128205128206,0.7898259705488622,0.8670970534136402,1.0715240938086552,8.513369474178416,5838.997467247002,0.05257918951931996,0.8347154882827691,0.24506427220857213
LLMBaselineBidirectional,Foundation,0.7167543859649123,,0.780053547523427,0.8576117142135824,1.198693462128096,11.010885041494898,7833.347088099692,0.04149921316392114,0.5875528912161133,0.332875428976255
LLMBaselineBidirectionalPooling,Foundation,0.71,0.7954700854700855,0.805087014725569,0.8680347675550907,0.9721895091619169,5.5568378213468295,4430.733254543456,0.03487228718886535,0.44340457822277024,0.23274222436169267
TFMLLM,Foundation,0.7256140350877193,0.8016239316239316,0.8200803212851405,0.8959137302989866,1.171575512866934,10.335984295391388,5590.13744430964,0.04940682709229765,0.5963589319886404,0.22701044485216249
