,category,Blood,Credit-G,Diabetes,QSAR-Bio,QSAR-Fish,Concrete,Insurance,Anneal,Maternal,Phishing
metric,,roc_auc,roc_auc,roc_auc,roc_auc,rmse,rmse,rmse,log_loss,log_loss,log_loss
CAT,ML,0.7050877192982457,0.7838034188034187,0.8376171352074967,0.9232517041151225,0.9170500156250383,4.333585714498188,4075.95781501091,0.03157184199590883,0.4194495649199026,0.2096628570755173
EBM,ML,0.720701754385965,0.7799572649572649,0.8536144578313253,0.9334583618855268,0.9338630759696042,4.3791586681933,4036.8570231296108,0.0720399022102356,0.5008673071861267,0.23986025154590607
KNN,ML,0.6987719298245614,0.7601709401709402,0.8142570281124498,0.9193205179067335,0.9471641989379048,6.260830250399818,4630.235613436097,0.08581547439098358,0.7841119766235352,0.368958055973053
LR,ML,0.748859649122807,0.7652136752136752,0.8262382864792504,0.9209795506185307,0.97713369662337,7.9501029449478455,5585.882360476944,0.07239768654108047,0.7722097635269165,0.33630067110061646
REALMLP_GPU,DL,0.7248245614035088,0.7967094017094017,0.8390227576974565,0.9307894831752443,0.9277910670743514,4.1443805956176565,4053.78243177254,0.029962634667754173,0.39439043402671814,0.21098873019218445
REALTABPFN-V2.5,Foundation,0.7272368421052632,0.7849145299145299,0.84190093708166,0.930158329426191,0.897436572997375,3.757035054282707,4101.051858354645,0.022725010286512803,0.38372504550391073,0.20871952774475078
FTTransformer,DL,0.7185087719298245,0.7801282051282051,0.8208835341365461,0.910520431348505,1.044015876783817,6.24354772675397,4393.419627855666,0.03540062392415872,0.5519950665282777,0.22404385911772037
LLMBaseline,Foundation,0.710701754385965,0.8037179487179488,0.7922021419009371,0.8573412197497025,1.377322526120282,7.720128989237772,5885.299005555479,0.07454145171413588,0.8115161339868574,0.2403135112802993
LLMBaselineBidirectional,Foundation,0.7194736842105263,0.7687179487179487,0.7761044176706827,0.8633822627763552,1.2064643274261648,10.571701950551558,7980.436431272723,0.04848979111511302,0.5632717742705299,0.3231860305706231
LLMBaselineBidirectionalPooling,Foundation,0.6857017543859649,0.7933333333333333,0.7827978580990629,0.8605691203520035,0.9808762809967106,5.529651937280752,4624.262458013347,0.03487228718886535,0.4394659779613746,0.22955147263948614
TFMLLM,Foundation,0.7235964912280701,0.80508547008547,0.822289156626506,0.8923432033757709,1.154434688319067,10.205787146851774,5549.358220923266,0.04810217275660198,0.5888330938991257,0.2285811183085557
