dataset,tid,metric,metric_error,metric_error_val,batch_size,lora_lr,lora_rank,lr,token_dim,num_epochs,lora_alpha,lora_dropout,weight_decay
Fitness_Club,363671,roc_auc,0.19404113732607375,0.17216882673295508,256,0.0001,8,0.001,,200.0,32.0,0.1,1e-05
QSAR_fish_toxicity,363698,rmse,1.2200842371228418,1.3247893177351422,512,0.00013680095279726916,8,0.004700645792732056,32.0,,,,
anneal,363614,log_loss,0.17187371694973277,0.17238888292439294,512,0.00013680095279726916,8,0.004700645792732056,32.0,,,,
blood-transfusion-service-center,363621,roc_auc,0.25245614035087716,0.23967439785905442,512,0.00013680095279726916,8,0.004700645792732056,32.0,,,,
concrete_compressive_strength,363625,rmse,11.734070957332873,13.138415805952945,128,0.00011058510725696446,4,0.0008855250245941234,32.0,,,,
credit-g,363626,roc_auc,0.20034188034188016,0.22890557939914158,128,0.00015335192657991572,4,0.0016051911333587634,64.0,,,,
diabetes,363629,roc_auc,0.16251673360107088,0.1570258359685125,128,0.00015335192657991572,4,0.0016051911333587634,64.0,,,,
healthcare_insurance_expenses,363675,rmse,5812.7463704474085,7032.9277494628495,256,0.00017665559365643207,16,0.0007501954443620128,32.0,,,,
maternal_health_risk,363685,log_loss,0.6530663136653663,0.6524656553924364,512,8.17147891511587e-05,16,0.00018639589635730596,32.0,,,,
qsar-biodeg,363696,roc_auc,0.0868467558697299,0.08368644067796605,128,0.00015335192657991572,4,0.0016051911333587634,64.0,,,,
website_phishing,363707,log_loss,0.26774049806374023,0.2864680706347615,128,0.00015335192657991572,4,0.0016051911333587634,64.0,,,,
