,category,Fitness,Blood,Credit-G,Diabetes,QSAR-Bio,QSAR-Fish,Concrete,Insurance,Anneal,Maternal,Phishing
metric,,roc_auc,roc_auc,roc_auc,roc_auc,roc_auc,rmse,rmse,rmse,log_loss,log_loss,log_loss
CAT,ML,0.803406684815487,0.7050877192982457,0.7838034188034187,0.8376171352074967,0.9232517041151225,0.9170500156250383,4.333585714498188,4075.95781501091,0.03157184199590883,0.4194495649199026,0.2096628570755173
EBM,ML,0.7998147307924985,0.720701754385965,0.7799572649572649,0.8536144578313253,0.9334583618855268,0.9338630759696042,4.3791586681933,4036.8570231296108,0.0720399022102356,0.5008673071861267,0.23986025154590607
GBM,ML,0.8021589534180278,0.7157894736842105,0.7777777777777778,0.8353413654618473,0.9149565405561366,0.9226082564792453,4.3673334678741815,4122.501833344633,0.04346644381205891,0.42644122104415216,0.231650124226522
KNN,ML,0.7734800362976406,0.6987719298245614,0.7601709401709402,0.8142570281124498,0.9193205179067335,0.9471641989379048,6.260830250399818,4630.235613436097,0.08581547439098358,0.7841119766235352,0.368958055973053
LR,ML,0.8008356019358742,0.748859649122807,0.7652136752136752,0.8262382864792504,0.9209795506185307,0.97713369662337,7.9501029449478455,5585.882360476944,0.07239768654108047,0.7722097635269165,0.33630067110061646
RF,ML,0.8005709316394435,0.6749122807017544,0.7783333333333333,0.8239290495314592,0.9108810906336784,0.920056349140093,5.50373270046845,4289.116217210034,0.023539500662349788,0.4399674529953946,0.25568626948547096
XGB,ML,0.803954930429522,0.7040350877192982,0.7816666666666666,0.8228915662650602,0.9171926281242111,0.9136282735981752,4.271255724134107,4137.510116549243,0.038616225868098306,0.4070107240108848,0.23096497115564346
XT,ML,0.8081612976406534,0.6811403508771929,0.7638888888888888,0.8404283801874163,0.9253074620406102,0.905459028966759,5.212221902799439,4131.086950546212,0.02482260392827094,0.41466615708348536,0.2377492574289928
FASTAI,DL,0.8028773442226256,0.7437719298245614,0.7460256410256411,0.8416331994645248,0.9356223175965666,0.9462138320385582,5.204748498170599,4165.877969169726,0.08061211093167875,0.6313937565379443,0.24296201463647907
MNCA_GPU,DL,0.7961849667271628,0.6900877192982456,0.7693589743589744,0.8275769745649264,0.9274353518231326,0.9425235469382216,5.750049206465128,4147.3356749873055,0.04072477790727136,0.3957661924965936,0.2285486900959998
NN_TORCH,DL,0.7973003629764065,0.7418421052631579,0.767991452991453,0.8333333333333334,0.9185631334078695,0.9401469683526422,4.350427102095671,4149.197832312457,0.06393561637454895,0.5344304087149985,0.22878672559218163
REALMLP_GPU,DL,0.8019131881427707,0.7248245614035088,0.7967094017094017,0.8390227576974565,0.9307894831752443,0.9277910670743514,4.1443805956176565,4053.78243177254,0.029962634667754173,0.39439043402671814,0.21098873019218445
TABM_GPU,DL,0.8055240471869328,0.7150877192982457,0.7885470085470085,0.8226907630522088,0.9326649114581455,0.9155270426401956,4.389217330636611,4119.4993828019915,0.037212039070139646,0.47097463808182805,0.22117249998760877
XRFM_GPU,DL,0.801799758015729,0.7228947368421053,0.7742307692307693,0.8427041499330656,0.9351895264543586,0.9051661402310825,4.401057216637763,4164.471571090113,0.024808423593640327,0.3959020674228668,0.24711748957633972
REALTABPFN-V2.5,Foundation,0.8097682244404114,0.7272368421052632,0.7849145299145299,0.84190093708166,0.930158329426191,0.897436572997375,3.757035054282707,4101.051858354645,0.022725010286512803,0.38372504550391073,0.20871952774475078
TABDPT_GPU,Foundation,0.8075846944948578,0.7281140350877193,0.7652777777777777,0.8426706827309237,0.9329714718505427,0.8997330162608862,4.048292681068601,4098.722576870162,0.032958396901759314,0.34655784868307293,0.21258257422356566
TABPFNV2_GPU,Foundation,0.8087568058076225,0.7240350877192983,0.772051282051282,0.8396921017402945,0.9232517041151225,0.9093026428541026,4.0663573897618885,4258.5479623916735,0.023035964382117823,0.4200149210576656,0.21386199246588364
FTTransformer,DL,0.80295296430732,0.7185087719298245,0.7801282051282051,0.8208835341365461,0.910520431348505,1.044015876783817,6.24354772675397,4393.419627855666,0.03540062392415872,0.5519950665282777,0.22404385911772037
LLMBaseline,LLM,,0.710701754385965,0.8037179487179488,0.7922021419009371,0.8573412197497025,1.377322526120282,7.720128989237772,5885.299005555479,0.07454145171413588,0.8115161339868574,0.2403135112802993
LLMBaselineBidirectional,LLM,,0.7194736842105263,0.7687179487179487,0.7761044176706827,0.8633822627763552,1.2064643274261648,10.571701950551558,7980.436431272723,0.04848979111511302,0.5632717742705299,0.3231860305706231
LLMBaselineBidirectionalPooling,LLM,,0.6857017543859649,0.7933333333333333,0.7827978580990629,0.8605691203520035,0.9808762809967106,5.529651937280752,4624.262458013347,0.03487228718886535,0.4394659779613746,0.22955147263948614
TFMLLM,LLM,,0.7235964912280701,0.80508547008547,0.822289156626506,0.8923432033757709,1.154434688319067,10.205787146851774,5549.358220923266,0.04810217275660198,0.5888330938991257,0.2285811183085557
LLMAdapterEngineered,LLM,0.8063747731397459,0.745,0.7807692307692308,0.837483266398929,0.9131532441302701,1.231444043572989,11.734070862070308,5812.746391772017,0.18179881275413376,0.6530663072422672,0.2677404971071894
