dataset,tid,metric,metric_error,metric_error_val,batch_size,lora_alpha,lora_dropout,lora_lr,lora_rank,lr,token_dim,num_epochs,weight_decay
QSAR_fish_toxicity,363698,rmse,1.3510101117189084,1.4032379869184424,256,64,0.1,0.0001187015803159726,4,0.0007101198581712159,32.0,,
website_phishing,363707,log_loss,0.25288899395622894,0.30150878042523915,256,64,0.1,0.0001187015803159726,4,0.0007101198581712159,32.0,,
concrete_compressive_strength,363625,rmse,14.99408835113744,15.811636664622883,256,64,0.1,0.0001187015803159726,4,0.0007101198581712159,32.0,,
airfoil_self_noise,363612,rmse,5.522880235905643,5.897036071752742,256,64,0.1,0.0001187015803159726,4,0.0007101198581712159,32.0,,
Another-Dataset-on-used-Fiat-500,363615,rmse,1182.918218153998,1263.9516672341406,256,64,0.1,0.0001187015803159726,4,0.0007101198581712159,32.0,,
healthcare_insurance_expenses,363675,rmse,6230.359298735544,7180.342744455033,256,64,0.1,0.0001187015803159726,4,0.0007101198581712159,32.0,,
maternal_health_risk,363685,log_loss,0.7120594402537304,0.7237033476119596,256,64,0.1,0.0001187015803159726,4,0.0007101198581712159,32.0,,
wine_quality,363708,rmse,0.7826928496360779,0.8313853740692139,256,64,0.1,0.0001187015803159726,4,0.0007101198581712159,32.0,,
anneal,363614,log_loss,0.23339385153495382,0.2588781174659596,256,64,0.1,0.0001187015803159726,4,0.0007101198581712159,32.0,,
QSAR_fish_toxicity,363698,rmse,1.510356611764375,1.471959137490745,128,16,0.05,2.8120601211200753e-05,4,0.004624729673003227,16.0,,
website_phishing,363707,log_loss,0.27579545317387005,0.3022769916429528,128,16,0.05,2.8120601211200753e-05,4,0.004624729673003227,16.0,,
concrete_compressive_strength,363625,rmse,14.454581834556278,15.391167652242116,128,16,0.05,2.8120601211200753e-05,4,0.004624729673003227,16.0,,
airfoil_self_noise,363612,rmse,6.417338223297229,6.5587658086398735,128,16,0.05,2.8120601211200753e-05,4,0.004624729673003227,16.0,,
Another-Dataset-on-used-Fiat-500,363615,rmse,1461.254583234524,1713.0795006738008,128,16,0.05,2.8120601211200753e-05,4,0.004624729673003227,16.0,,
healthcare_insurance_expenses,363675,rmse,7294.034278026568,9396.57811993501,128,16,0.05,2.8120601211200753e-05,4,0.004624729673003227,16.0,,
maternal_health_risk,363685,log_loss,0.6704648502951064,0.6646376957289039,128,16,0.05,2.8120601211200753e-05,4,0.004624729673003227,16.0,,
