dataset,tid,metric,metric_error,metric_error_val,batch_size,lora_alpha,lora_dropout,lora_lr,lora_rank,lr,num_buckets,token_dim,num_epochs,weight_decay
QSAR_fish_toxicity,363698,rmse,1.5008744061721984,1.4356372553257428,128,32,0.0,0.0006431172050131992,32,0.01935116112733454,128.0,32.0,,
concrete_compressive_strength,363625,rmse,16.56343755296998,16.255136594954497,128,32,0.0,0.0006431172050131992,32,0.01935116112733454,128.0,32.0,,
houses,363678,rmse,0.5262834406288929,0.5410529020317301,128,32,0.0,0.0006431172050131992,32,0.01935116112733454,128.0,32.0,,
airfoil_self_noise,363612,rmse,6.6915928773558795,6.640880788185521,128,32,0.0,0.0006431172050131992,32,0.01935116112733454,128.0,32.0,,
miami_housing,363686,rmse,298020.58721160213,298130.3752378452,128,32,0.0,0.0006431172050131992,32,0.01935116112733454,128.0,32.0,,
Another-Dataset-on-used-Fiat-500,363615,rmse,1853.6722666785986,1901.063402655239,128,32,0.0,0.0006431172050131992,32,0.01935116112733454,128.0,32.0,,
healthcare_insurance_expenses,363675,rmse,11344.713068928882,12183.644692371912,128,32,0.0,0.0006431172050131992,32,0.01935116112733454,128.0,32.0,,
wine_quality,363708,rmse,0.8684475421905518,0.9107849597930908,128,32,0.0,0.0006431172050131992,32,0.01935116112733454,128.0,32.0,,
QSAR_fish_toxicity,363698,rmse,1.500471245768405,1.4369101195404115,256,32,0.1,0.0010278118224157004,16,0.0009260660341718506,64.0,64.0,,
concrete_compressive_strength,363625,rmse,16.977754376126576,16.567344382053978,256,32,0.1,0.0010278118224157004,16,0.0009260660341718506,64.0,64.0,,
airfoil_self_noise,363612,rmse,6.892778607069119,6.8669152113784815,256,32,0.1,0.0010278118224157004,16,0.0009260660341718506,64.0,64.0,,
miami_housing,363686,rmse,275749.7317720716,293926.43962802715,256,32,0.1,0.0010278118224157004,16,0.0009260660341718506,64.0,64.0,,
Another-Dataset-on-used-Fiat-500,363615,rmse,1841.3215221361004,1877.0296207080864,256,32,0.1,0.0010278118224157004,16,0.0009260660341718506,64.0,64.0,,
healthcare_insurance_expenses,363675,rmse,9326.978175234291,10290.37198639436,256,32,0.1,0.0010278118224157004,16,0.0009260660341718506,64.0,64.0,,
wine_quality,363708,rmse,0.8709459900856018,0.9204199910163879,256,32,0.1,0.0010278118224157004,16,0.0009260660341718506,64.0,64.0,,
QSAR_fish_toxicity,363698,rmse,1.5006229381031262,1.4370366858488677,128,32,0.05,0.003222821784787407,4,0.00017185388973598156,128.0,16.0,,
concrete_compressive_strength,363625,rmse,16.98241343883008,16.58365799474107,128,32,0.05,0.003222821784787407,4,0.00017185388973598156,128.0,16.0,,
airfoil_self_noise,363612,rmse,6.946128529120526,6.8776180337770345,128,32,0.05,0.003222821784787407,4,0.00017185388973598156,128.0,16.0,,
miami_housing,363686,rmse,322802.2006548553,315861.39959079475,128,32,0.05,0.003222821784787407,4,0.00017185388973598156,128.0,16.0,,
Another-Dataset-on-used-Fiat-500,363615,rmse,1894.590059841751,1949.7633008789935,128,32,0.05,0.003222821784787407,4,0.00017185388973598156,128.0,16.0,,
healthcare_insurance_expenses,363675,rmse,11579.00286180388,12399.037378301475,128,32,0.05,0.003222821784787407,4,0.00017185388973598156,128.0,16.0,,
wine_quality,363708,rmse,0.8944206833839417,0.984264612197876,128,32,0.05,0.003222821784787407,4,0.00017185388973598156,128.0,16.0,,
QSAR_fish_toxicity,363698,rmse,1.5013793640155562,1.4358156414440026,256,16,0.05,1.3039960606998148e-05,32,0.04651481971085719,64.0,16.0,,
concrete_compressive_strength,363625,rmse,16.923446197688733,16.524009780426617,256,16,0.05,1.3039960606998148e-05,32,0.04651481971085719,64.0,16.0,,
airfoil_self_noise,363612,rmse,6.941591148013013,6.854528881017457,256,16,0.05,1.3039960606998148e-05,32,0.04651481971085719,64.0,16.0,,
miami_housing,363686,rmse,312707.1090875771,307805.19380378834,256,16,0.05,1.3039960606998148e-05,32,0.04651481971085719,64.0,16.0,,
Another-Dataset-on-used-Fiat-500,363615,rmse,1692.4869941076936,1783.6806953611665,256,16,0.05,1.3039960606998148e-05,32,0.04651481971085719,64.0,16.0,,
healthcare_insurance_expenses,363675,rmse,11437.246701014576,12285.490127414036,256,16,0.05,1.3039960606998148e-05,32,0.04651481971085719,64.0,16.0,,
wine_quality,363708,rmse,0.899152934551239,0.9379532933235168,256,16,0.05,1.3039960606998148e-05,32,0.04651481971085719,64.0,16.0,,
QSAR_fish_toxicity,363698,rmse,1.4793084582443197,1.4196367117807318,512,16,0.1,2.5448050634013222e-05,4,0.004644935419810484,64.0,16.0,,
concrete_compressive_strength,363625,rmse,16.948495030625846,16.535233590081496,512,16,0.1,2.5448050634013222e-05,4,0.004644935419810484,64.0,16.0,,
airfoil_self_noise,363612,rmse,6.733801887843832,6.715738135816842,512,16,0.1,2.5448050634013222e-05,4,0.004644935419810484,64.0,16.0,,
miami_housing,363686,rmse,322576.5031660165,315749.91447291384,512,16,0.1,2.5448050634013222e-05,4,0.004644935419810484,64.0,16.0,,
Another-Dataset-on-used-Fiat-500,363615,rmse,1630.5345567883578,1703.5472742427482,512,16,0.1,2.5448050634013222e-05,4,0.004644935419810484,64.0,16.0,,
healthcare_insurance_expenses,363675,rmse,11423.018080512129,12292.344557945838,512,16,0.1,2.5448050634013222e-05,4,0.004644935419810484,64.0,16.0,,
wine_quality,363708,rmse,0.8604499101638794,0.9030990600585938,512,16,0.1,2.5448050634013222e-05,4,0.004644935419810484,64.0,16.0,,
QSAR_fish_toxicity,363698,rmse,1.4991075803310738,1.4331818798249107,128,16,0.0,5.752740814116689e-05,32,0.0019107079904972712,64.0,32.0,,
concrete_compressive_strength,363625,rmse,16.35203187898639,16.080391512211058,128,16,0.0,5.752740814116689e-05,32,0.0019107079904972712,64.0,32.0,,
airfoil_self_noise,363612,rmse,6.613855595346827,6.594355698009498,128,16,0.0,5.752740814116689e-05,32,0.0019107079904972712,64.0,32.0,,
miami_housing,363686,rmse,215140.6428794471,217802.74462720976,128,16,0.0,5.752740814116689e-05,32,0.0019107079904972712,64.0,32.0,,
