,category,Amazon,Fitness,GoodCust,MktCamp,Blood,Churn,Credit-G,Diabetes,Hazelnut,Polish,QSAR-Bio,Seismic,TaiwanBnk,Fiat500,QSAR-Fish,Airfoil,Concrete,Insurance,Houses,Wine,MIC,Anneal,Maternal,Splice,Students,Phishing
metric,,roc_auc,roc_auc,roc_auc,roc_auc,roc_auc,roc_auc,roc_auc,roc_auc,roc_auc,roc_auc,roc_auc,roc_auc,roc_auc,rmse,rmse,rmse,rmse,rmse,rmse,rmse,log_loss,log_loss,log_loss,log_loss,log_loss,log_loss
CAT,ML,0.8721593250339181,0.803406684815487,0.7310233970351849,0.9354566830981925,0.7107894736842105,0.9342968648213291,0.7927350427350429,0.8335341365461848,0.9679375,0.9707405863108602,0.9265697695387167,0.7975591151792524,0.9451494396014943,707.0458026370143,0.9169135943553836,1.4743257730979937,4.479989948836688,4089.2521585967734,0.2130197473173677,0.6114031672477722,0.46289234265254464,0.04721400587739318,0.4266560518199411,0.09341329053657353,0.5725188862466585,0.23235150814363295
EBM,ML,0.8359638783550576,0.803614640048397,0.751324641304995,0.9380205677375488,0.7082456140350877,0.9320967913868458,0.7912820512820513,0.8425702811244979,0.96401875,0.967128263519148,0.9342878782414252,0.7879699248120301,0.9423474470734745,716.5004526026838,0.9456287726391835,1.9173663355495552,4.428036811524854,4180.362861666773,0.23209072755213841,0.645766019821167,0.48434022287173345,0.07275742673584468,0.49959478868894475,0.10385077502778481,0.5705669318624845,0.2241565744224039
GBM,ML,0.8365969588764423,0.7931034482758621,0.6910460201226409,0.9236996430392657,0.6629385964912282,0.9287004465290363,0.7697008547008548,0.8174029451137885,0.96686875,0.962862435050356,0.9170122984816245,0.7796883513130652,0.9458468244084682,727.096139944832,0.9219470233399446,1.48537141921174,4.609973311169731,4235.509729780342,0.21882938874249858,0.6176813840866089,0.5221404538776852,0.07258413190361404,0.45202013687701087,0.09156199195824077,0.5676244430547236,0.23792094778681513
KNN,ML,0.7532467382707516,0.7244215063520871,0.6379412990414955,0.8523429089466826,0.6749999999999999,0.8633037818758958,0.767948717948718,0.8175368139223562,0.903025,0.7786480050035282,0.9096368160998305,0.7301950528495151,0.8849906600249066,779.6254212236342,0.9470259228582849,3.2473637575363417,8.986232450905673,5097.162999758122,0.29272222810294224,0.6142804622650146,1.5211068660396987,0.18054473476045046,0.8570291857311769,0.5268088493863364,0.8485692855397968,0.8015007951233438
LR,ML,0.8410809525098126,0.8031609195402298,0.7234922902899327,0.9235154966287042,0.7310526315789474,0.7634343649693826,0.7663675213675214,0.822289156626506,0.9427125000000001,0.8726545961896209,0.8969235762974717,0.7788384003486978,0.9418555417185555,773.1329009383466,0.9779810035849538,5.424097983642563,8.079074721109023,5575.862768468926,0.3217724260810055,0.7113195657730103,0.6310998389549547,0.10165076885028021,0.7708599588207895,0.1415672832062087,0.5903326751478909,0.3413345934803583
RF,ML,0.8415401376894398,0.7797092407743498,0.6695243198190152,0.9041872060739986,0.6650877192982456,0.9251516066754314,0.7783333333333335,0.8255354752342704,0.9529218749999999,0.9356898293668613,0.9211057813683413,0.7650212487741093,0.9457565379825653,727.2392705679738,0.938418407690184,1.7727015604892042,5.50373270046845,4520.752203125408,0.23437821466866735,0.6089493036270142,0.4799847365391685,0.05355503214432793,0.44818613791993206,0.319173908519172,0.6025781699112828,0.29963073681709124
XGB,ML,0.8342104720974085,0.7896249243799153,0.7007203667321545,0.9247620261771206,0.6631578947368421,0.9363222352509208,0.778974358974359,0.8306559571619812,0.9674875000000001,0.9669839309769709,0.9044974212861111,0.7764628963713631,0.9418368617683686,728.5363008858637,0.9451572737910531,1.4270140038469383,5.037816906376259,4264.447087094856,0.21745863756596343,0.6138439178466797,0.5001555203489317,0.048919027940115434,0.4306064609189078,0.09951523368474072,0.5688579323034699,0.23613700767860935
XT,ML,0.8337630490695447,0.7630350120992135,0.6815056260046437,0.9030823276106295,0.6742105263157895,0.9192472373236683,0.761431623931624,0.8290160642570281,0.95031875,0.8688638623388286,0.9260468135752155,0.7620028331698812,0.947104607721046,702.6109963219359,0.9233862947299291,1.7070150389205543,5.212221902799439,4372.4788112879405,0.24567426798371325,0.6025343537330627,0.4991746634387115,0.08004472847210596,0.41809839144230426,0.3946576165210414,0.6030998191636647,0.2964549788419785
FASTAI,DL,0.8398263229883798,0.7996067755595886,0.7098589033756028,0.899973086293841,0.7268421052631578,0.923568915893828,0.7634188034188035,0.8297858099062918,0.97748125,0.8543524279940984,0.9323763840300069,0.7601176855181431,0.9326338729763387,722.8558676971646,0.9453682137164233,2.3118411429582046,6.271214783661322,4263.604669891753,0.24252386864646305,0.6561919450759888,0.5232364268991069,0.11476169357130345,0.6515454920065065,0.09438109328732572,0.5757572637689365,0.2974262256296583
MNCA_GPU,DL,0.8403716101939878,0.8032932546884453,0.7197416205274751,0.9308671879426597,0.745438596491228,0.9092373473569508,0.7592307692307692,0.838219544846051,0.9785625000000001,0.9650514786067097,0.9254156598261621,0.7930260433692928,0.9387920298879203,706.8392838285378,0.9079065375057965,1.453374096711406,5.113994006479045,4101.408056328212,0.2055241797052763,0.5963858366012573,0.47420914997650426,0.10373663359923335,0.4198462235434901,0.13129013142843465,0.5743565637651167,0.24928811780460233
NN_TORCH,DL,0.8344660874870385,0.7962983968542044,0.7284038816455319,0.9158805031446542,0.7416666666666667,0.8866207108931765,0.7799572649572648,0.8070281124497993,0.97791875,0.9025755340304061,0.9181303422656616,0.7826958701100577,0.9203113325031134,742.7674922065685,0.9567096116016571,1.4743240449401513,4.489181374302094,4284.493211542226,0.22989768995565277,0.6706056594848633,0.5072435729457945,0.057056382624834076,0.5987640807044072,0.1327065156046685,0.6060297397519618,0.2669362439005517
REALMLP_GPU,DL,0.8442761064417845,0.8027828191167574,0.7341787223909031,0.9311504901127543,0.7450000000000001,0.9293578035982897,0.7896153846153846,0.8500669344042837,0.982125,0.9698585541086665,0.9322321203159376,0.7865315462569467,0.9456724782067248,711.3060085065583,0.902031865224557,1.1261888658361736,5.013467964220634,4169.775918222015,0.22671206467357857,0.6102293133735657,0.507548225723985,0.03160915622542364,0.5935180898948357,0.09758665445358232,0.5778146580363608,0.22505026052985158
TABM_GPU,DL,0.8338184772487696,0.8078115547489413,0.7321843186283266,0.9324961754207037,0.7017543859649122,0.9404618081464899,0.7811965811965812,0.8207496653279786,0.957375,0.9606252806466098,0.9301042305334151,0.7851367549308053,0.9411830635118307,724.3636562977437,0.9275436468576879,1.0877995905350197,4.4997519026239905,4105.547952453262,0.2124024789890273,0.6175538897514343,0.44745805216364437,0.046598555490574164,0.5241959021987332,0.09544541735023139,0.5600574552396258,0.2302941078960504
XRFM_GPU,DL,0.852536750189732,0.7804087265577736,0.6859558254450199,0.9153988894554932,0.673859649122807,0.9360883108884388,0.7677350427350428,0.817570281124498,0.9824937499999999,0.9289021906472512,0.9311501424604177,0.7403944644219242,0.92607098381071,721.7738049804848,0.8957594416323091,1.5604451878710464,5.4829799128889,4588.086639568085,0.2315184798072428,0.5951603055000305,0.4968122756214214,0.0351097915833094,0.40111243804193053,0.12933663743117435,0.5896315782970527,0.2951955451820066
