,category,Amazon,Fitness,GoodCust,MktCamp,Blood,Churn,Credit-G,Diabetes,Hazelnut,Polish,QSAR-Bio,Seismic,TaiwanBnk,Fiat500,QSAR-Fish,Airfoil,Concrete,Insurance,Houses,Wine,MIC,Anneal,Maternal,Splice,Students,Phishing
metric,,roc_auc,roc_auc,roc_auc,roc_auc,roc_auc,roc_auc,roc_auc,roc_auc,roc_auc,roc_auc,roc_auc,roc_auc,roc_auc,rmse,rmse,rmse,rmse,rmse,rmse,rmse,log_loss,log_loss,log_loss,log_loss,log_loss,log_loss
CAT,ML,0.8740279696281253,0.8030663944343618,0.740281002559981,0.9298048048048048,0.7078070175438597,0.933965225218823,0.7913675213675214,0.8392235609103079,0.96665,0.9701873115658477,0.9275435496086847,0.7845047401111475,0.945093399750934,700.0401599757595,0.9108357993477078,1.194328921266466,4.349307405056239,4099.415070640934,0.2123891618725666,0.5951534449124417,0.4571157959426395,0.028524514184980122,0.423541489234404,0.09439665247209905,0.5590578833362478,0.21068219564559593
EBM,ML,0.8414349702148491,0.8049379915305506,0.7282848127641841,0.9404852966173721,0.711140350877193,0.9341754610382689,0.7850854700854701,0.8519410977242302,0.968075,0.9726289370710116,0.9349731308832546,0.7870327993897788,0.9427708592777085,711.9699279023017,0.933905919615701,1.8230914958942663,4.378025654572182,4058.6072991706296,0.22898072242166487,0.6401973071384301,0.45422181487083435,0.05042694881558418,0.4953609108924866,0.09862197935581207,0.5706727504730225,0.2357894629240036
GBM,ML,0.8486415560358135,0.8037847852389595,0.7203071977138775,0.9371281659017509,0.7219298245614035,0.9343323976358834,0.7797435897435897,0.8345381526104417,0.97125625,0.9653281159792161,0.9225664514732932,0.7971014492753623,0.9468897882938979,694.7767230208133,0.9151007788510053,1.3395871120326175,4.23183913566624,4101.070785897937,0.21321526026234014,0.5943986045712717,0.4726287019090009,0.0444048792788039,0.41954079366003805,0.08290151980227468,0.5590978377309019,0.22905714781769784
KNN,ML,0.8503519881572813,0.7947859951603146,0.7178067512055725,0.9105827525638847,0.7039473684210527,0.8974552582643405,0.7679059829059829,0.8226907630522088,0.939734375,0.8402920328436718,0.9211598802611173,0.7862046420398823,0.9307285180572852,742.5808702589322,0.9347266281684382,2.226101772909643,6.060376754495909,4601.137288169586,0.27630138009737504,0.6073107000175537,0.6061546206474304,0.07725414633750916,0.40368014574050903,0.42031148076057434,0.6681692600250244,0.26445460319519043
LR,ML,0.8455168981376132,0.8015350877192983,0.7168839673751265,0.9239687801008556,0.7539473684210526,0.8196117447796373,0.7653418803418803,0.8263721552878179,0.94449375,0.9009718391173264,0.9206549572618747,0.7793396534815299,0.9402428393524284,728.5160420265911,0.9768729285149236,4.73505463317741,7.9030084866624035,5578.938995200396,0.32148281437516457,0.7129082908486525,0.49117279052734375,0.05425482988357544,0.7640236616134644,0.13375702500343323,0.574958086013794,0.33642998337745667
RF,ML,0.8481494675819722,0.7976595583787054,0.6945883193427398,0.9038401609156326,0.6664035087719298,0.9282710916865058,0.7817521367521367,0.8258366800535475,0.95415625,0.9493072037975495,0.9106286291340571,0.7834913370382478,0.9477397260273973,701.2809651242155,0.9166780663072045,1.7501195481092064,5.355749505698358,4226.209636611783,0.23378259923606406,0.6005092353373876,0.4852609175304887,0.023006393800036065,0.3990178342498508,0.16554376305443005,0.596872309653236,0.2486712805468587
XGB,ML,0.8550023432051356,0.8045031760435571,0.7136691075787343,0.9312921411978016,0.6993859649122807,0.9303201506591338,0.7847008547008547,0.826706827309237,0.97004375,0.9658653537750979,0.9185631334078695,0.7976680832516073,0.9476151930261519,703.2874734302538,0.9145528249148004,1.3129289996153388,4.2893139362250805,4133.899611275165,0.216042297916251,0.5989758781531935,0.4636714312343355,0.03892136917445271,0.4167617650971186,0.08992334112783526,0.562794103128165,0.2290283770953786
XT,ML,0.8453193247387111,0.8037847852389595,0.690986485681967,0.9107881466372032,0.6821052631578948,0.9341517724952327,0.7655128205128205,0.8403614457831325,0.95771875,0.8929573737892104,0.9267861651098207,0.7969597907813011,0.9455354919053549,697.173809783452,0.9078442096273903,1.6281719213990773,5.190510222950174,4132.754142034768,0.24026245348666914,0.5913277793246812,0.4809188638547862,0.029002307380355308,0.3968436642333707,0.16198822662430043,0.5793109367787521,0.23770534933948567
FASTAI,DL,0.8599686619376153,0.8037658802177858,0.7380186938143716,0.9274675619015241,0.7436842105263158,0.927030404244987,0.7693589743589744,0.843908969210174,0.98271875,0.8688899223811662,0.9342157463843906,0.7723874904652936,0.9129358655043587,715.9773149444072,0.9312487963568503,1.557922335141785,5.229370285200833,4214.627144308174,0.23340238623660736,0.6448814681437091,0.47454859883239714,0.08526936687443813,0.6179137976727035,0.08408622783986201,0.5567027168545615,0.22664938543111787
