,category,Amazon,Fitness,GoodCust,MktCamp,Blood,Churn,Credit-G,Diabetes,Hazelnut,Polish,QSAR-Bio,Seismic,TaiwanBnk,Fiat500,QSAR-Fish,Airfoil,Concrete,Insurance,Houses,Wine,MIC,Anneal,Maternal,Splice,Students,Phishing
metric,,roc_auc,roc_auc,roc_auc,roc_auc,roc_auc,roc_auc,roc_auc,roc_auc,roc_auc,roc_auc,roc_auc,roc_auc,roc_auc,rmse,rmse,rmse,rmse,rmse,rmse,rmse,log_loss,log_loss,log_loss,log_loss,log_loss,log_loss
CAT,ML,0.8740279696281253,0.8030663944343618,0.740281002559981,0.9298048048048048,0.7078070175438597,0.933965225218823,0.7913675213675214,0.8392235609103079,0.96665,0.9701873115658477,0.9275435496086847,0.7845047401111475,0.945093399750934,700.0401599757595,0.9108357993477078,1.194328921266466,4.349307405056239,4099.415070640934,0.2123891618725666,0.5951534449124417,0.4571157959426395,0.028524514184980122,0.423541489234404,0.09439665247209905,0.5590578833362478,0.21068219564559593
EBM,ML,0.8414349702148491,0.8049379915305506,0.7282848127641841,0.9404852966173721,0.711140350877193,0.9341754610382689,0.7850854700854701,0.8519410977242302,0.968075,0.9726289370710116,0.9349731308832546,0.7870327993897788,0.9427708592777085,711.9699279023017,0.933905919615701,1.8230914958942663,4.378025654572182,4058.6072991706296,0.22898072242166487,0.6401973071384301,0.45422181487083435,0.05042694881558418,0.4953609108924866,0.09862197935581207,0.5706727504730225,0.2357894629240036
KNN,ML,0.8503519881572813,0.7947859951603146,0.7178067512055725,0.9105827525638847,0.7039473684210527,0.8974552582643405,0.7679059829059829,0.8226907630522088,0.939734375,0.8402920328436718,0.9211598802611173,0.7862046420398823,0.9307285180572852,742.5808702589322,0.9347266281684382,2.226101772909643,6.060376754495909,4601.137288169586,0.27630138009737504,0.6073107000175537,0.6061546206474304,0.07725414633750916,0.40368014574050903,0.42031148076057434,0.6681692600250244,0.26445460319519043
LR,ML,0.8455168981376132,0.8015350877192983,0.7168839673751265,0.9239687801008556,0.7539473684210526,0.8196117447796373,0.7653418803418803,0.8263721552878179,0.94449375,0.9009718391173264,0.9206549572618747,0.7793396534815299,0.9402428393524284,728.5160420265911,0.9768729285149236,4.73505463317741,7.9030084866624035,5578.938995200396,0.32148281437516457,0.7129082908486525,0.49117279052734375,0.05425482988357544,0.7640236616134644,0.13375702500343323,0.574958086013794,0.33642998337745667
REALMLP_GPU,DL,0.8701218589673415,0.8049568965517241,0.7444484134071561,0.9350458949515553,0.7298245614035088,0.9379093676343436,0.7925213675213675,0.8459170013386881,0.98249375,0.9734147475784207,0.9302124283189671,0.7816933638443936,0.9516002490660025,690.2745994021611,0.9014784160630552,1.0118973418753692,4.141370860233445,4071.1783567245207,0.20022253813082494,0.5840844458809599,0.4443915784358978,0.029990119859576225,0.40136799216270447,0.08935730159282684,0.5559202432632446,0.2129228562116623
REALTABPFN-V2.5,Foundation,0.8461647390063088,0.8097209618874773,0.7144430553074954,0.9437716017904697,0.7303508771929824,0.938771038387284,0.7811538461538462,0.8431726907630522,0.989525,0.9897042786580281,0.9300681646048977,0.7914351095129127,0.9480074719800747,687.6317123672046,0.8866661964472332,0.870428852383852,3.7665874877665413,4030.724697336574,0.19625668823298525,0.6010726482497386,0.4496716148492175,0.010615817792250088,0.3801728631098418,0.08082871140702425,0.5437314022691051,0.20309345139166002
260331-engineeringLLMAdapterEngineered,,,0.8042006957047791,,,0.7428947368421053,,0.7931196581196581,0.8305220883534137,,,0.9094745194215025,,,,1.2147725578062682,,12.081982510169619,5779.555768386089,,,,0.17696474553855523,0.6604580759574981,,,0.2734123178306909
260401-2-engineeringLLMAdapterEngineered,,,,,,,,,,,,,,,1188.2177289256276,1.380915095651678,5.638593898411649,13.645988049857868,5924.153892748597,,0.758524780886758,,0.16923827644063524,0.6605605126327326,,0.5904481095030761,0.23219805508591895
260401-2-engineeringLLMAdapterReg,,,,,,,,,,,,,,,1130.5745298351815,1.4505611810269852,5.9426725662142585,15.135808312514442,5908.601552800396,0.4266491068469503,0.8088784678990772,,,,,,
