,category,Amazon,Fitness,GoodCust,MktCamp,Blood,Churn,Credit-G,Diabetes,Hazelnut,Polish,QSAR-Bio,Seismic,TaiwanBnk,Fiat500,QSAR-Fish,Airfoil,Concrete,Insurance,Houses,Wine,MIC,Anneal,Maternal,Splice,Students,Phishing
metric,,roc_auc,roc_auc,roc_auc,roc_auc,roc_auc,roc_auc,roc_auc,roc_auc,roc_auc,roc_auc,roc_auc,roc_auc,roc_auc,rmse,rmse,rmse,rmse,rmse,rmse,rmse,log_loss,log_loss,log_loss,log_loss,log_loss,log_loss
CAT,ML,0.8747154789302193,0.803406684815487,0.7261415728999226,0.9235013315201994,0.7050877192982457,0.9345959326771607,0.7838034188034187,0.8376171352074967,0.96828125,0.970516069023029,0.9232517041151225,0.7850713740873924,0.9486612702366127,707.2177838410694,0.9170500156250383,1.1912702718003423,4.333585714498188,4075.95781501091,0.21336260062289186,0.5950021385410639,0.46291828991172196,0.03157184199590883,0.4194495649199026,0.09510105752224289,0.563591772677617,0.2096628570755173
EBM,ML,0.8365399162842302,0.7998147307924985,0.7211109126629756,0.9345501161538897,0.720701754385965,0.9388124933375973,0.7799572649572649,0.8536144578313253,0.9671375,0.9735430431714671,0.9334583618855268,0.7867712760161273,0.9452303860523038,720.7888856414239,0.9338630759696042,1.8751122184601097,4.3791586681933,4036.8570231296108,0.23041538940030973,0.6414890811570596,0.46182143688201904,0.0720399022102356,0.5008673071861267,0.09967295825481415,0.5716558694839478,0.23986025154590607
GBM,ML,0.8443733556050574,0.8021589534180278,0.6923855450378044,0.9359241316788487,0.7157894736842105,0.9360498170060051,0.7777777777777778,0.8353413654618473,0.9706625,0.9637544903457567,0.9149565405561366,0.7952489920453307,0.9469551681195517,709.295159892907,0.9226082564792453,1.387637675978781,4.3673334678741815,4122.501833344633,0.2133303076697149,0.5946651702854623,0.47241345990143097,0.04346644381205891,0.42644122104415216,0.08189558735716483,0.5588950399345386,0.231650124226522
KNN,ML,0.8118064943068111,0.7734800362976406,0.7180448889682681,0.8873236443991162,0.6987719298245614,0.896205687619183,0.7601709401709402,0.8142570281124498,0.929640625,0.8277671755725191,0.9193205179067335,0.7768769750463115,0.8993337484433375,748.8332724043795,0.9471641989379048,2.553026758666722,6.260830250399818,4630.235613436097,0.28448999677825476,0.6195361600715585,0.7226147055625916,0.08581547439098358,0.7841119766235352,0.45617595314979553,0.7097740769386292,0.368958055973053
LR,ML,0.844168248278882,0.8008356019358742,0.7110793594094184,0.9239404498838462,0.748859649122807,0.8196117447796373,0.7652136752136752,0.8262382864792504,0.9426125,0.888775739303355,0.9209795506185307,0.7748937561294541,0.9412826899128269,728.5160420265911,0.97713369662337,4.7521850275766075,7.9501029449478455,5585.882360476944,0.3217970268292019,0.7119148484120975,0.48478934168815613,0.07239768654108047,0.7722097635269165,0.13420340418815613,0.5761099457740784,0.33630067110061646
RF,ML,0.8415401376894398,0.8005709316394435,0.7233434541882479,0.9024661453906737,0.6749122807017544,0.9267994409503844,0.7783333333333333,0.8239290495314592,0.952921875,0.9455926454551287,0.9108810906336784,0.7823798627002289,0.9457565379825654,702.9432002467729,0.920056349140093,1.7727015604892042,5.50373270046845,4289.116217210034,0.23437821466866735,0.5995202479743028,0.49073254645799275,0.023539500662349788,0.4399674529953946,0.16135064331904558,0.598109213533557,0.25568626948547096
XGB,ML,0.8512739717265547,0.803954930429522,0.7158421146633327,0.9303289138194799,0.7040350877192982,0.9321471295407976,0.7816666666666666,0.8228915662650602,0.96971875,0.9643278112771826,0.9171926281242111,0.8011550615669609,0.9477646326276463,704.7691264657134,0.9136282735981752,1.3029304493781608,4.271255724134107,4137.510116549243,0.21637083419623365,0.5978626652225161,0.46375151665478787,0.038616225868098306,0.4070107240108848,0.08866167273636845,0.5640535217848822,0.23096497115564346
XT,ML,0.8415158446178238,0.8081612976406534,0.6859855926653569,0.9106394129979035,0.6811403508771929,0.928510938184747,0.7638888888888888,0.8404283801874163,0.95631875,0.890822454936173,0.9253074620406102,0.7998365478914679,0.9443711083437111,698.0185653275971,0.905459028966759,1.7070150389205543,5.212221902799439,4131.086950546212,0.23998183362023293,0.5874727717272434,0.4937767138087758,0.02482260392827094,0.41466615708348536,0.15756866598996092,0.5787153441304163,0.2377492574289928
FASTAI,DL,0.8431958335229628,0.8028773442226256,0.7280169077811514,0.9255127769278713,0.7437719298245614,0.932792642338533,0.7460256410256411,0.8416331994645248,0.982659375,0.8528028577843351,0.9356223175965666,0.7524899204533072,0.91576899128269,723.5120868617647,0.9462138320385582,1.5302536185802997,5.204748498170599,4165.877969169726,0.2333122523199531,0.6572746270204208,0.49348651338696925,0.08061211093167875,0.6313937565379443,0.08734853095141341,0.5649288442885532,0.24296201463647907
MNCA_GPU,DL,0.8620873099144023,0.7961849667271628,0.7156635113413109,0.9389129695733469,0.6900877192982456,0.9462018382309396,0.7693589743589744,0.8275769745649264,0.98425,0.9741524472384374,0.9274353518231326,0.7955323090334532,0.9474813200498132,709.5030433305722,0.9425235469382216,1.40208685318452,5.750049206465128,4147.3356749873055,0.2043788820141145,0.5975091853065432,0.45659977604500124,0.04072477790727136,0.3957661924965936,0.10554972826963456,0.5709136041843255,0.2285486900959998
NN_TORCH,DL,0.8414967791692138,0.7973003629764065,0.7348038340179794,0.93506006006006,0.7418421052631579,0.9209557734901515,0.767991452991453,0.8333333333333334,0.98345,0.9621407723394702,0.9185631334078695,0.7946605644546147,0.9391656288916563,728.5593504604925,0.9401469683526422,1.24910343833217,4.350427102095671,4149.197832312457,0.22275421586277538,0.6457751981915152,0.4943461240909002,0.06393561637454895,0.5344304087149985,0.10166649048784011,0.5694885837000226,0.22878672559218163
