,category,Amazon,Fitness,GoodCust,MktCamp,Blood,Churn,Credit-G,Diabetes,Hazelnut,Polish,QSAR-Bio,Seismic,TaiwanBnk,Fiat500,QSAR-Fish,Airfoil,Concrete,Insurance,Houses,Wine,MIC,Anneal,Maternal,Splice,Students,Phishing
metric,,roc_auc,roc_auc,roc_auc,roc_auc,roc_auc,roc_auc,roc_auc,roc_auc,roc_auc,roc_auc,roc_auc,roc_auc,roc_auc,rmse,rmse,rmse,rmse,rmse,rmse,rmse,log_loss,log_loss,log_loss,log_loss,log_loss,log_loss
CAT,ML,0.8747154789302193,0.803406684815487,0.7261415728999226,0.9235013315201994,0.7050877192982457,0.9345959326771607,0.7838034188034187,0.8376171352074967,0.96828125,0.970516069023029,0.9232517041151225,0.7850713740873924,0.9486612702366127,707.2177838410694,0.9170500156250383,1.1912702718003423,4.333585714498188,4075.95781501091,0.21336260062289186,0.5950021385410639,0.46291828991172196,0.03157184199590883,0.4194495649199026,0.09510105752224289,0.563591772677617,0.2096628570755173
EBM,ML,0.8365399162842302,0.7998147307924985,0.7211109126629756,0.9345501161538897,0.720701754385965,0.9388124933375973,0.7799572649572649,0.8536144578313253,0.9671375,0.9735430431714671,0.9334583618855268,0.7867712760161273,0.9452303860523038,720.7888856414239,0.9338630759696042,1.8751122184601097,4.3791586681933,4036.8570231296108,0.23041538940030973,0.6414890811570596,0.46182143688201904,0.0720399022102356,0.5008673071861267,0.09967295825481415,0.5716558694839478,0.23986025154590607
KNN,ML,0.8118064943068111,0.7734800362976406,0.7180448889682681,0.8873236443991162,0.6987719298245614,0.896205687619183,0.7601709401709402,0.8142570281124498,0.929640625,0.8277671755725191,0.9193205179067335,0.7768769750463115,0.8993337484433375,748.8332724043795,0.9471641989379048,2.553026758666722,6.260830250399818,4630.235613436097,0.28448999677825476,0.6195361600715585,0.7226147055625916,0.08581547439098358,0.7841119766235352,0.45617595314979553,0.7097740769386292,0.368958055973053
LR,ML,0.844168248278882,0.8008356019358742,0.7110793594094184,0.9239404498838462,0.748859649122807,0.8196117447796373,0.7652136752136752,0.8262382864792504,0.9426125,0.888775739303355,0.9209795506185307,0.7748937561294541,0.9412826899128269,728.5160420265911,0.97713369662337,4.7521850275766075,7.9501029449478455,5585.882360476944,0.3217970268292019,0.7119148484120975,0.48478934168815613,0.07239768654108047,0.7722097635269165,0.13420340418815613,0.5761099457740784,0.33630067110061646
REALMLP_GPU,DL,0.865970050025277,0.8019131881427707,0.7481990831696136,0.9239404498838462,0.7248245614035088,0.9382202797616933,0.7967094017094017,0.8390227576974565,0.983075,0.9670601064853422,0.9307894831752443,0.7861610548109403,0.9496326276463263,702.3571227465733,0.9277910670743514,1.0574588562226745,4.1443805956176565,4053.78243177254,0.20184177882136917,0.5885012512830431,0.4505569338798523,0.029962634667754173,0.39439043402671814,0.0916319414973259,0.5615809559822083,0.21098873019218445
REALTABPFN-V2.5,Foundation,0.845523048282326,0.8097682244404114,0.7070756682740965,0.9418168168168168,0.7272368421052632,0.938782882658802,0.7849145299145299,0.84190093708166,0.9901,0.988258948617615,0.930158329426191,0.7979187098180233,0.9522073474470735,697.4176906057517,0.897436572997375,0.904754868538982,3.757035054282707,4101.051858354645,0.19677554629172708,0.6119745467518517,0.4450883532443826,0.022725010286512803,0.38372504550391073,0.08563274751588588,0.5469248356830934,0.20871952774475078
260331-engineeringLLMAdapterEngineered,,,0.8063747731397459,,,0.745,,0.7807692307692308,0.837483266398929,,,0.9131532441302701,,,,1.231444043572989,,11.734070862070308,5812.746391772017,,,,0.18179881275413376,0.6530663072422672,,,0.2677404971071894
260401-2-engineeringLLMAdapterEngineered,,,,,,,,,,,,,,,1182.9182231177099,1.387651578536106,5.5228803791141985,13.141023993144207,5809.546089016593,,0.7521935785321087,,0.1613506441406445,0.6585478315659763,,0.5885984916455376,0.2403640120324146
260401-2-engineeringLLMAdapterReg,,,,,,,,,,,,,,,1118.1978895620791,1.4793084559000116,5.76150033530827,15.082401575626578,5558.933309578889,0.4266491068469503,0.8009641103564066,,,,,,
260401-engineeringLLMAdapterEngineered,,,,,,0.7343859649122807,,,0.8345381526104417,,,,,,,,,,,,0.7548799669770212,,0.23264875687425776,,,,
FTTransformer,DL,0.8400269714596384,0.80295296430732,0.7363814966958385,0.9310654994617259,0.7185087719298245,0.9419645500953464,0.7801282051282051,0.8208835341365461,0.96170625,0.966382545384566,0.910520431348505,0.7886673204751008,0.925887297633873,888.8334009612936,1.044015876783817,2.8391759048295855,6.24354772675397,4393.419627855666,0.3465793093902879,0.7019502162361629,0.48179443192510274,0.03540062392415872,0.5519950665282777,0.11556704995507361,0.5898039976527585,0.22404385911772037
LLMBaseline,LLM,,,,,0.710701754385965,,0.8037179487179488,0.7922021419009371,,,0.8573412197497025,,,,1.377322526120282,,7.720128989237772,5885.299005555479,,,,0.07454145171413588,0.8115161339868574,,,0.2403135112802993
LLMBaselineBidirectional,LLM,,,,,0.7194736842105263,,0.7687179487179487,0.7761044176706827,,,0.8633822627763552,,,,1.2064643274261648,,10.571701950551558,7980.436431272723,,,,0.04848979111511302,0.5632717742705299,,,0.3231860305706231
LLMBaselineBidirectionalPooling,LLM,,,,,0.6857017543859649,,0.7933333333333333,0.7827978580990629,,,0.8605691203520035,,,,0.9808762809967106,,5.529651937280752,4624.262458013347,,,,0.03487228718886535,0.4394659779613746,,,0.22955147263948614
TFMLLM,LLM,0.8272372842682988,,,,0.7235964912280701,,0.80508547008547,0.822289156626506,,,0.8923432033757709,,,,1.154434688319067,4.8481937905713535,10.205787146851774,5549.358220923266,,,,0.04810217275660198,0.5888330938991257,,,0.2285811183085557
