dataset,fold,method,metric_error,time_train_s,time_infer_s,metric,problem_type,metric_error_val,imputed,impute_method,method_type,method_subtype,config_type,ta_name,ta_suite
Amazon_employee_access,0,CAT (default),0.12784067496608187,49.75146269798279,0.48199915885925293,roc_auc,binary,0.11766578138284411,False,,config,default,CAT,CatBoost,tabarena-2025-06-12
Amazon_employee_access,0,CAT (tuned),0.12528452106978072,19956.36093187332,0.2140333652496338,roc_auc,binary,0.11321288505669203,False,,hpo,tuned,CAT,CatBoost,tabarena-2025-06-12
Amazon_employee_access,0,CAT (tuned + ensemble),0.12597203037187465,19956.36093187332,0.835491418838501,roc_auc,binary,0.11232058502863362,False,,hpo,tuned_ensemble,CAT,CatBoost,tabarena-2025-06-12
Amazon_employee_access,0,XT (default),0.16623695093045532,2.7676310539245605,0.20565009117126465,roc_auc,binary,0.16659678628336927,False,,config,default,XT,ExtraTrees,tabarena-2025-06-12
Amazon_employee_access,0,XT (tuned),0.1584841553821762,802.3395597934723,0.5103492736816406,roc_auc,binary,0.16086931555314166,False,,hpo,tuned,XT,ExtraTrees,tabarena-2025-06-12
Amazon_employee_access,0,XT (tuned + ensemble),0.15468067526128892,802.3395597934723,2.3584184646606445,roc_auc,binary,0.15125365061946505,False,,hpo,tuned_ensemble,XT,ExtraTrees,tabarena-2025-06-12
Amazon_employee_access,0,GBM (default),0.16340304112355775,7.384580373764038,0.803459882736206,roc_auc,binary,0.16367746221283563,False,,config,default,GBM,LightGBM,tabarena-2025-06-12
Amazon_employee_access,0,GBM (tuned),0.15562664439494256,1855.8313999176025,0.7574217319488525,roc_auc,binary,0.14828756251448771,False,,hpo,tuned,GBM,LightGBM,tabarena-2025-06-12
Amazon_employee_access,0,GBM (tuned + ensemble),0.15135844396418652,1855.8313999176025,33.85456681251526,roc_auc,binary,0.1364312953752771,False,,hpo,tuned_ensemble,GBM,LightGBM,tabarena-2025-06-12
Amazon_employee_access,0,FASTAI (default),0.16017367701162022,59.67642617225647,1.2495763301849365,roc_auc,binary,0.2217017960269967,False,,config,default,FASTAI,NeuralNetFastAI,tabarena-2025-06-12
Amazon_employee_access,0,FASTAI (tuned),0.1568041664770372,12403.872760772705,0.9067482948303223,roc_auc,binary,0.15780695307253145,False,,hpo,tuned,FASTAI,NeuralNetFastAI,tabarena-2025-06-12
Amazon_employee_access,0,FASTAI (tuned + ensemble),0.14003133806238466,12403.872760772705,37.39966082572937,roc_auc,binary,0.12578520846868813,False,,hpo,tuned_ensemble,FASTAI,NeuralNetFastAI,tabarena-2025-06-12
Amazon_employee_access,0,NN_TORCH (default),0.16553391251296146,60.36688470840454,0.4264061450958252,roc_auc,binary,0.18358177166744793,False,,config,default,NN_TORCH,NeuralNetTorch,tabarena-2025-06-12
Amazon_employee_access,0,NN_TORCH (tuned),0.15850322083078616,39393.39175415039,3.2536065578460693,roc_auc,binary,0.1719235650979366,False,,hpo,tuned,NN_TORCH,NeuralNetTorch,tabarena-2025-06-12
Amazon_employee_access,0,NN_TORCH (tuned + ensemble),0.14954945577369438,39393.39175415039,29.953652143478394,roc_auc,binary,0.14571988093703991,False,,hpo,tuned_ensemble,NN_TORCH,NeuralNetTorch,tabarena-2025-06-12
Amazon_employee_access,0,RF (default),0.1584598623105602,1.9469411373138428,0.1266164779663086,roc_auc,binary,0.163255856115036,False,,config,default,RF,RandomForest,tabarena-2025-06-12
Amazon_employee_access,0,RF (tuned),0.1584598623105602,959.7671551704407,0.1266164779663086,roc_auc,binary,0.163255856115036,False,,hpo,tuned,RF,RandomForest,tabarena-2025-06-12
Amazon_employee_access,0,RF (tuned + ensemble),0.15185053241802782,959.7671551704407,2.2259676456451416,roc_auc,binary,0.1495298726155384,False,,hpo,tuned_ensemble,RF,RandomForest,tabarena-2025-06-12
Amazon_employee_access,0,XGB (default),0.1657895279025915,97.58386278152466,1.131519079208374,roc_auc,binary,0.1714399462415256,False,,config,default,XGB,XGBoost,tabarena-2025-06-12
Amazon_employee_access,0,XGB (tuned),0.14872602827344528,14511.950913667679,1.78230881690979,roc_auc,binary,0.13551485473477687,False,,hpo,tuned,XGB,XGBoost,tabarena-2025-06-12
Amazon_employee_access,0,XGB (tuned + ensemble),0.14499765679486443,14511.950913667679,19.659715175628662,roc_auc,binary,0.13014851373911973,False,,hpo,tuned_ensemble,XGB,XGBoost,tabarena-2025-06-12
Amazon_employee_access,0,MNCA_GPU (default),0.15962838980601224,216.84325695037842,23.203601598739624,roc_auc,binary,0.1630762514948647,False,,config,default,MNCA_GPU,ModernNCA_GPU,tabarena-2025-06-12
Amazon_employee_access,0,MNCA_GPU (tuned),0.1379126900855977,65878.71771430969,25.40571141242981,roc_auc,binary,0.1451851001144039,False,,hpo,tuned,MNCA_GPU,ModernNCA_GPU,tabarena-2025-06-12
Amazon_employee_access,0,MNCA_GPU (tuned + ensemble),0.12977781679702927,65878.71771430969,693.9752151966095,roc_auc,binary,0.12440781080366348,False,,hpo,tuned_ensemble,MNCA_GPU,ModernNCA_GPU,tabarena-2025-06-12
Amazon_employee_access,0,TABICL_GPU (default),0.14840668200922758,269.1712281703949,59.215744972229004,roc_auc,binary,0.15157731151165366,False,,config,default,TABICL_GPU,TabICL_GPU,tabarena-2025-06-12
Amazon_employee_access,0,TABM_GPU (default),0.16618152275123044,203.5401303768158,1.1128323078155518,roc_auc,binary,0.18909501126657935,False,,config,default,TABM_GPU,TabM_GPU,tabarena-2025-06-12
