method,elo,elo+,elo-,rank,winrate,improvability,improvability+,improvability-,mrr,rank=1_count,rank=2_count,rank=3_count,rank>3_count,time_train_s,time_infer_s,time_train_s_per_1K,time_infer_s_per_1K,normalized-error,normalized-error-task,imputed,median_rank,median_improvability,median_loss_rescaled,median_metric_error,median_time_train_s,median_time_infer_s,median_time_train_s_per_1K,median_time_infer_s_per_1K,median_normalized-error,median_normalized-error-task,median_imputed,method_type,method_subtype,config_type,ta_name,ta_suite
TABICLV2 (default),1681.5,150.0,79.0,7.884615384615385,0.9226448,0.09390889830529871,0.07757183158681004,0.06824528138845896,0.36573757941405,6.0,2.0,0.0,18.0,12.207729192880484,0.5267466581784762,9.574571307692903,0.827174673399218,0.24032389296543843,0.24032389296543843,0.0,5.0,0.024303097550495145,0.01944611199979958,0.20012345692242872,9.66187596321106,0.4478832483291626,7.362582595217149,0.75599117660159,0.1723282664983502,0.1723282664983502,0.0,config,default,TABICLV2,TabICLv2,tabarena-2026-02-16
"AutoGluon 1.5 (extreme, 4h)",1622.5,146.8,102.9,10.173076923076923,0.89693177,0.07202378537494523,0.037012800439413046,0.03179834784351653,0.29526886743485936,4.0,1.0,3.0,18.0,1308.4817936878937,7.554314677531902,407.38232007941235,5.697723305780132,0.2473033894512511,0.2473033894512511,0.0,5.5,0.038970900003491016,0.024065895514284542,0.20804348558362099,298.47935247421265,3.6743921041488647,280.62367140726786,4.161304439921807,0.22004650382681618,0.22004650382681618,0.0,baseline,,,AutoGluon_v150_eq_4h8c,tabarena-2025-12-18
REALTABPFN-V2.5 (tuned + ensemble),1594.1,171.7,98.8,11.423076923076923,0.8828867,0.09114362794635193,0.051134571699328876,0.04449061757950741,0.3227235645244627,4.0,5.0,2.0,15.0,4978.3676593211985,13.288337377401499,2726.024965172225,12.842490583192118,0.30182865064742564,0.30182865064742564,0.0,8.0,0.044682730536870496,0.025216172928900507,0.20582917093937364,3024.919993519783,8.278626084327698,2471.101278238834,8.341355046927378,0.14124675050685379,0.14124675050685379,0.0,hpo,tuned_ensemble,REALTABPFN-V2.5,RealTabPFN-v2.5,tabarena-2025-11-12
REALTABPFN-V2.5 (tuned),1556.1,149.9,106.9,13.26923076923077,0.8621435,0.11641262751795883,0.06423266878955744,0.06032453659477599,0.1877427462952816,0.0,3.0,3.0,20.0,4978.3676593211985,1.5802911520004272,2726.024965172225,1.2865102792996634,0.33266258969414014,0.33266258969414014,0.0,5.5,0.05073885148821128,0.03324957564165833,0.20540040896336376,3024.919993519783,0.6240687370300293,2471.101278238834,0.9417442992552072,0.2154941130336416,0.2154941130336416,0.0,hpo,tuned,REALTABPFN-V2.5,RealTabPFN-v2.5,tabarena-2025-11-12
REALTABPFN-V2.5 (default),1550.6,161.9,133.8,13.557692307692308,0.8589024,0.11334893598324444,0.06350483368356427,0.062407310112883696,0.1639341409078251,0.0,2.0,1.0,23.0,10.907605675550608,0.7785676717758179,8.224876255851548,0.750004363923918,0.316039853580224,0.316039853580224,0.0,7.5,0.038770933755731596,0.025017998283986174,0.20736886290200512,8.07791543006897,0.2879657745361328,7.211402262628194,0.5864605189718978,0.1878000908015785,0.1878000908015785,0.0,config,default,REALTABPFN-V2.5,RealTabPFN-v2.5,tabarena-2025-11-12
"AutoGluon 1.4 (extreme, 4h)",1544.3,119.4,67.7,13.884615384615385,0.8552291,0.12434177893828768,0.06950586393189251,0.06802337723661803,0.14295447120097052,1.0,0.0,2.0,23.0,1928.4726278231694,9.84758503620441,1001.032930343289,9.154279514812108,0.3509618644057663,0.3509618644057663,0.0,11.0,0.06373749951631402,0.049296268556043195,0.208222929735554,951.9264584779739,3.992832660675049,657.2080894183309,6.94088885713689,0.29068217375115235,0.29068217375115235,0.0,baseline,,,AutoGluon_v140_eq_4h8c,tabarena-2025-11-01
REALMLP_GPU (tuned + ensemble),1531.5,82.9,53.5,14.576923076923077,0.8474503,0.14267554840661853,0.08179702436168546,0.0753469453816561,0.13554364063575625,1.0,0.0,2.0,23.0,7732.08039199389,23.115944862365723,4353.549730140585,39.61078728286029,0.3539695911045651,0.3539695911045651,0.0,13.5,0.0656899656032946,0.04058678593886174,0.2102007443451474,4570.616978883743,22.417879819869995,4080.9946777125115,27.87677371789559,0.2954029306739304,0.2954029306739304,0.0,hpo,tuned_ensemble,REALMLP_GPU,RealMLP_GPU,tabarena-2025-09-03
"AutoGluon 1.4 (best, 4h)",1502.4,105.6,57.2,16.23076923076923,0.8288678,0.1438336124245356,0.08047254895479047,0.08012363808596427,0.11389026425315198,0.0,2.0,0.0,24.0,6832.612826310671,4.709625895206745,5484.5789287571615,3.5289586590099042,0.39808691476876057,0.39808691476876057,0.0,15.0,0.056554363483763304,0.04216902953027549,0.21228242009706544,5932.37004339695,1.2819836139678955,4611.628034577223,1.6752150688801442,0.3410674429703253,0.3410674429703253,0.0,baseline,,,AutoGluon_v140_bq_4h8c,tabarena-2025-11-01
TABDPT_GPU (tuned + ensemble),1497.9,127.4,88.2,16.5,0.8258427,0.14331074632585977,0.08803750027128487,0.07467207923151961,0.20274982924889218,3.0,0.0,1.0,22.0,18448.7004988652,483.8100707255877,8535.342167808922,371.03563603989636,0.38274857302463794,0.38274857302463794,0.0,10.5,0.0607333408104076,0.028939110015645208,0.21003208260356815,9473.010305643082,190.65089118480682,8427.869680698299,394.9110577560327,0.2917989129500159,0.2917989129500159,0.0,hpo,tuned_ensemble,TABDPT_GPU,TabDPT_GPU,tabarena-2025-10-20
REALMLP_GPU (tuned),1458.3,84.8,61.4,18.98076923076923,0.7979688,0.15499071720337468,0.08125021220940604,0.07423526382481774,0.09355879790749583,0.0,1.0,0.0,25.0,7732.08039199389,1.5957157336748564,4353.549730140585,3.2281491686586623,0.44999435901417867,0.44999435901417867,0.0,16.0,0.08346431625579598,0.05066660533447505,0.20713966424139135,4570.616978883743,0.8182452917098999,4080.9946777125115,1.3792819031416865,0.44030282286687955,0.44030282286687955,0.0,hpo,tuned,REALMLP_GPU,RealMLP_GPU,tabarena-2025-09-03
TABPFNV2_GPU (tuned + ensemble),1456.2,141.6,89.5,19.115384615384617,0.7964564,0.1508672846289316,0.07676745596111739,0.07373579674039521,0.12046899953463498,0.0,1.0,2.0,23.0,7826.054530758124,71.51162120012137,4103.268997967843,58.2429164874609,0.466002893456466,0.466002893456466,0.07692307692307693,12.0,0.08030544201339929,0.06431891069061318,0.21191850166106457,4339.128355741501,14.85780644416809,3374.8690531719712,24.70733548858736,0.42094951565378047,0.42094951565378047,0.0,hpo,tuned_ensemble,TABPFNV2_GPU,TabPFNv2_GPU,tabarena-2025-06-12
MITRA_GPU (default),1437.8,117.1,92.5,20.346153846153847,0.78262746,0.15730730926022468,0.07276150378083812,0.06373202666122904,0.08947195658943242,0.0,1.0,1.0,24.0,329.37103205460767,3.824843791814951,168.87889462542776,3.762441943317354,0.47270176535812136,0.47270176535812136,0.07692307692307693,16.5,0.1030094585493408,0.06302310375228191,0.2180023012999707,105.81912982463837,1.271743893623352,119.27737259932536,2.6901053150134118,0.3931883621365083,0.3931883621365083,0.0,config,default,MITRA_GPU,Mitra_GPU,tabarena-2025-09-03
TABDPT_GPU (tuned),1405.9,129.8,119.9,22.596153846153847,0.7573466,0.16018059675921953,0.0906108027285395,0.07717934426573916,0.10258398537811687,0.0,2.0,0.0,24.0,18448.7004988652,55.14867028823266,8535.342167808922,38.218223539233136,0.45623881048178877,0.45623881048178877,0.0,14.0,0.08577158767427878,0.047328498749151834,0.20809643092258073,9473.010305643082,18.1343834400177,8427.869680698299,39.314739268400096,0.3308177443350835,0.3308177443350835,0.0,hpo,tuned,TABDPT_GPU,TabDPT_GPU,tabarena-2025-10-20
TABM_GPU (tuned + ensemble),1374.3,108.3,77.2,24.96153846153846,0.7307693,0.1748081278489444,0.07731218762168296,0.07285983774453687,0.05754263677898522,0.0,0.0,0.0,26.0,9415.215423721533,1.9216827704356267,4923.029614190937,1.9747518673655873,0.525816363841395,0.525816363841395,0.0,21.5,0.1027703413037881,0.07113315619824416,0.20938484030589294,5836.307061672211,1.139960527420044,3845.9012756932166,1.5042340772595248,0.4664906905493701,0.4664906905493701,0.0,hpo,tuned_ensemble,TABM_GPU,TabM_GPU,tabarena-2025-06-12
CAT (tuned + ensemble),1372.0,70.1,65.9,25.134615384615383,0.72882456,0.17839970564901142,0.0859010750091293,0.08221067366669214,0.05893330751359168,0.0,0.0,0.0,26.0,7265.181447148323,1.1870916073138897,4546.423720018823,1.1873093896988494,0.5435914725247568,0.5435914725247568,0.0,22.5,0.0864463211953897,0.07011112996644081,0.21153567875908125,3980.104480266571,0.7924022674560547,2626.8836421904543,1.1070644110594814,0.4743283718178388,0.4743283718178388,0.0,hpo,tuned_ensemble,CAT,CatBoost,tabarena-2025-06-12
GBM (tuned + ensemble),1359.4,58.4,46.9,26.115384615384617,0.7178047,0.18951881601995582,0.08957024272093903,0.08640503140046349,0.04903595543480667,0.0,0.0,0.0,26.0,1369.4651233874833,5.279559447215154,1072.2193277652837,4.189009356361051,0.6157874630583147,0.6157874630583147,0.0,27.5,0.11326628421900803,0.07385841815972255,0.21673583525937523,1274.7311160564423,1.8925687074661255,974.4450373253994,3.180692647699316,0.6800308616881319,0.6800308616881319,0.0,hpo,tuned_ensemble,GBM,LightGBM,tabarena-2025-06-12
CAT (tuned),1359.0,67.7,44.5,26.153846153846153,0.71737254,0.18542641870737572,0.08652511660090964,0.07938008726365028,0.05387741996597635,0.0,0.0,0.0,26.0,7265.181447148323,0.1411910974062406,4546.423720018823,0.15567471837770633,0.5878545850390497,0.5878545850390497,0.0,25.5,0.09519747415282281,0.06703713734087163,0.21414561326774975,3980.104480266571,0.06132864952087402,2626.8836421904543,0.08428854741024883,0.5877723651056379,0.5877723651056379,0.0,hpo,tuned,CAT,CatBoost,tabarena-2025-06-12
TABPFNV2_GPU (default),1347.6,163.6,90.8,27.057692307692307,0.70721704,0.1617984214692891,0.07078074664733272,0.06902659003192418,0.11881269410961177,1.0,0.0,2.0,23.0,7.884952545166016,0.4263968834510216,6.465955402382897,0.559117925696563,0.5251391160995296,0.5251391160995296,0.07692307692307693,19.5,0.07999142236341533,0.03462408450780506,0.22286673551767514,7.273456811904907,0.27374911308288574,5.353146134290989,0.5690466883453597,0.43464556879723615,0.43464556879723615,0.0,config,default,TABPFNV2_GPU,TabPFNv2_GPU,tabarena-2025-06-12
TABDPT_GPU (default),1345.2,148.8,114.6,27.25,0.7050562,0.17489541878760903,0.095007330665872,0.08351378377287152,0.10388786732579117,0.0,2.0,1.0,23.0,130.60318236167615,57.93923458686242,44.58822469812886,42.39807907149111,0.4985731374123527,0.4985731374123527,0.0,15.5,0.09526739061208361,0.04771287302449399,0.20907381745975273,36.846720933914185,16.39503765106201,44.46939548810328,39.74838421278399,0.4011762117220404,0.4011762117220404,0.0,config,default,TABDPT_GPU,TabDPT_GPU,tabarena-2025-10-20
TABPFNV2_GPU (tuned),1336.9,131.4,79.2,27.923076923076923,0.69749355,0.16777407188405835,0.06871850383294706,0.06763400102593306,0.0633138074435005,0.0,0.0,0.0,26.0,7826.054530758124,4.616302389364976,4103.268997967843,2.9630921263364884,0.576027639816716,0.576027639816716,0.07692307692307693,25.5,0.10828814581862517,0.06269629847960988,0.2209053552073008,4339.128355741501,0.21816766262054443,3374.8690531719712,0.5351009078601565,0.5954540930077461,0.5954540930077461,0.0,hpo,tuned,TABPFNV2_GPU,TabPFNv2_GPU,tabarena-2025-06-12
XRFM_GPU (tuned + ensemble),1324.3,97.4,69.2,28.96153846153846,0.68582547,0.18389981787009463,0.08122340099008729,0.07574311478944487,0.05242789065874802,0.0,0.0,0.0,26.0,4286.517302421423,11.782120888049786,1909.8089241025302,6.387848459484829,0.5729074134909888,0.5729074134909888,0.0,21.5,0.12871867092391776,0.06766805497189478,0.2215297596941736,2055.5427273511887,2.0249632596969604,1875.5949330589756,2.6822624393753864,0.47054361968170033,0.47054361968170033,0.0,hpo,tuned_ensemble,XRFM_GPU,xRFM_GPU,tabarena-2025-09-03
XGB (tuned + ensemble),1317.2,56.9,51.9,29.557692307692307,0.67912704,0.20024886610269055,0.08739301312321662,0.08464517170931497,0.04413674372745601,0.0,0.0,0.0,26.0,2417.038146816767,3.6136165123719435,1409.8563076080686,4.536573766792989,0.6497889606510292,0.6497889606510292,0.0,26.5,0.13760438216403198,0.08528318866365789,0.21567072160769815,1566.1410616636276,1.317580223083496,1358.0971958058967,2.1166677642398977,0.6543807413755046,0.6543807413755046,0.0,hpo,tuned_ensemble,XGB,XGBoost,tabarena-2025-06-12
CAT (default),1315.4,59.8,63.4,29.71153846153846,0.67739844,0.19387037760694212,0.09323829846755907,0.08900397272779711,0.04760581351284535,0.0,0.0,0.0,26.0,175.3156285744447,0.2092607571528508,156.8445264529247,0.19963554741167389,0.6289405043726106,0.6289405043726106,0.0,31.0,0.12407697653961486,0.07969340652875351,0.2101423522911624,15.122143626213074,0.05073070526123047,8.908279475122399,0.11991016400540606,0.6273162666000436,0.6273162666000436,0.0,config,default,CAT,CatBoost,tabarena-2025-06-12
MNCA_GPU (tuned),1308.3,95.5,73.6,30.307692307692307,0.67070013,0.1911913711318716,0.08071673350845751,0.07641544288737757,0.0817046946883875,1.0,0.0,0.0,25.0,13045.27923150246,1.3647999121592596,7887.241220973655,0.6205604507071694,0.6252611099022004,0.6252611099022004,0.0,30.5,0.11898279232744213,0.08450353631611818,0.2165081905312733,10357.648259401321,0.3412846326828003,7349.617701988041,0.5267175594580474,0.6282882583048957,0.6282882583048957,0.0,hpo,tuned,MNCA_GPU,ModernNCA_GPU,tabarena-2025-06-12
XGB (tuned),1307.4,66.7,52.8,30.384615384615383,0.6698358,0.19997221842867985,0.08748120393915282,0.0807374902094562,0.0556143182196363,0.0,1.0,0.0,25.0,2417.038146816767,0.695785430761484,1409.8563076080686,1.0570645629896505,0.6485000243104089,0.6485000243104089,0.0,28.5,0.13247347758822065,0.07913795960406395,0.21735208376478352,1566.1410616636276,0.2549399137496948,1358.0971958058967,0.35982076624478954,0.6507379397249831,0.6507379397249831,0.0,hpo,tuned,XGB,XGBoost,tabarena-2025-06-12
TABM_GPU (tuned),1297.8,92.5,82.6,31.21153846153846,0.6605445,0.1873699916951004,0.0764342163697613,0.0739382385208258,0.04665626445866177,0.0,0.0,0.0,26.0,9415.215423721533,0.19370852983914888,4923.029614190937,0.2432626108670924,0.6075535968220681,0.6075535968220681,0.0,28.0,0.12757742781504838,0.0831368810588015,0.21045635814282754,5836.307061672211,0.14712977409362793,3845.9012756932166,0.22814816804938637,0.5416177975864472,0.5416177975864472,0.0,hpo,tuned,TABM_GPU,TabM_GPU,tabarena-2025-06-12
GBM (tuned),1290.4,70.0,52.3,31.846153846153847,0.653414,0.20121283442317775,0.08723606297158362,0.09030821743179265,0.041815857788099854,0.0,0.0,0.0,26.0,1369.4651233874833,0.8628785335100614,1072.2193277652837,0.866311209240535,0.6759459167005155,0.6759459167005155,0.0,31.5,0.12267807645543316,0.0825568660789297,0.21777626494596855,1274.7311160564423,0.328136682510376,974.4450373253994,0.562486732247516,0.7036483095209495,0.7036483095209495,0.0,hpo,tuned,GBM,LightGBM,tabarena-2025-06-12
REALMLP_GPU (default),1289.1,78.9,79.8,31.96153846153846,0.65211755,0.1964725630026024,0.07373622779511296,0.07813437946459559,0.05447064307237926,0.0,0.0,1.0,25.0,34.06276888113756,3.6921843657126794,20.71723834500821,6.819333817330052,0.6436827154448168,0.6436827154448168,0.0,31.5,0.11182801783507673,0.09788229796281461,0.21925935713645245,23.93073260784149,3.4276816844940186,19.195888095468355,6.37385886969882,0.6342494645134495,0.6342494645134495,0.0,config,default,REALMLP_GPU,RealMLP_GPU,tabarena-2025-09-03
TABICL_GPU (default),1277.3,105.0,76.6,33.0,0.6404494,0.19656415706575994,0.08442207871434962,0.08338281735905807,0.0924800139367757,1.0,0.0,1.0,24.0,22.001407797519978,3.478435653906602,9.346032680530488,1.749821119496724,0.6921869193876836,0.6921869193876836,0.2692307692307692,32.0,0.10860976213295226,0.0987648842372228,0.21207355763991909,11.056508421897888,0.8465703725814819,9.073519792448254,1.8644228205901028,0.7773355505544075,0.7773355505544075,0.0,config,default,TABICL_GPU,TabICL_GPU,tabarena-2025-06-12
XRFM_GPU (tuned),1273.6,105.2,87.7,33.32692307692308,0.6367762,0.19397081504157854,0.08000532028565832,0.071944835072645,0.048468063238263165,0.0,0.0,0.0,26.0,4286.517302421423,0.5948221408403837,1909.8089241025302,0.24892029517926664,0.6508251765959392,0.6508251765959392,0.0,32.5,0.13161509258025006,0.08191396888590685,0.2208719750882222,2055.5427273511887,0.058486104011535645,1875.5949330589756,0.10770437699018165,0.5721395032216454,0.5721395032216454,0.0,hpo,tuned,XRFM_GPU,xRFM_GPU,tabarena-2025-09-03
MNCA_GPU (tuned + ensemble),1271.2,113.3,113.7,33.53846153846154,0.63439935,0.20563510317295122,0.08506441031354697,0.07866371177331188,0.05268781709361299,0.0,0.0,0.0,26.0,13045.27923150246,34.522786103762115,7887.241220973655,11.80218145904005,0.620455240243104,0.620455240243104,0.0,27.0,0.12916321926415314,0.0923259311532668,0.21967995846242291,10357.648259401321,6.225618481636047,7349.617701988041,8.977665157988667,0.6087189604136318,0.6087189604136318,0.0,hpo,tuned_ensemble,MNCA_GPU,ModernNCA_GPU,tabarena-2025-06-12
EBM (tuned + ensemble),1266.0,94.6,85.6,34.0,0.6292136,0.20850944687858097,0.08999239805186626,0.099504036444742,0.06221614864062735,0.0,1.0,0.0,25.0,48798.87466104214,2.3562299563334537,20275.61959045929,1.1599951649901876,0.6739588504508787,0.6739588504508787,0.0,32.5,0.11778701203701214,0.10061766063044911,0.22194762616809738,5306.457452654839,0.3448904752731323,3743.9706723273466,0.5707784840631722,0.7527659290855779,0.7527659290855779,0.0,hpo,tuned_ensemble,EBM,ExplainableBM,tabarena-2025-09-03
NN_TORCH (tuned + ensemble),1240.5,70.3,63.4,36.30769230769231,0.60328436,0.20668541889901929,0.0757750953865177,0.08106287450971983,0.03589385487985886,0.0,0.0,0.0,26.0,9159.26485957549,3.456615319618812,4862.698265064249,3.158734063072085,0.7078611607941466,0.7078611607941466,0.0,32.0,0.11810527487347067,0.10693628822223275,0.2174244016421662,5277.000930070877,1.6524343490600586,3820.2220542278365,2.426113678049404,0.6822145173791365,0.6822145173791365,0.0,hpo,tuned_ensemble,NN_TORCH,NeuralNetTorch,tabarena-2025-06-12
