,category,Blood,Airfoil
metric,,roc_auc,rmse
CAT,ML,0.7078070175438597,1.194328921266466
EBM,ML,0.711140350877193,1.8230914958942663
GBM,ML,0.7219298245614035,1.3395871120326175
KNN,ML,0.7039473684210527,2.226101772909643
LR,ML,0.7539473684210526,4.73505463317741
RF,ML,0.6664035087719298,1.7501195481092064
XGB,ML,0.6993859649122807,1.3129289996153388
XT,ML,0.6821052631578948,1.6281719213990773
FASTAI,DL,0.7436842105263158,1.557922335141785
MNCA_GPU,DL,0.6753508771929825,1.3085769117138073
NN_TORCH,DL,0.7406140350877193,1.251028764856233
REALMLP_GPU,DL,0.7298245614035088,1.0118973418753692
TABM_GPU,DL,0.7101754385964912,0.9773049624642896
XRFM_GPU,DL,0.703859649122807,1.1754813127660084
REALTABPFN-V2.5,Foundation,0.7303508771929824,0.870428852383852
TABDPT_GPU,Foundation,0.7275438596491228,0.9489951055067419
TABPFNV2_GPU,Foundation,0.727280701754386,0.9148343706132448
FTTransformer,DL,0.7159649122807018,3.1313168599635257
LLMBaseline,LLM,0.7093859649122807,
LLMBaselineBidirectional,LLM,0.7167543859649123,
LLMBaselineBidirectionalPooling,LLM,0.71,
TFMLLM,LLM,0.7256140350877193,4.844411018157805
LLMRead260420-LLMRead-GradClip,LLM,0.6892982456140351,1.2968593522984828
