,category,Blood,Airfoil
metric,,roc_auc,rmse
CAT,ML,0.7078070175438597,1.194328921266466
EBM,ML,0.711140350877193,1.8230914958942663
KNN,ML,0.7039473684210527,2.226101772909643
LR,ML,0.7539473684210526,4.73505463317741
REALMLP_GPU,DL,0.7298245614035088,1.0118973418753692
REALTABPFN-V2.5,Foundation,0.7303508771929824,0.870428852383852
FTTransformer,DL,0.7159649122807018,3.1313168599635257
LLMBaseline,LLM,0.7093859649122807,
LLMBaselineBidirectional,LLM,0.7167543859649123,
LLMBaselineBidirectionalPooling,LLM,0.71,
TFMLLM,LLM,0.7256140350877193,4.844411018157805
LLMRead260420-LLMRead-GradClip,LLM,0.6892982456140351,1.2968593522984828
