method,elo,elo+,elo-,rank,winrate,improvability,improvability+,improvability-,mrr,rank=1_count,rank=2_count,rank=3_count,rank>3_count,time_train_s,time_infer_s,time_train_s_per_1K,time_infer_s_per_1K,normalized-error,normalized-error-task,imputed,median_rank,median_improvability,median_loss_rescaled,median_metric_error,median_time_train_s,median_time_infer_s,median_time_train_s_per_1K,median_time_infer_s_per_1K,median_normalized-error,median_normalized-error-task,median_imputed,method_type,method_subtype,config_type,ta_name,ta_suite
REALTABPFN-V2.5 (default),1941.4,18509.4,0.0,7.5,0.9121622,0.07777860964363109,0.040538177174093304,0.040538177174093304,0.1388888888888889,0.0,0.0,0.0,2.0,11.45880913734436,0.430086612701416,18.598552442057517,1.4645349863869424,0.22225697322011095,0.22225697322011095,0.0,7.5,0.07777860964363109,0.03267283046853274,0.6163061449718779,11.45880913734436,0.430086612701416,18.598552442057517,1.4645349863869424,0.22225697322011095,0.22225697322011095,0.0,config,default,REALTABPFN-V2.5,RealTabPFN-v2.5,tabarena-2025-11-12
REALTABPFN-V2.5 (tuned + ensemble),1909.6,17122.5,0.0,8.5,0.8986486,0.04891659138041127,0.03859154134567844,0.03859154134567844,0.2833333333333333,0.0,1.0,0.0,1.0,1874.583299279213,2.092576265335083,2691.820966507861,5.037461863054192,0.3245489107543936,0.3245489107543936,0.0,8.5,0.04891659138041127,0.05507333539407955,0.5700389875954348,1874.583299279213,2.092576265335083,2691.820966507861,5.037461863054192,0.3245489107543936,0.3245489107543936,0.0,hpo,tuned_ensemble,REALTABPFN-V2.5,RealTabPFN-v2.5,tabarena-2025-11-12
TABICLV2 (default),1880.4,20997.2,0.0,9.5,0.8851351,0.0930182802589325,0.058594872341548976,0.058594872341548976,0.15833333333333333,0.0,0.0,0.0,2.0,14.763011932373047,0.3360179662704468,18.13925593214389,0.9674652484583453,0.24351643446040977,0.24351643446040977,0.0,9.5,0.0930182802589325,0.034540852441547525,0.6351061667938188,14.763011932373047,0.3360179662704468,18.13925593214389,0.9674652484583453,0.24351643446040977,0.24351643446040977,0.0,config,default,TABICLV2,TabICLv2,tabarena-2026-02-16
TABPFNV2_GPU (default),1853.3,13648.2,0.0,10.5,0.8716216,0.08452728021971317,0.026118418185473835,0.026118418185473835,0.10096153846153846,0.0,0.0,0.0,2.0,10.950480461120605,0.33552563190460205,15.468332388533032,0.8941176127834736,0.292622292236031,0.292622292236031,0.0,10.5,0.08452728021971317,0.045091298775379485,0.6149652339977836,10.950480461120605,0.33552563190460205,15.468332388533032,0.8941176127834736,0.292622292236031,0.292622292236031,0.0,config,default,TABPFNV2_GPU,TabPFNv2_GPU,tabarena-2025-06-12
"AutoGluon 1.5 (extreme, 4h)",1840.4,16132.1,0.0,11.0,0.8648649,0.06669696408445652,0.029047716766607168,0.029047716766607168,0.19298245614035087,0.0,0.0,1.0,1.0,195.09480261802673,0.9951194524765015,242.9700832799837,2.35483153192087,0.3777300820338046,0.3777300820338046,0.0,11.0,0.06669696408445652,0.06302696625398603,0.5836241789229927,195.09480261802673,0.9951194524765015,242.9700832799837,2.35483153192087,0.3777300820338046,0.3777300820338046,0.0,baseline,,,AutoGluon_v150_eq_4h8c,tabarena-2025-12-18
REALMLP_GPU (default),1803.7,19554.6,0.0,12.5,0.8445946,0.13508508338884145,0.0999973640905964,0.0999973640905964,0.125,0.0,0.0,0.0,2.0,29.34139597415924,4.1911245584487915,37.88905281491831,11.935350676078036,0.3362683603081832,0.3362683603081832,0.0,12.5,0.13508508338884145,0.04529361475507224,0.6905944329180868,29.34139597415924,4.1911245584487915,37.88905281491831,11.935350676078036,0.3362683603081832,0.3362683603081832,0.0,config,default,REALMLP_GPU,RealMLP_GPU,tabarena-2025-09-03
REALTABPFN-V2.5 (tuned),1792.1,15311.4,0.0,13.0,0.8378378,0.07289930480388368,0.02502640672530082,0.02502640672530082,0.14772727272727273,0.0,0.0,0.0,2.0,1874.583299279213,0.6537045240402222,2691.820966507861,1.871238475415458,0.3944158718524314,0.3944158718524314,0.0,13.0,0.07289930480388368,0.06543686467515539,0.5887590132168594,1874.583299279213,0.6537045240402222,2691.820966507861,1.871238475415458,0.3944158718524314,0.3944158718524314,0.0,hpo,tuned,REALTABPFN-V2.5,RealTabPFN-v2.5,tabarena-2025-11-12
TABPFNV2_GPU (tuned + ensemble),1792.1,14418.4,0.0,13.0,0.8378378,0.07807196124847271,0.01970867561225398,0.01970867561225398,0.12380952380952381,0.0,0.0,0.0,2.0,4295.489543437958,3.4971731901168823,4861.210188389862,8.775875489438787,0.4020492801250686,0.4020492801250686,0.0,13.0,0.07807196124847271,0.06627754870213201,0.5937768344294294,4295.489543437958,3.4971731901168823,4861.210188389862,8.775875489438787,0.4020492801250686,0.4020492801250686,0.0,hpo,tuned_ensemble,TABPFNV2_GPU,TabPFNv2_GPU,tabarena-2025-06-12
TABDPT_GPU (tuned + ensemble),1792.1,13674.6,0.0,13.0,0.8378378,0.09458417519205098,0.002325032792494852,0.002325032792494852,0.10833333333333334,0.0,0.0,0.0,2.0,8557.732162714005,100.53158378601074,12082.455774468264,344.44913094004113,0.426380458534828,0.426380458534828,0.0,13.0,0.09458417519205098,0.06886354287357185,0.6107256229288096,8557.732162714005,100.53158378601074,12082.455774468264,344.44913094004113,0.426380458534828,0.426380458534828,0.0,hpo,tuned_ensemble,TABDPT_GPU,TabDPT_GPU,tabarena-2025-10-20
REALMLP_GPU (tuned + ensemble),1748.0,11861.1,0.0,15.0,0.8108108,0.11898622416130028,0.02970050987558631,0.02970050987558631,0.06696428571428571,0.0,0.0,0.0,2.0,4222.058062791824,21.734838247299194,5943.165279758363,65.75667246066368,0.4470368059924289,0.4470368059924289,0.0,15.0,0.11898622416130028,0.06949708181162359,0.6410363902359302,4222.058062791824,21.734838247299194,5943.165279758363,65.75667246066368,0.4470368059924289,0.4470368059924289,0.0,hpo,tuned_ensemble,REALMLP_GPU,RealMLP_GPU,tabarena-2025-09-03
