,category,Blood,Credit-G,Diabetes,QSAR-Fish,Airfoil,Concrete,Anneal,Maternal
metric,,roc_auc,roc_auc,roc_auc,rmse,rmse,rmse,log_loss,log_loss
CAT,ML,0.7050877192982457,0.7838034188034187,0.8376171352074967,0.9170500156250383,1.1912702718003423,4.333585714498188,0.03157184199590883,0.4194495649199026
EBM,ML,0.720701754385965,0.7799572649572649,0.8536144578313253,0.9338630759696042,1.8751122184601097,4.3791586681933,0.0720399022102356,0.5008673071861267
GBM,ML,0.7157894736842105,0.7777777777777778,0.8353413654618473,0.9226082564792453,1.387637675978781,4.3673334678741815,0.04346644381205891,0.42644122104415216
KNN,ML,0.6987719298245614,0.7601709401709402,0.8142570281124498,0.9471641989379048,2.553026758666722,6.260830250399818,0.08581547439098358,0.7841119766235352
LR,ML,0.748859649122807,0.7652136752136752,0.8262382864792504,0.97713369662337,4.7521850275766075,7.9501029449478455,0.07239768654108047,0.7722097635269165
RF,ML,0.6749122807017544,0.7783333333333333,0.8239290495314592,0.920056349140093,1.7727015604892042,5.50373270046845,0.023539500662349788,0.4399674529953946
XGB,ML,0.7040350877192982,0.7816666666666666,0.8228915662650602,0.9136282735981752,1.3029304493781608,4.271255724134107,0.038616225868098306,0.4070107240108848
XT,ML,0.6811403508771929,0.7638888888888888,0.8404283801874163,0.905459028966759,1.7070150389205543,5.212221902799439,0.02482260392827094,0.41466615708348536
FASTAI,DL,0.7437719298245614,0.7460256410256411,0.8416331994645248,0.9462138320385582,1.5302536185802997,5.204748498170599,0.08061211093167875,0.6313937565379443
MNCA_GPU,DL,0.6900877192982456,0.7693589743589744,0.8275769745649264,0.9425235469382216,1.40208685318452,5.750049206465128,0.04072477790727136,0.3957661924965936
NN_TORCH,DL,0.7418421052631579,0.767991452991453,0.8333333333333334,0.9401469683526422,1.24910343833217,4.350427102095671,0.06393561637454895,0.5344304087149985
REALMLP_GPU,DL,0.7248245614035088,0.7967094017094017,0.8390227576974565,0.9277910670743514,1.0574588562226745,4.1443805956176565,0.029962634667754173,0.39439043402671814
TABM_GPU,DL,0.7150877192982457,0.7885470085470085,0.8226907630522088,0.9155270426401956,0.9851177684571369,4.389217330636611,0.037212039070139646,0.47097463808182805
XRFM_GPU,DL,0.7228947368421053,0.7742307692307693,0.8427041499330656,0.9051661402310825,1.1778388854329223,4.401057216637763,0.024808423593640327,0.3959020674228668
REALTABPFN-V2.5,Foundation,0.7272368421052632,0.7849145299145299,0.84190093708166,0.897436572997375,0.904754868538982,3.757035054282707,0.022725010286512803,0.38372504550391073
TABDPT_GPU,Foundation,0.7281140350877193,0.7652777777777777,0.8426706827309237,0.8997330162608862,0.9867752054046761,4.048292681068601,0.032958396901759314,0.34655784868307293
TABPFNV2_GPU,Foundation,0.7240350877192983,0.772051282051282,0.8396921017402945,0.9093026428541026,0.9659417311494658,4.0663573897618885,0.023035964382117823,0.4200149210576656
LLMAdapter260421-3,,0.7070175438596491,0.7945726495726496,0.8420348058902276,0.9469733625251914,1.0438932030192762,4.770511234220386,0.0986358901719822,0.5418991685130138
FTTransformer,DL,0.7185087719298245,0.7801282051282051,0.8208835341365461,1.044015876783817,2.8391759048295855,6.24354772675397,0.03540062392415872,0.5519950665282777
LLMBaseline,LLM,0.710701754385965,0.8037179487179488,0.7922021419009371,1.377322526120282,,7.720128989237772,0.07454145171413588,0.8115161339868574
LLMBaselineBidirectional,LLM,0.7194736842105263,0.7687179487179487,0.7761044176706827,1.2064643274261648,,10.571701950551558,0.04848979111511302,0.5632717742705299
LLMBaselineBidirectionalPooling,LLM,0.6857017543859649,0.7933333333333333,0.7827978580990629,0.9808762809967106,,5.529651937280752,0.03487228718886535,0.4394659779613746
TFMLLM,LLM,0.7235964912280701,0.80508547008547,0.822289156626506,1.154434688319067,4.8481937905713535,10.205787146851774,0.04810217275660198,0.5888330938991257
LLMRead260420-LLMRead-GradClip,LLM,0.7014035087719298,,,,1.2733673063294226,,,
