,category,Blood,Credit-G,Diabetes,QSAR-Fish,Airfoil,Concrete,Anneal,Maternal
metric,,roc_auc,roc_auc,roc_auc,rmse,rmse,rmse,log_loss,log_loss
CAT,ML,0.7050877192982457,0.7838034188034187,0.8376171352074967,0.9170500156250383,1.1912702718003423,4.333585714498188,0.03157184199590883,0.4194495649199026
EBM,ML,0.720701754385965,0.7799572649572649,0.8536144578313253,0.9338630759696042,1.8751122184601097,4.3791586681933,0.0720399022102356,0.5008673071861267
KNN,ML,0.6987719298245614,0.7601709401709402,0.8142570281124498,0.9471641989379048,2.553026758666722,6.260830250399818,0.08581547439098358,0.7841119766235352
LR,ML,0.748859649122807,0.7652136752136752,0.8262382864792504,0.97713369662337,4.7521850275766075,7.9501029449478455,0.07239768654108047,0.7722097635269165
REALMLP_GPU,DL,0.7248245614035088,0.7967094017094017,0.8390227576974565,0.9277910670743514,1.0574588562226745,4.1443805956176565,0.029962634667754173,0.39439043402671814
REALTABPFN-V2.5,Foundation,0.7272368421052632,0.7849145299145299,0.84190093708166,0.897436572997375,0.904754868538982,3.757035054282707,0.022725010286512803,0.38372504550391073
LLMAdapter260421-3,,0.7070175438596491,0.7945726495726496,0.8420348058902276,0.9469733625251914,1.0438932030192762,4.770511234220386,0.0986358901719822,0.5418991685130138
FTTransformer,DL,0.7185087719298245,0.7801282051282051,0.8208835341365461,1.044015876783817,2.8391759048295855,6.24354772675397,0.03540062392415872,0.5519950665282777
LLMBaseline,LLM,0.710701754385965,0.8037179487179488,0.7922021419009371,1.377322526120282,,7.720128989237772,0.07454145171413588,0.8115161339868574
LLMBaselineBidirectional,LLM,0.7194736842105263,0.7687179487179487,0.7761044176706827,1.2064643274261648,,10.571701950551558,0.04848979111511302,0.5632717742705299
LLMBaselineBidirectionalPooling,LLM,0.6857017543859649,0.7933333333333333,0.7827978580990629,0.9808762809967106,,5.529651937280752,0.03487228718886535,0.4394659779613746
TFMLLM,LLM,0.7235964912280701,0.80508547008547,0.822289156626506,1.154434688319067,4.8481937905713535,10.205787146851774,0.04810217275660198,0.5888330938991257
LLMRead260420-LLMRead-GradClip,LLM,0.7014035087719298,,,,1.2733673063294226,,,
