,category,Fitness,GoodCust,MktCamp,Blood,Credit-G,Diabetes,Hazelnut,QSAR-Bio,Seismic,QSAR-Fish,Airfoil,Concrete,Insurance,Anneal,ELO
metric,,roc_auc,roc_auc,roc_auc,roc_auc,roc_auc,roc_auc,roc_auc,roc_auc,roc_auc,rmse,rmse,rmse,rmse,log_loss,
task_id,,363671,363682,363684,363621,363626,363629,363674,363696,363700,363698,363612,363625,363675,363614,
CAT,ML,0.803406684815487,0.7310233970351849,0.9354566830981925,0.7107894736842105,0.7927350427350429,0.8335341365461848,0.9679375,0.9265697695387167,0.7975591151792524,0.9169135943553836,1.4743257730979937,4.479989948836688,4089.2521585967734,0.04721400587739318,1377.9
EBM,ML,0.803614640048397,0.751324641304995,0.9380205677375488,0.7082456140350877,0.7912820512820513,0.8425702811244979,0.96401875,0.9342878782414252,0.7879699248120301,0.9456287726391835,1.9173663355495552,4.428036811524854,4180.362861666773,0.07275742673584468,1330.0
GBM,ML,0.7931034482758621,0.6910460201226409,0.9236996430392657,0.6629385964912282,0.7697008547008548,0.8174029451137885,0.96686875,0.9170122984816245,0.7796883513130652,0.9219470233399446,1.48537141921174,4.609973311169731,4235.509729780342,0.07258413190361404,1085.2
KNN,ML,0.7244215063520871,0.6379412990414955,0.8523429089466826,0.6749999999999999,0.767948717948718,0.8175368139223562,0.903025,0.9096368160998305,0.7301950528495151,0.9470259228582849,3.2473637575363417,8.986232450905673,5097.162999758122,0.18054473476045046,715.6
LR,ML,0.8031609195402298,0.7234922902899327,0.9235154966287042,0.7310526315789474,0.7663675213675214,0.822289156626506,0.9427125000000001,0.8969235762974717,0.7788384003486978,0.9779810035849538,5.424097983642563,8.079074721109023,5575.862768468926,0.10165076885028021,1012.0
RF,ML,0.7797092407743498,0.6695243198190152,0.9041872060739986,0.6650877192982456,0.7783333333333335,0.8255354752342704,0.9529218749999999,0.9211057813683413,0.7650212487741093,0.938418407690184,1.7727015604892042,5.50373270046845,4520.752203125408,0.05355503214432793,1000.0
XGB,ML,0.7896249243799153,0.7007203667321545,0.9247620261771206,0.6631578947368421,0.778974358974359,0.8306559571619812,0.9674875000000001,0.9044974212861111,0.7764628963713631,0.9451572737910531,1.4270140038469383,5.037816906376259,4264.447087094856,0.048919027940115434,1115.6
XT,ML,0.7630350120992135,0.6815056260046437,0.9030823276106295,0.6742105263157895,0.761431623931624,0.8290160642570281,0.95031875,0.9260468135752155,0.7620028331698812,0.9233862947299291,1.7070150389205543,5.212221902799439,4372.4788112879405,0.08004472847210596,977.3
