,category,Fitness,GoodCust,MktCamp,Blood,Credit-G,Diabetes,Hazelnut,QSAR-Bio,Seismic,QSAR-Fish,Airfoil,Concrete,Insurance,Anneal,ELO
metric,,roc_auc,roc_auc,roc_auc,roc_auc,roc_auc,roc_auc,roc_auc,roc_auc,roc_auc,rmse,rmse,rmse,rmse,log_loss,
task_id,,363671,363682,363684,363621,363626,363629,363674,363696,363700,363698,363612,363625,363675,363614,
CAT,ML,0.8030663944343618,0.740281002559981,0.9298048048048048,0.7078070175438597,0.7913675213675214,0.8392235609103079,0.96665,0.9275435496086847,0.7845047401111475,0.9108357993477078,1.194328921266466,4.349307405056239,4099.415070640934,0.028524514184980122,1384.0
EBM,ML,0.8049379915305506,0.7282848127641841,0.9404852966173721,0.711140350877193,0.7850854700854701,0.8519410977242302,0.968075,0.9349731308832546,0.7870327993897788,0.933905919615701,1.8230914958942663,4.378025654572182,4058.6072991706296,0.05042694881558418,1392.4
GBM,ML,0.8037847852389595,0.7203071977138775,0.9371281659017509,0.7219298245614035,0.7797435897435897,0.8345381526104417,0.97125625,0.9225664514732932,0.7971014492753623,0.9151007788510053,1.3395871120326175,4.23183913566624,4101.070785897937,0.0444048792788039,1370.2
KNN,ML,0.7947859951603146,0.7178067512055725,0.9105827525638847,0.7039473684210527,0.7679059829059829,0.8226907630522088,0.939734375,0.9211598802611173,0.7862046420398823,0.9347266281684382,2.226101772909643,6.060376754495909,4601.137288169586,0.07725414633750916,1039.4
LR,ML,0.8015350877192983,0.7168839673751265,0.9239687801008556,0.7539473684210526,0.7653418803418803,0.8263721552878179,0.94449375,0.9206549572618747,0.7793396534815299,0.9768729285149236,4.73505463317741,7.9030084866624035,5578.938995200396,0.05425482988357544,1062.0
RF,ML,0.7976595583787054,0.6945883193427398,0.9038401609156326,0.6664035087719298,0.7817521367521367,0.8258366800535475,0.95415625,0.9106286291340571,0.7834913370382478,0.9166780663072045,1.7501195481092064,5.355749505698358,4226.209636611783,0.023006393800036065,1121.6
XGB,ML,0.8045031760435571,0.7136691075787343,0.9312921411978016,0.6993859649122807,0.7847008547008547,0.826706827309237,0.97004375,0.9185631334078695,0.7976680832516073,0.9145528249148004,1.3129289996153388,4.2893139362250805,4133.899611275165,0.03892136917445271,1302.3
XT,ML,0.8037847852389595,0.690986485681967,0.9107881466372032,0.6821052631578948,0.7655128205128205,0.8403614457831325,0.95771875,0.9267861651098207,0.7969597907813011,0.9078442096273903,1.6281719213990773,5.190510222950174,4132.754142034768,0.029002307380355308,1248.0
