,category,Fitness,GoodCust,MktCamp,Blood,Credit-G,Diabetes,Hazelnut,QSAR-Bio,Seismic,QSAR-Fish,Airfoil,Concrete,Insurance,Anneal,ELO
metric,,roc_auc,roc_auc,roc_auc,roc_auc,roc_auc,roc_auc,roc_auc,roc_auc,roc_auc,rmse,rmse,rmse,rmse,log_loss,
task_id,,363671,363682,363684,363621,363626,363629,363674,363696,363700,363698,363612,363625,363675,363614,
CAT,ML,0.8030663944343618,0.740281002559981,0.9298048048048048,0.7078070175438597,0.7913675213675214,0.8392235609103079,0.96665,0.9275435496086847,0.7845047401111475,0.9108357993477078,1.194328921266466,4.349307405056239,4099.415070640934,0.028524514184980122,1384.0
EBM,ML,0.8049379915305506,0.7282848127641841,0.9404852966173721,0.711140350877193,0.7850854700854701,0.8519410977242302,0.968075,0.9349731308832546,0.7870327993897788,0.933905919615701,1.8230914958942663,4.378025654572182,4058.6072991706296,0.05042694881558418,1392.4
KNN,ML,0.7947859951603146,0.7178067512055725,0.9105827525638847,0.7039473684210527,0.7679059829059829,0.8226907630522088,0.939734375,0.9211598802611173,0.7862046420398823,0.9347266281684382,2.226101772909643,6.060376754495909,4601.137288169586,0.07725414633750916,1039.4
LR,ML,0.8015350877192983,0.7168839673751265,0.9239687801008556,0.7539473684210526,0.7653418803418803,0.8263721552878179,0.94449375,0.9206549572618747,0.7793396534815299,0.9768729285149236,4.73505463317741,7.9030084866624035,5578.938995200396,0.05425482988357544,1062.0
REALMLP_GPU,DL,0.8049568965517241,0.7444484134071561,0.9350458949515553,0.7298245614035088,0.7925213675213675,0.8459170013386881,0.98249375,0.9302124283189671,0.7816933638443936,0.9014784160630552,1.0118973418753692,4.141370860233445,4071.1783567245207,0.029990119859576225,1546.6
REALTABPFN-V2.5,Foundation,0.8097209618874773,0.7144430553074954,0.9437716017904697,0.7303508771929824,0.7811538461538462,0.8431726907630522,0.989525,0.9300681646048977,0.7914351095129127,0.8866661964472332,0.870428852383852,3.7665874877665413,4030.724697336574,0.010615817792250088,1613.7
FTTransformer,DL,0.8069797338173019,0.7304875870691195,0.9360091223298771,0.7159649122807018,0.7785897435897436,0.8275100401606426,0.9655875,0.9115663432755077,0.7881442737277977,1.0236326869317924,3.1313168599635257,6.2630538483766305,4328.37942255068,0.03631234268703688,1187.0
LLMAdapter260421-3,LLM,,,,0.7209649122807018,0.7878205128205128,0.8362784471218206,,,,0.9346826211436305,1.0600231138215885,4.735017939160332,4037.7904428138067,0.09531313875056079,1173.6
LLMAdapter260423-bidir,LLM,0.8034633998790078,0.7437637673394059,0.9326661567227605,0.7242105263157895,0.787094017094017,0.8413654618473896,0.9605625,0.9231435063295704,0.7940503432494279,0.9387903191713035,1.1047224820921362,4.722719207584203,4039.239730767588,0.14564955409690988,1352.2
LLMAdapter260429-LA-Bidir,LLM,,,,0.7142105263157895,0.7787179487179487,0.8393574297188755,,,,0.9456343357305372,1.0750260911028988,4.578342421105204,,,1113.5
LLMBaseline,LLM,,,,0.7093859649122807,0.7855128205128206,0.7898259705488622,,0.8670970534136402,,1.0715240938086552,,8.513369474178416,5838.997467247002,0.05257918951931996,949.6
LLMBaseline260429-LB-Bidir,LLM,,,,0.6917543859649122,0.7851709401709401,,,,,1.0226736266196417,2.554276427094445,8.087770963865637,,,985.2
LLMBaselineBidirectional260426-BaselineBidir,LLM,,,,0.6760526315789473,0.7455128205128205,0.7845381526104418,,,,0.9966533447883537,1.647834833798068,4.94363565261859,4343.292832462609,,953.5
LLMSlot260424-next_token_pred,LLM,,,,0.7201754385964912,0.7744444444444445,0.8319946452476573,,,,0.941669041955747,1.045866018896957,4.624815507694357,4036.6501255204616,0.159514512095276,1129.6
