,category,Blood,Credit-G,Diabetes,QSAR-Fish,Airfoil,Concrete,Insurance,Anneal
metric,,roc_auc,roc_auc,roc_auc,rmse,rmse,rmse,rmse,log_loss
CAT,ML,0.7050877192982457,0.7838034188034187,0.8376171352074967,0.9170500156250383,1.1912702718003423,4.333585714498188,4075.95781501091,0.03157184199590883
EBM,ML,0.720701754385965,0.7799572649572649,0.8536144578313253,0.9338630759696042,1.8751122184601097,4.3791586681933,4036.8570231296108,0.0720399022102356
KNN,ML,0.6987719298245614,0.7601709401709402,0.8142570281124498,0.9471641989379048,2.553026758666722,6.260830250399818,4630.235613436097,0.08581547439098358
LR,ML,0.748859649122807,0.7652136752136752,0.8262382864792504,0.97713369662337,4.7521850275766075,7.9501029449478455,5585.882360476944,0.07239768654108047
REALMLP_GPU,DL,0.7248245614035088,0.7967094017094017,0.8390227576974565,0.9277910670743514,1.0574588562226745,4.1443805956176565,4053.78243177254,0.029962634667754173
REALTABPFN-V2.5,Foundation,0.7272368421052632,0.7849145299145299,0.84190093708166,0.897436572997375,0.904754868538982,3.757035054282707,4101.051858354645,0.022725010286512803
LLMAdapter260423-bidir,,0.7312280701754386,0.7873076923076923,0.8346050870147256,0.9495186145690804,1.0740783169526698,4.600627053205285,4092.852981314072,0.14564955409690988
LLMSlot260424-next_token_pred,,0.7217543859649123,0.782094017094017,0.8400267737617135,0.9503314232683908,1.0499431597540825,4.777177153786393,4097.925093318104,
FTTransformer,DL,0.7185087719298245,0.7801282051282051,0.8208835341365461,1.044015876783817,2.8391759048295855,6.24354772675397,4393.419627855666,0.03540062392415872
