method,elo,elo+,elo-,rank,winrate,improvability,improvability+,improvability-,mrr,rank=1_count,rank=2_count,rank=3_count,rank>3_count,time_train_s,time_infer_s,time_train_s_per_1K,time_infer_s_per_1K,normalized-error,normalized-error-task,imputed,median_rank,median_improvability,median_loss_rescaled,median_metric_error,median_time_train_s,median_time_infer_s,median_time_train_s_per_1K,median_time_infer_s_per_1K,median_normalized-error,median_normalized-error-task,median_imputed,method_type,method_subtype,config_type,ta_name,ta_suite
REALTABPFN-V2.5 (default),1689.5,185.9,71.8,8.125,0.8903846,0.08672247796633743,0.08695290457564729,0.06044877110362556,0.1885137432012432,0.0,1.0,0.0,7.0,8.332729369401932,0.2994097173213959,13.194894110326512,0.9669884201434545,0.34583958733249753,0.34583958733249753,0.0,7.5,0.03739856445930684,0.04145885011542738,0.5788699619793184,7.445145606994629,0.2578970193862915,11.501722538645662,0.8221528406983198,0.29177873121584497,0.29177873121584497,0.0,config,default,REALTABPFN-V2.5,RealTabPFN-v2.5,tabarena-2025-11-12
REALTABPFN-V2.5 (tuned + ensemble),1682.1,384.3,149.3,8.375,0.88653845,0.03261666350555498,0.02801095551547094,0.017823850112677942,0.4371606334841629,2.0,2.0,1.0,3.0,1971.0919079780579,4.62831324338913,2985.984425656963,13.213025197938052,0.2947528315744475,0.2947528315744475,0.0,2.5,0.017592914123667702,0.0062758662393985355,0.5700389875954348,1872.739486694336,2.407023549079895,3050.126553587916,6.692261841069294,0.06809668653941511,0.06809668653941511,0.0,hpo,tuned_ensemble,REALTABPFN-V2.5,RealTabPFN-v2.5,tabarena-2025-11-12
TABICLV2 (default),1682.1,233.2,101.6,8.375,0.88653845,0.12119263497113347,0.1646169322669011,0.10342909552226855,0.28236832611832613,1.0,1.0,0.0,6.0,9.80113735795021,0.4082834720611572,14.096324975578277,1.2762180189023062,0.3249349329193582,0.3249349329193582,0.0,7.0,0.03641526167043618,0.06257233320330408,0.5745451367694463,6.912318706512451,0.3918224573135376,13.417424653695974,1.1987669508727787,0.3079254662099067,0.3079254662099067,0.0,config,default,TABICLV2,TabICLv2,tabarena-2026-02-16
"AutoGluon 1.5 (extreme, 4h)",1616.2,440.0,184.1,10.875,0.84807694,0.10358285055357684,0.11380029179612462,0.07310309165941307,0.2942099567099567,1.0,0.0,2.0,5.0,162.4413964152336,0.9676215350627899,226.64547234736202,2.7354876898911544,0.3803878019921305,0.3803878019921305,0.0,4.5,0.046401017349130824,0.04112693913713528,0.5836241789229927,121.32073640823364,1.0089771747589111,201.20789960088317,2.5700830376146153,0.2757579175289627,0.2757579175289627,0.0,baseline,,,AutoGluon_v150_eq_4h8c,tabarena-2025-12-18
REALMLP_GPU (tuned + ensemble),1601.5,115.4,61.3,11.5,0.8384615,0.13677320373198631,0.15503752931294446,0.09739067935187717,0.1173651511886806,0.0,0.0,1.0,7.0,4085.9483205378056,20.76331466436386,6166.675932353066,64.5384794610379,0.47083108343898844,0.47083108343898844,0.0,11.5,0.06962113689959021,0.06851025415284186,0.5858269273297732,4151.448108434677,21.734838247299194,6282.393837109215,65.02722189189632,0.4367891665646979,0.4367891665646979,0.0,hpo,tuned_ensemble,REALMLP_GPU,RealMLP_GPU,tabarena-2025-09-03
REALTABPFN-V2.5 (tuned),1583.4,224.6,105.5,12.3125,0.82596153,0.10746043532028703,0.12317426558729634,0.07430782644912826,0.16497003901895207,0.0,1.0,0.0,7.0,1971.0919079780579,0.37933820486068726,2985.984425656963,1.1423767252560344,0.46740959803350013,0.46740959803350013,0.0,10.5,0.05135548341242879,0.05895542699763216,0.585099865446056,1872.739486694336,0.2892535924911499,3050.126553587916,1.0035909212730973,0.5119874733365002,0.5119874733365002,0.0,hpo,tuned,REALTABPFN-V2.5,RealTabPFN-v2.5,tabarena-2025-11-12
TABPFNV2_GPU (tuned + ensemble),1529.8,205.4,118.0,14.9375,0.78557694,0.12013236329867964,0.13408921836870374,0.08149729671442499,0.10774814906679896,0.0,0.0,0.0,8.0,3472.2838712334633,12.648775607347488,4723.394618215756,37.89930869966068,0.5256359074447992,0.5256359074447992,0.0,11.5,0.060064493197030666,0.08187810382867487,0.5843009890784359,3036.063897371292,9.113755345344543,4601.854970218943,24.22294283970656,0.5068427072440482,0.5068427072440482,0.0,hpo,tuned_ensemble,TABPFNV2_GPU,TabPFNv2_GPU,tabarena-2025-06-12
"AutoGluon 1.4 (extreme, 4h)",1506.6,272.4,134.5,16.1875,0.76634616,0.13026558318710607,0.16193877662580503,0.09635843243053623,0.19507245318696698,1.0,0.0,0.0,7.0,647.431206792593,2.267096608877182,962.0898511155062,6.9994031054545465,0.5166213578703525,0.5166213578703525,0.0,15.0,0.06280479198215888,0.09084976807828107,0.5692734470446041,441.26801121234894,1.753381609916687,700.4311636726985,5.519319180897414,0.5497967695268386,0.5497967695268386,0.0,baseline,,,AutoGluon_v140_eq_4h8c,tabarena-2025-11-01
TABPFNV2_GPU (default),1466.3,291.2,192.0,18.5,0.7307692,0.11302876098298165,0.09878116384846933,0.06354454104190574,0.12051325247079964,0.0,0.0,1.0,7.0,7.585578501224518,0.27794739603996277,11.114975911982999,0.8106108361759838,0.5119202892234782,0.5119202892234782,0.0,11.0,0.07131389517743103,0.07768503264860598,0.5823106397396567,7.267871975898743,0.25510716438293457,9.931967987313012,0.8050241836478208,0.41830199656609174,0.41830199656609174,0.0,config,default,TABPFNV2_GPU,TabPFNv2_GPU,tabarena-2025-06-12
REALMLP_GPU (tuned),1458.0,187.2,114.8,19.0,0.72307694,0.14898541917573316,0.14588879886200945,0.09815436756132764,0.17645561853535993,1.0,0.0,0.0,7.0,4085.9483205378056,1.434221774339676,6166.675932353066,4.77079545670562,0.5759933812940551,0.5759933812940551,0.0,17.0,0.09823904481220369,0.08429584775968024,0.6014832528354213,4151.448108434677,0.6552989482879639,6282.393837109215,2.162475209150033,0.5855358498386796,0.5855358498386796,0.0,hpo,tuned,REALMLP_GPU,RealMLP_GPU,tabarena-2025-09-03
TABDPT_GPU (tuned + ensemble),1455.9,189.6,121.2,19.125,0.72115386,0.14638010003261895,0.15705346530001377,0.09328002837720734,0.08067355098605099,0.0,0.0,0.0,8.0,7451.471998631954,111.53489881753922,11052.248191131537,368.5045555747511,0.5970038334200549,0.5970038334200549,0.0,17.0,0.09158753943261055,0.08947885102511963,0.584952778152672,7248.201301217079,123.36780881881714,10634.160357980394,382.0410796608709,0.6407543260153096,0.6407543260153096,0.0,hpo,tuned_ensemble,TABDPT_GPU,TabDPT_GPU,tabarena-2025-10-20
