method,elo,elo+,elo-,rank,winrate,improvability,improvability+,improvability-,mrr,rank=1_count,rank=2_count,rank=3_count,rank>3_count,time_train_s,time_infer_s,time_train_s_per_1K,time_infer_s_per_1K,normalized-error,normalized-error-task,imputed,median_rank,median_improvability,median_loss_rescaled,median_metric_error,median_time_train_s,median_time_infer_s,median_time_train_s_per_1K,median_time_infer_s_per_1K,median_normalized-error,median_normalized-error-task,median_imputed,method_type,method_subtype,config_type,ta_name,ta_suite
TABICLV2 (default),1807.6,246.2,85.2,6.5,0.93125,0.040627836204234935,0.03141680333635585,0.03372660862309051,0.3909722222222222,2.0,1.0,0.0,5.0,9.399432986974716,0.3785402178764343,12.877561367194653,1.1240294001448574,0.24277193775378994,0.24277193775378994,0.0,6.5,0.021460729491608654,0.01932823125372253,0.5745451367694463,6.912318706512451,0.3761657476425171,12.30654165933817,1.122698437498017,0.20838590457981493,0.20838590457981493,0.0,config,default,TABICLV2,TabICLv2,tabarena-2026-02-16
REALTABPFN-V2.5 (tuned + ensemble),1715.5,358.9,165.2,9.625,0.8921875,0.036971450418677096,0.023110802810328124,0.023539908961439062,0.3523989898989899,1.0,2.0,2.0,3.0,1951.589926302433,4.695742219686508,2822.710633777791,13.111929646956684,0.2892475517387872,0.2892475517387872,0.0,3.0,0.017592914123667702,0.004403758670060064,0.5700389875954348,1794.7315599918365,2.411555767059326,2669.9787237081846,6.692261841069294,0.07560829719448518,0.07560829719448518,0.0,hpo,tuned_ensemble,REALTABPFN-V2.5,RealTabPFN-v2.5,tabarena-2025-11-12
REALTABPFN-V2.5 (default),1700.1,211.9,99.4,10.25,0.884375,0.04660264276376548,0.021680085249245445,0.023230792959477088,0.1404586639561064,0.0,0.0,0.0,8.0,8.30420857667923,0.2982872724533081,12.591156088461982,0.9244365416246504,0.3292851745989588,0.3292851745989588,0.0,7.5,0.03487768139734354,0.02089346718672558,0.5788699619793184,7.445145606994629,0.2578970193862915,10.664185549880244,0.730660950350609,0.2676941714901042,0.2676941714901042,0.0,config,default,REALTABPFN-V2.5,RealTabPFN-v2.5,tabarena-2025-11-12
REALMLP_GPU (tuned + ensemble),1652.4,125.7,45.0,12.375,0.8578125,0.06635317334995018,0.030828381845620936,0.02956798134079501,0.09662587960285329,0.0,0.0,0.0,8.0,4101.485731333494,21.099923312664032,5898.268218625402,64.4200534649834,0.42061292032814535,0.42061292032814535,0.0,13.5,0.05196077203273758,0.03188346193068457,0.5858269273297732,4213.597751617432,21.734838247299194,6183.941677753106,65.02722189189632,0.4083898266802088,0.4083898266802088,0.0,hpo,tuned_ensemble,REALMLP_GPU,RealMLP_GPU,tabarena-2025-09-03
"AutoGluon 1.5 (extreme, 4h)",1627.2,364.4,217.8,13.625,0.8421875,0.0529733415921531,0.024446674479969982,0.030035148421422915,0.20923659673659672,0.0,1.0,2.0,5.0,165.18665519356728,0.9042089879512787,221.74423615202934,2.427926878610496,0.3555881726171878,0.3555881726171878,0.0,5.5,0.04208898894387758,0.015563665605765492,0.5836241789229927,128.38609635829926,0.8288683891296387,201.20789960088317,2.5583336762761997,0.2377865548723913,0.2377865548723913,0.0,baseline,,,AutoGluon_v150_eq_4h8c,tabarena-2025-12-18
REALTABPFN-V2.5 (tuned),1618.8,254.5,116.7,14.0625,0.83671874,0.04863914419208919,0.021410057402915184,0.02287199304664362,0.16082699820504698,0.0,1.0,0.0,7.0,1951.589926302433,0.3730280101299286,2822.710633777791,1.0806323853850048,0.4243606852550838,0.4243606852550838,0.0,13.25,0.03830750172003489,0.0120228592687992,0.585099865446056,1794.7315599918365,0.28587090969085693,2669.9787237081846,0.9141279391124568,0.42111805918118117,0.42111805918118117,0.0,hpo,tuned,REALTABPFN-V2.5,RealTabPFN-v2.5,tabarena-2025-11-12
TABPFNV2_GPU (tuned + ensemble),1591.4,268.0,133.7,15.5625,0.8179687,0.054305299724157485,0.017935276214539525,0.01845810136422612,0.12404263673318552,0.0,0.0,0.0,8.0,3431.8800100684166,12.660265862941742,4553.904786274765,37.63315139368251,0.4698289419800234,0.4698289419800234,0.0,11.0,0.060064493197030666,0.015205289979196582,0.5843009890784359,3036.063897371292,9.113755345344543,4560.817509007882,24.22294283970656,0.4306700331708024,0.4306700331708024,0.0,hpo,tuned_ensemble,TABPFNV2_GPU,TabPFNv2_GPU,tabarena-2025-06-12
"AutoGluon 1.4 (extreme, 4h)",1587.0,256.4,131.1,15.8125,0.8148438,0.05222204263140441,0.02467107718357399,0.023114177648483433,0.20003323882000354,1.0,0.0,0.0,7.0,516.0360659658909,2.1148582696914673,711.9470136396285,6.201449585579207,0.4244479605549738,0.4244479605549738,0.0,9.5,0.05060477734338259,0.0203595664658187,0.5692734470446041,408.6331539154053,1.7137389183044434,630.510468897987,4.433018722099501,0.30156832423786617,0.30156832423786617,0.0,baseline,,,AutoGluon_v140_eq_4h8c,tabarena-2025-11-01
"AutoGluon 1.4 (best, 4h)",1521.3,127.4,48.7,19.875,0.7640625,0.08252713237665543,0.04527704708932273,0.03676173937035895,0.06055942648333953,0.0,0.0,0.0,8.0,4992.41979894042,1.698727309703827,6915.453591813713,4.049043865191007,0.5473330071760162,0.5473330071760162,0.0,23.5,0.07237357398263272,0.04089325605515211,0.587469214777788,3975.37906062603,0.6434314250946045,6385.230393966056,2.267592727813545,0.5480270101598452,0.5480270101598452,0.0,baseline,,,AutoGluon_v140_bq_4h8c,tabarena-2025-11-01
REALMLP_GPU (tuned),1519.4,177.1,71.2,20.0,0.7625,0.07760251867348773,0.03590976716657787,0.03540583621441413,0.10890048798946111,0.0,1.0,0.0,7.0,4101.485731333494,1.7693434357643127,5898.268218625402,5.386288336743697,0.5190170889872159,0.5190170889872159,0.0,16.5,0.06748503179786808,0.04508905520338438,0.6014832528354213,4213.597751617432,0.6552989482879639,6183.941677753106,2.162475209150033,0.4460628154279261,0.4460628154279261,0.0,hpo,tuned,REALMLP_GPU,RealMLP_GPU,tabarena-2025-09-03
