method,elo,elo+,elo-,rank,winrate,improvability,improvability+,improvability-,mrr,rank=1_count,rank=2_count,rank=3_count,rank>3_count,time_train_s,time_infer_s,time_train_s_per_1K,time_infer_s_per_1K,normalized-error,normalized-error-task,imputed,median_rank,median_improvability,median_loss_rescaled,median_metric_error,median_time_train_s,median_time_infer_s,median_time_train_s_per_1K,median_time_infer_s_per_1K,median_normalized-error,median_normalized-error-task,median_imputed,method_type,method_subtype,config_type,ta_name,ta_suite
TABICLV2 (default),1808.4,244.7,89.6,6.375,0.9328125,0.04050607924672371,0.03153856029386708,0.033970122538112955,0.3923611111111111,2.0,1.0,0.0,5.0,9.399432986974716,0.3785402178764343,12.877561367194653,1.1240294001448574,0.2391742757919432,0.2391742757919432,0.0,6.5,0.021460729491608654,0.01932823125372253,0.5745451367694463,6.912318706512451,0.3761657476425171,12.30654165933817,1.122698437498017,0.20838590457981493,0.20838590457981493,0.0,config,default,TABICLV2,TabICLv2,tabarena-2026-02-16
REALTABPFN-V2.5 (tuned + ensemble),1715.0,353.8,168.9,9.5,0.89375,0.03684933881251923,0.023232914416485992,0.023720023580521915,0.37323232323232325,1.0,3.0,1.0,3.0,1951.589926302433,4.695742219686508,2822.710633777791,13.111929646956684,0.2852277783086835,0.2852277783086835,0.0,2.5,0.017592914123667702,0.004403758670060064,0.5700389875954348,1794.7315599918365,2.411555767059326,2669.9787237081846,6.692261841069294,0.05856552667644192,0.05856552667644192,0.0,hpo,tuned_ensemble,REALTABPFN-V2.5,RealTabPFN-v2.5,tabarena-2025-11-12
REALTABPFN-V2.5 (default),1699.3,214.1,95.0,10.125,0.8859375,0.046481883479540395,0.021743483873463615,0.023414950867920344,0.1409182227796358,0.0,0.0,0.0,8.0,8.30420857667923,0.2982872724533081,12.591156088461982,0.9244365416246504,0.32693898050283937,0.32693898050283937,0.0,7.5,0.03487768139734354,0.02089346718672558,0.5788699619793184,7.445145606994629,0.2578970193862915,10.664185549880244,0.730660950350609,0.2681482115197561,0.2681482115197561,0.0,config,default,REALTABPFN-V2.5,RealTabPFN-v2.5,tabarena-2025-11-12
REALMLP_GPU (tuned + ensemble),1651.1,127.7,44.7,12.25,0.859375,0.06623227511763399,0.030949280077937125,0.029746306233461382,0.09714671293618662,0.0,0.0,0.0,8.0,4101.485731333494,21.099923312664032,5898.268218625402,64.4200534649834,0.41814391212648505,0.41814391212648505,0.0,13.5,0.05196077203273758,0.03188346193068457,0.5858269273297732,4213.597751617432,21.734838247299194,6183.941677753106,65.02722189189632,0.39851379387356767,0.39851379387356767,0.0,hpo,tuned_ensemble,REALMLP_GPU,RealMLP_GPU,tabarena-2025-09-03
"AutoGluon 1.5 (extreme, 4h)",1625.7,387.9,218.7,13.5,0.84375,0.052851159343415346,0.024568856728707733,0.030279512918898417,0.2717365967365967,1.0,0.0,2.0,5.0,165.18665519356728,0.9042089879512787,221.74423615202934,2.427926878610496,0.3513758040223155,0.3513758040223155,0.0,5.5,0.04208898894387758,0.015563665605765492,0.5836241789229927,128.38609635829926,0.8288683891296387,201.20789960088317,2.5583336762761997,0.2377865548723913,0.2377865548723913,0.0,baseline,,,AutoGluon_v150_eq_4h8c,tabarena-2025-12-18
REALTABPFN-V2.5 (tuned),1614.9,254.8,116.6,14.0625,0.83671874,0.04851912662494498,0.02146706574730868,0.022923000512679908,0.16082699820504698,0.0,1.0,0.0,7.0,1951.589926302433,0.3730280101299286,2822.710633777791,1.0806323853850048,0.4231762782431053,0.4231762782431053,0.0,13.25,0.03830750172003489,0.0120228592687992,0.585099865446056,1794.7315599918365,0.28587090969085693,2669.9787237081846,0.9141279391124568,0.42219910687082857,0.42219910687082857,0.0,hpo,tuned,REALTABPFN-V2.5,RealTabPFN-v2.5,tabarena-2025-11-12
TABPFNV2_GPU (tuned + ensemble),1587.4,266.2,133.3,15.5625,0.8179687,0.054186627172836635,0.018053948765860375,0.01869544646686782,0.12404263673318552,0.0,0.0,0.0,8.0,3431.8800100684166,12.660265862941742,4553.904786274765,37.63315139368251,0.47009920390243526,0.47009920390243526,0.0,11.0,0.060064493197030666,0.015205289979196582,0.5843009890784359,3036.063897371292,9.113755345344543,4560.817509007882,24.22294283970656,0.4317510808604498,0.4317510808604498,0.0,hpo,tuned_ensemble,TABPFNV2_GPU,TabPFNv2_GPU,tabarena-2025-06-12
"AutoGluon 1.4 (extreme, 4h)",1580.8,265.5,134.7,15.9375,0.81328124,0.052100183086476015,0.024792936728502385,0.02323603719341183,0.20206113331113332,1.0,0.0,0.0,7.0,516.0360659658909,2.1148582696914673,711.9470136396285,6.201449585579207,0.4208766715945306,0.4208766715945306,0.0,9.0,0.05060477734338259,0.0203595664658187,0.5692734470446041,408.6331539154053,1.7137389183044434,630.510468897987,4.433018722099501,0.30156832423786617,0.30156832423786617,0.0,baseline,,,AutoGluon_v140_eq_4h8c,tabarena-2025-11-01
"AutoGluon 1.4 (best, 4h)",1517.2,126.7,49.3,19.875,0.7640625,0.08240706827839824,0.045334077535994874,0.036875800263703296,0.06055942648333953,0.0,0.0,0.0,8.0,4992.41979894042,1.698727309703827,6915.453591813713,4.049043865191007,0.5460033341490876,0.5460033341490876,0.0,23.5,0.07237357398263272,0.04089325605515211,0.587469214777788,3975.37906062603,0.6434314250946045,6385.230393966056,2.267592727813545,0.5480270101598452,0.5480270101598452,0.0,baseline,,,AutoGluon_v140_bq_4h8c,tabarena-2025-11-01
REALMLP_GPU (tuned),1517.2,182.0,72.6,19.875,0.7640625,0.0774811016327225,0.03603118420734311,0.03553332410721763,0.11026257516304022,0.0,1.0,0.0,7.0,4101.485731333494,1.7693434357643127,5898.268218625402,5.386288336743697,0.5160130592537451,0.5160130592537451,0.0,16.5,0.06748503179786808,0.04508905520338438,0.6014832528354213,4213.597751617432,0.6552989482879639,6183.941677753106,2.162475209150033,0.4460628154279261,0.4460628154279261,0.0,hpo,tuned,REALMLP_GPU,RealMLP_GPU,tabarena-2025-09-03
