,category,Fitness,Blood,Diabetes,Fiat500,QSAR-Fish,Airfoil,Concrete,Insurance,Maternal,Phishing,ELO
metric,,roc_auc,roc_auc,roc_auc,rmse,rmse,rmse,rmse,rmse,log_loss,log_loss,
task_id,,363671,363621,363629,363615,363698,363612,363625,363675,363685,363707,
CAT,ML,0.803406684815487,0.7107894736842105,0.8335341365461848,707.0458026370143,0.9169135943553836,1.4743257730979937,4.479989948836688,4089.2521585967734,0.4266560518199411,0.23235150814363295,1342.5
EBM,ML,0.803614640048397,0.7082456140350877,0.8425702811244979,716.5004526026838,0.9456287726391835,1.9173663355495552,4.428036811524854,4180.362861666773,0.49959478868894475,0.2241565744224039,1250.4
KNN,ML,0.7244215063520871,0.6749999999999999,0.8175368139223562,779.6254212236342,0.9470259228582849,3.2473637575363417,8.986232450905673,5097.162999758122,0.8570291857311769,0.8015007951233438,728.2
LR,ML,0.8031609195402298,0.7310526315789474,0.822289156626506,773.1329009383466,0.9779810035849538,5.424097983642563,8.079074721109023,5575.862768468926,0.7708599588207895,0.3413345934803583,966.5
REALMLP_GPU,DL,0.8027828191167574,0.7450000000000001,0.8500669344042837,711.3060085065583,0.902031865224557,1.1261888658361736,5.013467964220634,4169.775918222015,0.5935180898948357,0.22505026052985158,1370.4
REALTABPFN-V2.5,Foundation,0.809229431336963,0.7444298245614036,0.8486947791164658,685.7440224082889,0.9021697485200404,0.9770421145051592,3.816273829391835,4075.862737431688,0.418697125047572,0.20898421158367678,1790.7
MITRA_GPU,,0.8097965819721717,0.7220175438596491,0.8392235609103079,702.6015919021072,0.9012402148282606,1.0591131919058265,4.329742394231109,4032.357647014834,0.37773906038340466,0.21455161114694993,1652.3
TABICLV2,,0.8090214761040532,0.7451754385964913,0.8451807228915663,685.946712048121,0.894265712135384,1.015387772184129,3.6729471916148135,4042.4652260759326,0.3542280741307795,0.20272048908731136,1934.9
TABICL_GPU,,0.8060533877797944,0.7026315789473685,0.838219544846051,727.2392705679738,0.938418407690184,1.7727015604892042,5.50373270046845,4520.752203125408,0.3636477547868081,0.20420556961596548,1277.2
FTTransformer,DL,0.7979242286751361,0.7264912280701754,0.828380187416332,1066.1074412433518,1.2398653728130447,6.214391184581335,12.285288531686305,5202.08276842444,0.641125529410087,0.2383863006481635,960.0
LLMBaseline,LLM,,0.7060526315789474,0.6860107095046855,,1.6545004849408724,,16.808829044894885,17800.341386653545,1.3630054951387849,0.5501418437708177,778.7
LLMBaseline260429-LB-Bidir,LLM,,0.7063157894736842,0.8009370816599732,,1.0360012755076657,2.4641715571337057,8.087770676050898,4211.095269245154,,0.3075255198919549,963.2
LLMBaselineBidirectional260426-BaselineBidir,LLM,,0.6975438596491228,0.7977911646586346,,1.014977324860838,1.5983589478942004,4.798822721989176,4543.928949362836,,,991.6
LLMSlot260506-LS-qwen-bidir,LLM,0.8022912885662432,0.7125438596491228,0.8296519410977242,708.2013916494772,0.9574464558082538,1.1194855208639127,4.5676461210959785,4050.8068033275995,0.5274776897667859,0.2385557436130498,1270.5
LLMSlot260506-LS-qwen-causal,LLM,0.8064692982456139,0.7181578947368421,0.8332663989290496,714.4535675645877,0.9584740579639093,1.1958493390601235,4.551895175768046,4060.6369939092597,0.5824810017773421,0.22117994645361783,1321.8
LLMSlot260506-LS-qwen-structured,LLM,0.8046544162129462,0.721842105263158,0.8246318607764391,704.8280926790495,0.9394706790251117,1.2493779713582602,4.677180310299225,4020.7065900153148,0.5577791864924406,0.22358117038867917,1334.1
LLMSlot260508-LS-qwen-bidir-num_emb-pwl,LLM,0.8053349969751965,0.7005263157894737,0.8355421686746989,712.8833475294861,0.9508620355558938,1.1479910013396373,4.360250228129118,4104.3981527977685,0.5107002288965481,0.228787584956473,1295.0
LLMSlot260508-LS-qwen-causal-num_emb-pwl,LLM,0.8069230187537809,0.705438596491228,0.8173360107095047,713.2964263464836,0.9103155234449042,1.1099164797297205,4.149327483530001,4123.454708059961,0.4875636397677677,0.22761741510017833,1338.6
LLMSlot260508-LS-qwen-structured-num_emb-pwl,LLM,0.8031987295825771,0.6934210526315789,0.8151271753681393,704.8767772104786,0.9535382574046505,1.0780924664935574,4.4006713116891225,4088.5167395857816,0.4822517764433364,0.23145607935850113,1252.7
