method,elo,elo+,elo-,rank,winrate,improvability,improvability+,improvability-,mrr,rank=1_count,rank=2_count,rank=3_count,rank>3_count,time_train_s,time_infer_s,time_train_s_per_1K,time_infer_s_per_1K,normalized-error,normalized-error-task,imputed,median_rank,median_improvability,median_loss_rescaled,median_metric_error,median_time_train_s,median_time_infer_s,median_time_train_s_per_1K,median_time_infer_s_per_1K,median_normalized-error,median_normalized-error-task,median_imputed,method_type,method_subtype,config_type,ta_name,ta_suite
TABICLV2 (default),1934.9,236.3,89.5,5.8,0.94418603,0.02968139643445449,0.027007146639708785,0.022608624534230872,0.35984126984126985,2.0,1.0,0.0,7.0,10.152588820457458,0.43124639987945557,12.69207501359096,1.1467436423656412,0.18267071220826808,0.18267071220826808,0.0,5.0,0.010784286729186576,0.011128320425861891,0.6242468931330818,6.985201716423035,0.3761657476425171,10.981503020137836,1.0825636688478018,0.19095769913119187,0.19095769913119187,0.0,config,default,TABICLV2,TabICLv2,tabarena-2026-02-16
REALTABPFN-V2.5 (tuned + ensemble),1912.0,263.9,113.2,6.4,0.93720937,0.030140185809039398,0.020711851561148402,0.021698800147506532,0.3189484126984127,1.0,2.0,1.0,6.0,2052.157741570473,3.7536302328109743,2700.716486068598,9.070445187795118,0.1911976034444515,0.1911976034444515,0.0,4.0,0.012906991995432271,0.005660961646062113,0.6253008577468468,1891.582437992096,2.411555767059326,2669.9787237081846,6.692261841069294,0.09864833030088363,0.09864833030088363,0.0,hpo,tuned_ensemble,REALTABPFN-V2.5,RealTabPFN-v2.5,tabarena-2025-11-12
"AutoGluon 1.5 (extreme, 4h)",1886.9,271.9,137.4,7.1,0.92906976,0.03052476324419069,0.022072505702846728,0.015113729336680048,0.2984798534798535,1.0,1.0,2.0,6.0,179.79733250141143,1.0953170299530028,224.23411288777166,2.595952151117102,0.23688147317033673,0.23688147317033673,0.0,4.5,0.025045281187438873,0.015563665605765492,0.6204688270451019,141.3527716398239,0.8359726667404175,201.20789960088317,2.535898274500062,0.23798315813600163,0.23798315813600163,0.0,baseline,,,AutoGluon_v150_eq_4h8c,tabarena-2025-12-18
REALTABPFN-V2.5 (default),1790.7,245.3,120.6,10.3,0.89186054,0.04776740932007638,0.027351733456673577,0.026726460935813465,0.14685494859407902,0.0,0.0,0.0,10.0,8.074723052978516,0.2891707181930542,11.45698340449022,0.8368191300858226,0.3089826774357552,0.3089826774357552,0.0,6.0,0.031243579302248414,0.02089346718672558,0.6604334367838062,7.300347924232483,0.2578970193862915,9.336997742989734,0.639171824838382,0.24537146371140026,0.24537146371140026,0.0,config,default,REALTABPFN-V2.5,RealTabPFN-v2.5,tabarena-2025-11-12
TABDPT_GPU (tuned + ensemble),1748.5,264.0,121.5,12.0,0.872093,0.04685688654143431,0.02211443064133304,0.02398666571475358,0.1961699411699412,1.0,0.0,0.0,9.0,7724.487304234504,128.15740101337434,10188.351726560175,362.2495699473258,0.3427059181408897,0.3427059181408897,0.0,9.5,0.04065315379808926,0.015809661205331647,0.6293849368960964,7332.460351467133,135.09081983566284,10230.881697187018,382.0410796608709,0.2868794363545344,0.2868794363545344,0.0,hpo,tuned_ensemble,TABDPT_GPU,TabDPT_GPU,tabarena-2025-10-20
REALTABPFN-V2.5 (tuned),1742.7,279.1,118.2,12.25,0.86918616,0.043239572655489424,0.01957029649307796,0.0220549816127128,0.17325262762762764,0.0,1.0,1.0,8.0,2052.157741570473,0.5471738338470459,2700.716486068598,1.3547356305902791,0.35371138229882615,0.35371138229882615,0.0,8.0,0.029022717452677982,0.0120228592687992,0.6405808092506429,1891.582437992096,0.3007148504257202,2669.9787237081846,1.0035909212730973,0.31616992387165943,0.31616992387165943,0.0,hpo,tuned,REALTABPFN-V2.5,RealTabPFN-v2.5,tabarena-2025-11-12
TABDPT_GPU (default),1732.4,201.4,85.8,12.7,0.86395353,0.050380303623714595,0.0344223573992868,0.028663928119273076,0.14198384461542354,0.0,1.0,1.0,8.0,34.337841272354126,16.557884645462035,46.96267692202666,45.372770571993954,0.36895318118532894,0.36895318118532894,0.0,12.0,0.02856481448326681,0.0203125086370865,0.6249024544156809,35.8741158246994,16.39503765106201,46.45508836399206,42.737089242149565,0.363024996373311,0.363024996373311,0.0,config,default,TABDPT_GPU,TabDPT_GPU,tabarena-2025-10-20
TABDPT_GPU (tuned),1717.0,191.9,89.9,13.4,0.85581404,0.04946748717099168,0.029859913888291338,0.024526041698024213,0.12184113300492612,0.0,1.0,0.0,9.0,7724.487304234504,13.014562058448792,10188.351726560175,32.73403647742771,0.38791616377011906,0.38791616377011906,0.0,13.0,0.03271300258886661,0.025177021824093294,0.6231454324719796,7332.460351467133,16.06958830356598,10230.881697187018,36.66067287323794,0.3704859765073543,0.3704859765073543,0.0,hpo,tuned,TABDPT_GPU,TabDPT_GPU,tabarena-2025-10-20
"AutoGluon 1.4 (extreme, 4h)",1697.0,246.0,108.1,14.35,0.84476745,0.04441920728677218,0.02408079050185505,0.021901337439076563,0.18176614933963717,1.0,0.0,0.0,9.0,501.3514785051346,1.593275547027588,654.4701102961426,4.345131217411595,0.3998506048954332,0.3998506048954332,0.0,9.5,0.03046771810859622,0.02144491033349296,0.6147861261198836,408.6331539154053,1.5597865581512451,616.2446851920199,3.902422507077653,0.3411358322542676,0.3411358322542676,0.0,baseline,,,AutoGluon_v140_eq_4h8c,tabarena-2025-11-01
TABPFNV2_GPU (tuned + ensemble),1690.9,306.9,157.0,14.65,0.84127915,0.05306348954050198,0.026577845709183617,0.02749800442663132,0.14129868603781648,0.0,0.0,1.0,9.0,3609.990434741974,15.818853831291198,4462.820227741091,40.03372152329786,0.40163983573115936,0.40163983573115936,0.0,8.0,0.04447096689576541,0.018831541983747327,0.6525979020174164,2816.1803461313248,6.919036388397217,4540.476649043894,18.5474544713968,0.26666992483382956,0.26666992483382956,0.0,hpo,tuned_ensemble,TABPFNV2_GPU,TabPFNv2_GPU,tabarena-2025-06-12
REALMLP_GPU (tuned + ensemble),1681.9,124.2,52.1,15.1,0.8360465,0.06617672817124506,0.02774921196639081,0.029068695145120574,0.0744330566234591,0.0,0.0,0.0,10.0,4100.393615984916,19.391504406929016,5503.566698825363,54.191260049335696,0.46771209581046713,0.46771209581046713,0.0,14.5,0.04893617536707806,0.03491122758568725,0.6514232041128798,4173.234507918358,18.115317344665527,5403.472774428128,40.16484511561836,0.42432090628698704,0.42432090628698704,0.0,hpo,tuned_ensemble,REALMLP_GPU,RealMLP_GPU,tabarena-2025-09-03
MITRA_GPU (default),1652.3,182.5,92.6,16.65,0.8180233,0.0739431814706822,0.03841483876473842,0.03563261285389309,0.11988958633172428,0.0,1.0,0.0,9.0,77.80234706401825,0.8716951608657837,105.92971112017763,2.4040952411106398,0.45976596624741883,0.45976596624741883,0.0,18.5,0.06985555916853164,0.03416580253238608,0.6394896376058326,74.48118579387665,0.8480452299118042,105.44798788372951,2.241741776120362,0.4806295656702809,0.4806295656702809,0.0,config,default,MITRA_GPU,Mitra_GPU,tabarena-2025-09-03
TABPFNV2_GPU (default),1622.8,290.2,150.2,18.3,0.79883724,0.06391393092553826,0.033222211036333146,0.02749095267605095,0.17771267947738537,1.0,0.0,0.0,9.0,7.170730566978454,0.2834847211837769,9.537731482604077,0.7386693694845898,0.4290135495464716,0.4290135495464716,0.0,12.0,0.064033394527508,0.02398074018164147,0.6642028725097082,6.8933409452438354,0.26263725757598877,8.681373469402025,0.7342568826892518,0.35240686736276994,0.35240686736276994,0.0,config,default,TABPFNV2_GPU,TabPFNv2_GPU,tabarena-2025-06-12
TABPFNV2_GPU (tuned),1564.7,210.7,123.6,21.9,0.75697684,0.07373626474545876,0.03131769265924722,0.03303075833178998,0.0692394569810902,0.0,0.0,0.0,10.0,3609.990434741974,0.2013022184371948,4462.820227741091,0.5344751109871843,0.5297615627732271,0.5297615627732271,0.0,18.0,0.07134897202114399,0.02971509013566574,0.664658781955884,2816.1803461313248,0.16624736785888672,4540.476649043894,0.42901652212986696,0.4990120833960514,0.4990120833960514,0.0,hpo,tuned,TABPFNV2_GPU,TabPFNv2_GPU,tabarena-2025-06-12
