,category,Fitness,Blood,Diabetes,Fiat500,QSAR-Fish,Airfoil,Concrete,Insurance,Maternal,Phishing,ELO
metric,,roc_auc,roc_auc,roc_auc,rmse,rmse,rmse,rmse,rmse,log_loss,log_loss,
task_id,,363671,363621,363629,363615,363698,363612,363625,363675,363685,363707,
CAT,ML,0.803406684815487,0.7050877192982457,0.8376171352074967,707.2177838410694,0.9170500156250383,1.1912702718003423,4.333585714498188,4075.95781501091,0.4194495649199026,0.2096628570755173,1407.1
EBM,ML,0.7998147307924985,0.720701754385965,0.8536144578313253,720.7888856414239,0.9338630759696042,1.8751122184601097,4.3791586681933,4036.8570231296108,0.5008673071861267,0.23986025154590607,1288.3
GBM,ML,0.8021589534180278,0.7157894736842105,0.8353413654618473,709.295159892907,0.9226082564792453,1.387637675978781,4.3673334678741815,4122.501833344633,0.42644122104415216,0.231650124226522,1317.7
KNN,ML,0.7734800362976406,0.6987719298245614,0.8142570281124498,748.8332724043795,0.9471641989379048,2.553026758666722,6.260830250399818,4630.235613436097,0.7841119766235352,0.368958055973053,803.5
LR,ML,0.8008356019358742,0.748859649122807,0.8262382864792504,728.5160420265911,0.97713369662337,4.7521850275766075,7.9501029449478455,5585.882360476944,0.7722097635269165,0.33630067110061646,977.1
RF,ML,0.8005709316394435,0.6749122807017544,0.8239290495314592,702.9432002467729,0.920056349140093,1.7727015604892042,5.50373270046845,4289.116217210034,0.4399674529953946,0.25568626948547096,1129.0
XGB,ML,0.803954930429522,0.7040350877192982,0.8228915662650602,704.7691264657134,0.9136282735981752,1.3029304493781608,4.271255724134107,4137.510116549243,0.4070107240108848,0.23096497115564346,1324.1
XT,ML,0.8081612976406534,0.6811403508771929,0.8404283801874163,698.0185653275971,0.905459028966759,1.7070150389205543,5.212221902799439,4131.086950546212,0.41466615708348536,0.2377492574289928,1334.8
FASTAI,DL,0.8028773442226256,0.7437719298245614,0.8416331994645248,723.5120868617647,0.9462138320385582,1.5302536185802997,5.204748498170599,4165.877969169726,0.6313937565379443,0.24296201463647907,1209.7
MNCA_GPU,DL,0.7961849667271628,0.6900877192982456,0.8275769745649264,709.5030433305722,0.9425235469382216,1.40208685318452,5.750049206465128,4147.3356749873055,0.3957661924965936,0.2285486900959998,1186.5
NN_TORCH,DL,0.7973003629764065,0.7418421052631579,0.8333333333333334,728.5593504604925,0.9401469683526422,1.24910343833217,4.350427102095671,4149.197832312457,0.5344304087149985,0.22878672559218163,1221.9
