method,elo,elo+,elo-,rank,winrate,improvability,improvability+,improvability-,mrr,rank=1_count,rank=2_count,rank=3_count,rank>3_count,time_train_s,time_infer_s,time_train_s_per_1K,time_infer_s_per_1K,normalized-error,normalized-error-task,imputed,median_rank,median_improvability,median_loss_rescaled,median_metric_error,median_time_train_s,median_time_infer_s,median_time_train_s_per_1K,median_time_infer_s_per_1K,median_normalized-error,median_normalized-error-task,median_imputed,method_type,method_subtype,config_type,ta_name,ta_suite
TABICLV2 (default),1903.4,253.2,93.7,6.2,0.94693875,0.02968139643445449,0.027007146639708785,0.022608624534230872,0.3564224664224664,2.0,1.0,0.0,7.0,10.152588820457458,0.43124639987945557,12.69207501359096,1.1467436423656412,0.17936348816812203,0.17936348816812203,0.0,5.0,0.010784286729186576,0.009094080097408294,0.6242468931330818,6.985201716423035,0.3761657476425171,10.981503020137836,1.0825636688478018,0.18136238967442458,0.18136238967442458,0.0,config,default,TABICLV2,TabICLv2,tabarena-2026-02-16
REALTABPFN-V2.5 (tuned + ensemble),1892.8,247.4,110.5,6.5,0.9438776,0.030140185809039398,0.020711851561148402,0.021698800147506532,0.3185807656395892,1.0,2.0,1.0,6.0,2052.157741570473,3.7536302328109743,2700.716486068598,9.070445187795118,0.18679895795386298,0.18679895795386298,0.0,4.0,0.012906991995432271,0.005627587150268058,0.6253008577468468,1891.582437992096,2.411555767059326,2669.9787237081846,6.692261841069294,0.09356873124501378,0.09356873124501378,0.0,hpo,tuned_ensemble,REALTABPFN-V2.5,RealTabPFN-v2.5,tabarena-2025-11-12
"AutoGluon 1.5 (extreme, 4h)",1865.9,277.6,138.6,7.3,0.93571424,0.03052476324419069,0.022072505702846728,0.015113729336680048,0.29806577480490526,1.0,1.0,2.0,6.0,179.79733250141143,1.0953170299530028,224.23411288777166,2.595952151117102,0.23211298279251044,0.23211298279251044,0.0,4.5,0.025045281187438873,0.013325869296922685,0.6204688270451019,141.3527716398239,0.8359726667404175,201.20789960088317,2.535898274500062,0.22381062613012842,0.22381062613012842,0.0,baseline,,,AutoGluon_v150_eq_4h8c,tabarena-2025-12-18
REALTABPFN-V2.5 (default),1769.7,248.3,120.3,10.7,0.90102047,0.04776740932007638,0.027351733456673577,0.026726460935813465,0.1462108262108262,0.0,0.0,0.0,10.0,8.074723052978516,0.2891707181930542,11.45698340449022,0.8368191300858226,0.29784421975383496,0.29784421975383496,0.0,6.0,0.031243579302248414,0.01492799128976148,0.6604334367838062,7.300347924232483,0.2578970193862915,9.336997742989734,0.639171824838382,0.24399642566344587,0.24399642566344587,0.0,config,default,REALTABPFN-V2.5,RealTabPFN-v2.5,tabarena-2025-11-12
TABDPT_GPU (tuned + ensemble),1721.3,286.1,128.9,12.8,0.8795918,0.04685688654143431,0.02211443064133304,0.02398666571475358,0.1953943278943279,1.0,0.0,0.0,9.0,7724.487304234504,128.15740101337434,10188.351726560175,362.2495699473258,0.3350720745202799,0.3350720745202799,0.0,9.5,0.04065315379808926,0.014844535777295671,0.6293849368960964,7332.460351467133,135.09081983566284,10230.881697187018,382.0410796608709,0.2884952754832712,0.2884952754832712,0.0,hpo,tuned_ensemble,TABDPT_GPU,TabDPT_GPU,tabarena-2025-10-20
REALTABPFN-V2.5 (tuned),1718.0,289.0,120.7,12.95,0.8780612,0.043239572655489424,0.01957029649307796,0.0220549816127128,0.1725098175098175,0.0,1.0,1.0,8.0,2052.157741570473,0.5471738338470459,2700.716486068598,1.3547356305902791,0.3460421206732779,0.3460421206732779,0.0,8.0,0.029022717452677982,0.0120228592687992,0.6405808092506429,1891.582437992096,0.3007148504257202,2669.9787237081846,1.0035909212730973,0.2888323291084488,0.2888323291084488,0.0,hpo,tuned,REALTABPFN-V2.5,RealTabPFN-v2.5,tabarena-2025-11-12
TABDPT_GPU (default),1708.5,220.6,94.5,13.4,0.87346935,0.050380303623714595,0.0344223573992868,0.028663928119273076,0.1409038877788878,0.0,1.0,1.0,8.0,34.337841272354126,16.557884645462035,46.96267692202666,45.372770571993954,0.3589153736745769,0.3589153736745769,0.0,12.0,0.02856481448326681,0.0203125086370865,0.6249024544156809,35.8741158246994,16.39503765106201,46.45508836399206,42.737089242149565,0.34795451368847774,0.34795451368847774,0.0,config,default,TABDPT_GPU,TabDPT_GPU,tabarena-2025-10-20
TABDPT_GPU (tuned),1694.2,206.2,94.1,14.1,0.8663266,0.04946748717099168,0.029859913888291338,0.024526041698024213,0.12087948815889993,0.0,1.0,0.0,9.0,7724.487304234504,13.014562058448792,10188.351726560175,32.73403647742771,0.3799773973524331,0.3799773973524331,0.0,13.0,0.03271300258886661,0.01883425842212063,0.6231454324719796,7332.460351467133,16.06958830356598,10230.881697187018,36.66067287323794,0.37234641509969707,0.37234641509969707,0.0,hpo,tuned,TABDPT_GPU,TabDPT_GPU,tabarena-2025-10-20
"AutoGluon 1.4 (extreme, 4h)",1675.7,258.2,103.5,15.05,0.85663265,0.04441920728677218,0.02408079050185505,0.021901337439076563,0.17875006603145666,1.0,0.0,0.0,9.0,501.3514785051346,1.593275547027588,654.4701102961426,4.345131217411595,0.3899845751834653,0.3899845751834653,0.0,10.5,0.03046771810859622,0.020261568912510214,0.6147861261198836,408.6331539154053,1.5597865581512451,616.2446851920199,3.902422507077653,0.30703698552020064,0.30703698552020064,0.0,baseline,,,AutoGluon_v140_eq_4h8c,tabarena-2025-11-01
TABPFNV2_GPU (tuned + ensemble),1668.1,317.9,156.4,15.45,0.85255104,0.05306348954050198,0.026577845709183617,0.02749800442663132,0.14073657423657424,0.0,0.0,1.0,9.0,3609.990434741974,15.818853831291198,4462.820227741091,40.03372152329786,0.39154469454838725,0.39154469454838725,0.0,8.0,0.04447096689576541,0.015119110733889336,0.6525979020174164,2816.1803461313248,6.919036388397217,4540.476649043894,18.5474544713968,0.25284786306817525,0.25284786306817525,0.0,hpo,tuned_ensemble,TABPFNV2_GPU,TabPFNv2_GPU,tabarena-2025-06-12
REALMLP_GPU (tuned + ensemble),1663.5,132.6,57.2,15.7,0.85,0.06617672817124506,0.02774921196639081,0.029068695145120574,0.07310625923783817,0.0,0.0,0.0,10.0,4100.393615984916,19.391504406929016,5503.566698825363,54.191260049335696,0.4539669130672612,0.4539669130672612,0.0,14.5,0.04893617536707806,0.030057996614367755,0.6514232041128798,4173.234507918358,18.115317344665527,5403.472774428128,40.16484511561836,0.4272705370862835,0.4272705370862835,0.0,hpo,tuned_ensemble,REALMLP_GPU,RealMLP_GPU,tabarena-2025-09-03
MITRA_GPU (default),1632.5,173.0,91.5,17.45,0.8321429,0.0739431814706822,0.03841483876473842,0.03563261285389309,0.11870723651779551,0.0,1.0,0.0,9.0,77.80234706401825,0.8716951608657837,105.92971112017763,2.4040952411106398,0.44529442995654006,0.44529442995654006,0.0,19.5,0.06985555916853164,0.026179220283459936,0.6394896376058326,74.48118579387665,0.8480452299118042,105.44798788372951,2.241741776120362,0.48405008971063357,0.48405008971063357,0.0,config,default,MITRA_GPU,Mitra_GPU,tabarena-2025-09-03
TABPFNV2_GPU (default),1608.5,290.8,153.8,18.9,0.817347,0.06391393092553826,0.033222211036333146,0.02749095267605095,0.1775934425934426,1.0,0.0,0.0,9.0,7.170730566978454,0.2834847211837769,9.537731482604077,0.7386693694845898,0.41576078269689914,0.41576078269689914,0.0,12.0,0.064033394527508,0.02211232200717386,0.6642028725097082,6.8933409452438354,0.26263725757598877,8.681373469402025,0.7342568826892518,0.34758117690156737,0.34758117690156737,0.0,config,default,TABPFNV2_GPU,TabPFNv2_GPU,tabarena-2025-06-12
TABPFNV2_GPU (tuned),1550.3,223.1,125.8,22.8,0.777551,0.07373626474545876,0.03131769265924722,0.03303075833178998,0.0687738661285089,0.0,0.0,0.0,10.0,3609.990434741974,0.2013022184371948,4462.820227741091,0.5344751109871843,0.5137574588585616,0.5137574588585616,0.0,18.0,0.07134897202114399,0.024043948863037935,0.664658781955884,2816.1803461313248,0.16624736785888672,4540.476649043894,0.42901652212986696,0.46356406876353307,0.46356406876353307,0.0,hpo,tuned,TABPFNV2_GPU,TabPFNv2_GPU,tabarena-2025-06-12
"AutoGluon 1.4 (best, 4h)",1527.8,143.1,92.0,24.45,0.7607143,0.07759903452803898,0.03483569409019624,0.03591571349125674,0.06748079351958439,0.0,0.0,0.0,10.0,5091.664259266853,1.6969236612319947,6674.89226187836,3.8942064894625856,0.565286950630289,0.565286950630289,0.0,25.0,0.05498979149910288,0.03816580913897889,0.66169813848553,4385.050688743591,0.8002758026123047,6385.230393966056,2.308322425931692,0.5851896860255787,0.5851896860255787,0.0,baseline,,,AutoGluon_v140_bq_4h8c,tabarena-2025-11-01
