Dataset,tid,model,metric,metric_error,metric_error_val
APSFailure,363616,CAT (default),roc_auc,0.006102845381592004,0.009566368962717564
Amazon_employee_access,363613,CAT (default),roc_auc,0.12784067496608187,0.11766578138284411
Another-Dataset-on-used-Fiat-500,363615,CAT (default),rmse,707.0458026370143,737.8352417223898
Bank_Customer_Churn,363619,CAT (default),roc_auc,0.12334412243550807,0.13142026984583244
Bioresponse,363620,CAT (default),roc_auc,0.11085113283602832,0.13789335664335656
Diabetes130US,363630,CAT (default),roc_auc,0.3193639964786802,0.33529081015509
E-CommereShippingData,363632,CAT (default),roc_auc,0.2590278215554014,0.2550203584714237
Fitness_Club,363671,CAT (default),roc_auc,0.19659331518451295,0.17841182944647904
Food_Delivery_Time,363672,CAT (default),rmse,7.421263694763184,7.393636703491211
GiveMeSomeCredit,363673,CAT (default),roc_auc,0.1301899963006723,0.13608877629082128
HR_Analytics_Job_Change_of_Data_Scientists,363679,CAT (default),roc_auc,0.18734014775588415,0.1980489670814366
Is-this-a-good-customer,363682,CAT (default),roc_auc,0.26897660296481507,0.23812906150823643
MIC,363711,CAT (default),log_loss,0.46289234265254464,0.45460848451710284
Marketing_Campaign,363684,CAT (default),roc_auc,0.06454331690180748,0.10621446982804283
NATICUSdroid,363689,CAT (default),roc_auc,0.014059197660630796,0.014121719217896844
QSAR-TID-11,363697,CAT (default),rmse,0.8481876666595447,0.7535099826763181
QSAR_fish_toxicity,363698,CAT (default),rmse,0.9169135943553836,0.8366570666192858
SDSS17,363699,CAT (default),log_loss,0.07450684055043012,0.07657334352123892
airfoil_self_noise,363612,CAT (default),rmse,1.4743257730979937,1.8644867564433596
anneal,363614,CAT (default),log_loss,0.04721400587739318,0.031400529742559205
bank-marketing,363618,CAT (default),roc_auc,0.22577146436425466,0.2393031629555724
blood-transfusion-service-center,363621,CAT (default),roc_auc,0.2892105263157895,0.24180419268510245
churn,363623,CAT (default),roc_auc,0.06570313517867088,0.08267643519816725
coil2000_insurance_policies,363624,CAT (default),roc_auc,0.2593857479534647,0.23167027154337871
concrete_compressive_strength,363625,CAT (default),rmse,4.479989948836688,4.268864657032572
credit-g,363626,CAT (default),roc_auc,0.20726495726495708,0.19283261802575102
credit_card_clients_default,363627,CAT (default),roc_auc,0.20983228358925632,0.21895188446592384
customer_satisfaction_in_airline,363628,CAT (default),roc_auc,0.0052116326136436575,0.005470209346913668
diabetes,363629,CAT (default),roc_auc,0.1664658634538152,0.1715501581107448
diamonds,363631,CAT (default),rmse,530.7338832614893,533.7030382312294
hazelnut-spread-contaminant-detection,363674,CAT (default),roc_auc,0.032062499999999994,0.028593749999999973
healthcare_insurance_expenses,363675,CAT (default),rmse,4089.2521585967734,4750.174189910999
heloc,363676,CAT (default),roc_auc,0.2019443364074438,0.20047618941613865
hiva_agnostic,363677,CAT (default),log_loss,0.17590426422503314,0.17531069343443664
houses,363678,CAT (default),rmse,0.2130197473173677,0.2117088611256976
in_vehicle_coupon_recommendation,363681,CAT (default),roc_auc,0.1518790867559915,0.16791071662704726
jm1,363712,CAT (default),roc_auc,0.2443691556264156,0.26063099911784127
kddcup09_appetency,363683,CAT (default),roc_auc,0.1569235420793148,0.1559340751034518
maternal_health_risk,363685,CAT (default),log_loss,0.4266560518199411,0.4697426349882981
miami_housing,363686,CAT (default),rmse,81476.78749090832,85196.63349680713
online_shoppers_intention,363691,CAT (default),roc_auc,0.07344903560320515,0.06524964878359651
physiochemical_protein,363693,CAT (default),rmse,3.559258056118086,3.588575722499411
polish_companies_bankruptcy,363694,CAT (default),roc_auc,0.029259413689139757,0.03880201177918219
qsar-biodeg,363696,CAT (default),roc_auc,0.07343023046128327,0.06461409762129922
seismic-bumps,363700,CAT (default),roc_auc,0.20244088482074762,0.23886655263259216
splice,363702,CAT (default),log_loss,0.09341329053657353,0.1322483418456602
students_dropout_and_academic_success,363704,CAT (default),log_loss,0.5725188862466585,0.5394551702126857
superconductivity,363705,CAT (default),rmse,9.258389469265996,9.596388518988306
taiwanese_bankruptcy_prediction,363706,CAT (default),roc_auc,0.054850560398505666,0.06140078218147904
website_phishing,363707,CAT (default),log_loss,0.23235150814363295,0.27072329416595853
wine_quality,363708,CAT (default),rmse,0.6114031672477722,0.6364991068840027
APSFailure,363616,CAT (tuned + ensemble),roc_auc,0.006194939840816316,0.008125430646683252
Amazon_employee_access,363613,CAT (tuned + ensemble),roc_auc,0.12597203037187465,0.11232058502863362
Another-Dataset-on-used-Fiat-500,363615,CAT (tuned + ensemble),rmse,700.0401599757595,725.3862995057301
Bank_Customer_Churn,363619,CAT (tuned + ensemble),roc_auc,0.12419865261032481,0.128423015583225
Bioresponse,363620,CAT (tuned + ensemble),roc_auc,0.11036721287844853,0.1275147234771129
Diabetes130US,363630,CAT (tuned + ensemble),roc_auc,0.31843796857137074,0.3318825268307971
E-CommereShippingData,363632,CAT (tuned + ensemble),roc_auc,0.2635728659490021,0.24312076911928115
Fitness_Club,363671,CAT (tuned + ensemble),roc_auc,0.19693360556563821,0.17098521793582422
Food_Delivery_Time,363672,CAT (tuned + ensemble),rmse,7.407086473951957,7.370280165627367
GiveMeSomeCredit,363673,CAT (tuned + ensemble),roc_auc,0.12995526432595494,0.13547923278724316
HR_Analytics_Job_Change_of_Data_Scientists,363679,CAT (tuned + ensemble),roc_auc,0.18668501560786832,0.19672247167516055
