method,APSFailure,Amazon_employee_access,Another-Dataset-on-used-Fiat-500,Bank_Customer_Churn,Bioresponse,Diabetes130US,E-CommereShippingData,Fitness_Club,Food_Delivery_Time,GiveMeSomeCredit,HR_Analytics_Job_Change_of_Data_Scientists,Is-this-a-good-customer,MIC,Marketing_Campaign,NATICUSdroid,QSAR-TID-11,QSAR_fish_toxicity,SDSS17,airfoil_self_noise,anneal,bank-marketing,blood-transfusion-service-center,churn,coil2000_insurance_policies,concrete_compressive_strength,credit-g,credit_card_clients_default,customer_satisfaction_in_airline,diabetes,diamonds,hazelnut-spread-contaminant-detection,healthcare_insurance_expenses,heloc,hiva_agnostic,houses,in_vehicle_coupon_recommendation,jm1,kddcup09_appetency,maternal_health_risk,miami_housing,online_shoppers_intention,physiochemical_protein,polish_companies_bankruptcy,qsar-biodeg,seismic-bumps,splice,students_dropout_and_academic_success,superconductivity,taiwanese_bankruptcy_prediction,website_phishing,wine_quality
CAT (default),0.009566368962717564,0.11766578138284411,737.8352417223898,0.13142026984583244,0.13789335664335656,0.33529081015509,0.2550203584714237,0.17841182944647904,7.393636703491211,0.13608877629082128,0.1980489670814366,0.23812906150823643,0.45460848451710284,0.10621446982804283,0.014121719217896844,0.7535099826763181,0.8366570666192858,0.07657334352123892,1.8644867564433596,0.031400529742559205,0.2393031629555724,0.24180419268510245,0.08267643519816725,0.23167027154337871,4.268864657032572,0.19283261802575102,0.21895188446592384,0.005470209346913668,0.1715501581107448,533.7030382312294,0.028593749999999973,4750.174189910999,0.20047618941613865,0.17531069343443664,0.2117088611256976,0.16791071662704726,0.26063099911784127,0.1559340751034518,0.4697426349882981,85196.63349680713,0.06524964878359651,3.588575722499411,0.03880201177918219,0.06461409762129922,0.23886655263259216,0.1322483418456602,0.5394551702126857,9.596388518988306,0.06140078218147904,0.27072329416595853,0.6364991068840027
EBM (default),0.012048320203638219,0.16596409866500683,751.0163997223517,0.13924254161612293,0.14889922024877777,0.3455908199927542,0.25403727716314806,0.1766020228087819,7.49098539352417,0.13648481835905968,0.20356387566299794,0.22594831494635026,0.446039088763696,0.11201228770170546,0.015271270036991469,0.8161394853934626,0.8534688307279797,0.07701655937907836,2.1242511644527036,0.021851497505872085,0.24207819305863043,0.22028322925958965,0.08814230245949173,0.24443078740559787,4.493117106900918,0.19032188841201703,0.22006685297824546,0.011718374596362935,0.1591367826145461,607.7798180535282,0.026767187499999956,4734.006115784851,0.19807343471362793,0.17230044390989233,0.2285386435563427,0.19757537666957403,0.2684343556054083,0.17628806241829686,0.5078745640057083,94225.2684833801,0.0685286114641378,4.050272553286154,0.04673444275867,0.06408670982759879,0.22083193540758006,0.1316305118037939,0.539482863706543,10.769127127538423,0.05842855441790262,0.2860853474219531,0.6772574782371521
FASTAI (default),0.019537534835750825,0.2217017960269967,773.8414506895392,0.1474914070849792,0.17820499927800815,0.39107820608697874,0.25797686844775114,0.18268847606216432,8.211424827575684,0.1998062111252823,0.20717168510012984,0.2789103823484964,0.5290695079020807,0.16115779810034947,0.018491544830015805,0.7660684030034577,0.8763774510869414,0.1727284551101318,2.5216728529058092,0.06304212928305696,0.25272089596181047,0.24414585191793048,0.09427211532327107,0.28511265533958596,6.19572637750232,0.20377682403433484,0.22891922160118372,0.005878180264682897,0.17869878221085922,563.5244416378647,0.020079687499999888,4900.566471090712,0.21088885475522,0.25072884016216,0.24545912033337008,0.2218810391120688,0.2758331458989354,0.3565510779909369,0.6124478736360814,93386.31232740098,0.07453334835960213,4.033120300301945,0.20187081128221052,0.06587800974758129,0.24960812245279596,0.1615541856397742,0.5711108443873395,11.67011285507873,0.126717111031728,0.35325898826767255,0.6762492656707764
FTtransformer (default),0.014270533892168258,0.1807056779219791,1461.1468656295,0.14732014532209137,,0.35507237398847,0.2565363350886516,0.19233287159149115,9.453631401062012,0.13793780844885806,0.20389006305798385,0.23204624452168654,0.47456255470375575,0.12395395642809226,0.016777082966355494,,1.3275522363826966,0.10682926737468118,5.602821541910852,0.03182113683437784,0.2509805472586577,0.24378902765388055,0.12331509893902237,0.2466988066314224,9.910251013920615,0.21439914163090124,0.2274947254481554,0.006650375167919109,0.1842494785709481,728.6092260953894,0.059778125000000015,10140.982668377128,0.21507517610788285,,0.33189626484691365,0.21380605863674973,0.2723066407276934,0.18082320618991055,0.6291147505299345,114732.17737610711,0.06755405383387103,4.171991882971102,0.07724762166445642,0.06390485196770213,0.23110600218901423,0.18293373675619998,0.5962430822366356,13.8742024685049,0.07089428178636781,0.26474770186296237,0.884208619594574
GBM (default),0.011860196177393534,0.16367746221283563,753.9522846183239,0.13850338999792455,0.14093410277038598,0.36588227306346377,0.2597550413063433,0.19490882179927516,7.6554670333862305,0.13712535954035476,0.20315849940043418,0.24590826658606613,0.5042855956925348,0.12101620705483573,0.015395719570195476,0.7532168560541159,0.8624070207663851,0.08935763414407254,1.6528222359883165,0.04837241281001002,0.24510144631506559,0.25877564674397846,0.08626174145142207,0.24635507294838765,4.525289974830005,0.22865879828326185,0.2209250887092955,0.00593895662692967,0.17451052950279222,545.8376375250275,0.029546874999999972,4801.006269068233,0.20388823713368875,0.1735645633796673,0.2193457809686029,0.17147917272359325,0.26514269112953337,0.21876007606560344,0.5013240782303644,88925.55223757798,0.06455208140978985,3.579553179316267,0.05010632324656239,0.06470502655124755,0.2722875198688791,0.12742864583518862,0.5475777169084731,9.674074468088552,0.0876018513793333,0.2755053506236157,0.6455867886543274
KNN (default),0.04524227030348238,0.2487082659800004,848.6504647294489,0.18920297591764113,0.18516158435959318,0.457874162157326,0.2956076332189961,0.2653940302472533,8.547025680541992,0.25818734219145445,0.2599136651394919,0.3196085839504307,1.528048934440616,0.17739133505172833,0.051448652457283695,0.981627074836895,0.8669906823733886,0.38685793820382164,3.4512328476228307,0.12505355006856336,0.29595694477307366,0.31093889384478146,0.13700498960684027,0.34590990148239564,8.854597255427693,0.24918454935622314,0.26169582457966123,0.015450147357301547,0.19061595909304985,954.2333533202708,0.08228281250000002,6089.654377144987,0.2548854638143121,0.4560028071908562,0.28997254762227614,0.2749635444279125,0.2611777842041001,0.3976222545457542,0.8915413742620226,123214.3324193875,0.20473127192839546,3.8948855070457986,0.19205582169551738,0.0930112024441696,0.31590555338609705,0.565398467385636,0.7807116702259643,11.159999451414405,0.14624071952036088,1.0421094978074508,0.6344692707061768
LR (default),0.013453797371135057,0.1503799985903571,811.5818703824589,0.22635283613363766,0.23983151803948277,0.3585541972110975,0.29409525097830813,0.17843317710013462,8.56860637664795,0.1609713107402172,0.2096337285626353,0.2657850989874566,0.6478881699924067,0.10519755658345398,0.019098115201691024,1.0167086441548498,0.9420659478774077,0.14900419286769623,5.324660310188381,0.09018545832078034,0.2568656690270147,0.2589094558429973,0.23209683665157765,0.27177578843783734,8.610251931839596,0.21504291845493562,0.2576682719322443,0.03587208448569801,0.1739554598667833,1551.599624955023,0.05107031249999994,6331.167662555981,0.21382513354385724,0.5085584212015936,0.32708129889077475,0.2724634161635854,0.2828668651037072,0.21695823087723698,0.8029346470539664,190883.37924760685,0.08363555595384231,5.21210180372023,0.13064916912564062,0.09988542954826507,0.261042696777529,0.21293761643999787,0.566711790689849,17.44687235129963,0.06961074950553092,0.3699435182676259,0.7392764091491699
MITRA_GPU (default),,,746.6165511614943,0.12969995272093238,,,0.2452385525870816,0.17460008728818388,,,,0.2370258425268248,0.4308042842890727,0.08481868578086926,0.014324995596265655,,0.842184211446028,,1.3923581397695826,0.019093098198825983,,0.2404884032114183,0.0741719967774529,0.2275965600877632,4.301871184851795,0.18296137339055807,,,0.16229899751059673,,0.01091093750000005,4594.42811137795,0.1958577968266737,,,0.1802801292904418,0.2545388943415259,,0.4207950577922367,87546.22408669684,0.061629709739556726,,0.03011148012312792,0.0627227758783735,0.22562521656390766,0.12083795219019691,0.5290157550675401,,0.05954584607200464,0.22840462994964253,0.627259373664856
MNCA_GPU (default),0.010608106032345077,0.1630762514948647,763.1179893571431,0.1348123487153079,0.16526877436722576,0.3512015532380869,0.2489239480168124,0.18020266039203792,7.521852016448975,0.1361095306581558,0.20426021697684216,0.23627776938189515,0.4669990637104053,0.11332226969386672,0.01662665140038755,0.7513656386480213,0.814258462485526,0.08489812842793171,1.715430050388581,0.028123481904367895,0.24205579345924022,0.23132247992863508,0.10426839129318788,0.24895976425892474,4.827754362102603,0.19839055793991422,0.22341244783786607,0.007015198618176344,0.1493137320863891,531.0989569720982,0.02572968749999993,4781.120161762224,0.20130570352995725,0.24982366187378646,0.2056445077730314,0.21278447602597206,0.23588564213564212,0.2166059484455689,0.43594759121552346,92077.0640345241,0.06378696371608683,3.1930647818875406,0.054687282226496325,0.0838273805193861,0.2433710819120325,0.1656228838718159,0.5462679807956575,9.768026250560881,0.08927353619329059,0.2663782060688724,0.6171555519104004
NN_TORCH (default),0.011850255645037389,0.18358177166744793,785.4551106296499,0.14338972601447453,0.1731668497431772,0.35964698381845384,0.26048504758684,0.18500351050304564,7.795469284057617,0.13965729215061462,0.20344648422551548,0.24202810941514286,0.4653110304572912,0.14154161223120654,0.01563995067817503,0.7465665483571656,0.8529494227298999,0.10185411956733378,1.549722013694731,0.032794891209862446,0.25138199241005244,0.23937332738626216,0.12882028364943088,0.26637574266206465,4.870314222490842,0.24078326180257514,0.2268858576299978,0.00778788962092225,0.17592343403081478,637.8452654217613,0.020819531249999912,4797.1593757233695,0.20702742162097487,0.17815528367650024,0.23860133202235376,0.19803125659136112,0.27646884061357746,0.20023961077156516,0.600332226649513,94216.71979788251,0.0706920320946619,3.620367018301331,0.13001003500304642,0.0728977231395942,0.23243151080482027,0.2048324239310971,0.5903085936029671,10.150895860123908,0.10010314650979746,0.2936157797885243,0.7005606889724731
