method,APSFailure,Amazon_employee_access,Another-Dataset-on-used-Fiat-500,Bank_Customer_Churn,Bioresponse,Diabetes130US,E-CommereShippingData,Fitness_Club,Food_Delivery_Time,GiveMeSomeCredit,HR_Analytics_Job_Change_of_Data_Scientists,Is-this-a-good-customer,MIC,Marketing_Campaign,NATICUSdroid,QSAR-TID-11,QSAR_fish_toxicity,SDSS17,airfoil_self_noise,anneal,bank-marketing,blood-transfusion-service-center,churn,coil2000_insurance_policies,concrete_compressive_strength,credit-g,credit_card_clients_default,customer_satisfaction_in_airline,diabetes,diamonds,hazelnut-spread-contaminant-detection,healthcare_insurance_expenses,heloc,hiva_agnostic,houses,in_vehicle_coupon_recommendation,jm1,kddcup09_appetency,maternal_health_risk,miami_housing,online_shoppers_intention,physiochemical_protein,polish_companies_bankruptcy,qsar-biodeg,seismic-bumps,splice,students_dropout_and_academic_success,superconductivity,taiwanese_bankruptcy_prediction,website_phishing,wine_quality
CAT (tuned + ensemble),0.008125430646683252,0.11232058502863362,725.3862995057301,0.128423015583225,0.1275147234771129,0.3318825268307971,0.24312076911928115,0.17098521793582422,7.370280165627367,0.13547923278724316,0.19672247167516055,0.2051911742481487,0.4406814678036725,0.09690688888104237,0.013255768892020403,0.7421923424273279,0.8195526593201499,0.07459236898089923,1.4937201224379428,0.016819300979287747,0.23725107939001988,0.2229817127564674,0.07235560481364267,0.2195899537548388,4.17529100141456,0.16036480686695276,0.21704074828571984,0.005216956603720901,0.1459664939783355,531.0208269158829,0.026206249999999986,4674.911454031142,0.19624740709850041,0.1735913241835468,0.20876672267921487,0.1590643544883964,0.24808920368130893,0.14659703257614543,0.4316307399406243,81377.02300153415,0.06217724072444719,3.416179026419873,0.03547841478809022,0.05190223321451948,0.21546940055110353,0.11787325716516205,0.5187559743066118,9.453056736724061,0.05336246796968391,0.23864730052900188,0.6127054536892549
EBM (tuned + ensemble),0.009229411248381614,0.15001763973948112,720.2633740032802,0.1323134113844887,0.1352703343853786,0.33658205772853234,0.2486117396975699,0.1714406345471451,7.4091752114469625,0.13581703035693293,0.1995986028306581,0.2080852350007556,0.4248279333114624,0.09668797005755447,0.014051171393341555,0.7811883414744362,0.8280664940012787,0.07244109362363815,2.01280938876643,0.010363778099417686,0.2391785851645769,0.21250000000000002,0.0769865326609308,0.22422963154656894,4.199393502494998,0.17097639484978544,0.2177931621050051,0.008602405338607899,0.13505012447016085,598.8633318159826,0.020457812500000006,4602.853409004738,0.19560562816380567,0.1697908490896225,0.22410610121408558,0.18840499033742064,0.2612781346333978,0.16460196386059722,0.47015181183815,85535.50417122249,0.06610149565686518,4.004413117502233,0.03765216768012236,0.053575325525569206,0.20994736465787023,0.12521469593048096,0.5255019664764404,10.232255196730788,0.05283513723743649,0.26274561882019043,0.6624066749168039
FASTAI (tuned + ensemble),0.00756460248842461,0.12578520846868813,747.5028369893962,0.1322323238993467,0.13664663139220656,0.33758117683408506,0.24074654814242236,0.1504677508112109,8.037804862695475,0.1582503009535574,0.19258080875151606,0.18300589390962674,0.4089083561004956,0.0784082482963172,0.012465386647877441,0.7224224738417943,0.8028357555485114,0.11542323378074626,1.764832827255755,0.02269034460976628,0.24058061679758536,0.18292818911685993,0.06718721485576429,0.21656343579158643,4.864628610116892,0.13173819742489268,0.21633881465295057,0.005148287602447121,0.12150978940994417,546.9720530162383,0.011151562500000045,4662.561372744264,0.1978309537466525,0.1729083669316282,0.23529544025769691,0.17187750471727692,0.26373516834043154,0.185059609102737,0.5481339107865275,86917.54900068557,0.06105185465796226,3.7226421129572786,0.12802792279419084,0.04139084891249001,0.17208511855327058,0.09520368635496755,0.5064283283896572,10.608051064725137,0.05647387393238723,0.22192196751551121,0.6507143389645096
FTtransformer (tuned + ensemble),0.009755710868754264,0.1446561191843354,1401.9963498900086,0.13611855781086823,,0.341415582602569,0.2455443064882361,0.1762841799654642,8.068474737289007,0.13527027262231495,0.1963463900536424,0.22626567931086594,0.43118530833936247,0.10128526535079974,0.015117491632904656,,1.0951266948061187,0.09421900713940373,4.551631548837577,0.0300384570528456,0.2457811974310068,0.2304750223015165,0.0814998790802981,0.23228338443299723,9.790699762779143,0.188744635193133,0.2192524944482679,0.005091408165107225,0.17291260176276657,701.3438823013438,0.04046875000000005,6739.746040954224,0.20517521661481897,,0.3160397970790481,0.18166943147549586,0.26675450524134736,0.1701342582625026,0.5770025553652404,111063.33422734535,0.06181533168225417,4.154338298985035,0.054540440664062384,0.061567978468029416,0.22852923544003034,0.12536612324918017,0.5408437717059894,13.591620983390506,0.06509364373164583,0.23447120436686364,0.8050351908450836
GBM (tuned + ensemble),0.009146167518816806,0.1364312953752771,721.3827178309504,0.1314351832840751,0.12952534191472242,0.33169632662602355,0.2510203584714238,0.17152128123873323,7.368974448144428,0.1349193450494358,0.19693526310075504,0.20786232431615537,0.4366862284040619,0.09013806009674796,0.013607186894486478,0.7224243230638095,0.8295868016527952,0.07373625553876817,1.5758801016128712,0.029826802647434206,0.23767592583554453,0.22553523639607498,0.0781927623252785,0.2222365992671722,4.090358421791798,0.17274678111587982,0.21624328904486056,0.005362319682061134,0.14768216376236287,529.050401416089,0.02359687499999996,4655.718783712944,0.19633789430055948,0.17303902991071213,0.2105825782054606,0.16017475301991235,0.25100411284621815,0.16368524148047725,0.4562360816919595,81613.54427425486,0.061700880847119444,3.4188014630161963,0.040830914180813194,0.05546664726849493,0.2255922163494063,0.11527372053197797,0.522172876075015,9.329862376495146,0.05528776639093924,0.25912421605662284,0.6178506220549717
KNN (tuned + ensemble),0.01069648460643835,0.13767251079461795,790.4081404461757,0.16006107711926199,0.1568275934979475,0.3505299990239086,0.25708028407169425,0.18405946981916166,7.878256954852024,0.14326865627956198,0.20401562555521036,0.2414160495692912,0.562587559223175,0.1281593164083189,0.019758146908578467,0.8319180760948576,0.8291193899966736,0.15118800103664398,2.210278369429156,0.02876388281583786,0.24839133152979975,0.24565120428189113,0.0967554202441836,0.25120078325587036,6.200372681355123,0.1891523605150215,0.22962694554426477,0.011440892116232892,0.1777063849828433,667.0220421602287,0.04859765625000001,5203.229006148408,0.21124903092122893,0.17631492018699646,0.2705902049376242,0.19458761593670015,0.23801862124230544,0.2163997914994834,0.4377887547016144,102286.66028983102,0.07272572669208455,3.5586807586803264,0.13950545752844246,0.06959700298246885,0.22533096465127023,0.41979801654815674,0.6471038460731506,9.877741925601628,0.061035052802662304,0.2881764769554138,0.6193985981739645
LR (tuned + ensemble),0.010855039389085164,0.14735291558870922,780.6160670419453,0.22393443136932834,0.1981845127586278,0.3475841325190667,0.27616626890187934,0.17632213134974095,8.267535872534214,0.16034367750881873,0.2064531885882226,0.2567591053347439,0.48244214057922363,0.10437837646975745,0.01908041218953671,0.9216605013530305,0.9419054484265323,0.1362636238336563,4.770771986854563,0.03047705814242363,0.2558943128504093,0.23894959857270293,0.17837362259106437,0.26061638614813487,8.483338525847573,0.20037553648068673,0.2573453278958401,0.03567418492687702,0.17101190876673622,1126.0590791901427,0.04459843750000003,6328.296666649604,0.21352605169832728,0.35815203189849854,0.3247021531166705,0.2718124889550163,0.282368825131983,0.18561374764226501,0.7879407405853271,175897.56883943203,0.07761627933290605,5.155526262650105,0.10352977250010953,0.0774532625300065,0.2497951236683038,0.16530545055866241,0.5522789359092712,17.2655515120362,0.06611119100970686,0.367920458316803,0.7376484267805171
MNCA_GPU (tuned + ensemble),0.005475587544710447,0.12440781080366348,673.2438151437227,0.12229088723720438,0.10118845019287492,0.33079772493117676,0.21401822310256535,0.1433898176435986,7.363880836553266,0.1330783428835809,0.19085833625761206,0.08687471663896029,0.4007921923502969,0.060460435719077665,0.012971199577241466,0.6806195003442556,0.726766094037506,0.0752100119112267,1.4457789836356663,0.0036732172085187716,0.23300452774547376,0.16001338090990191,0.042658690417373246,0.18429421609404717,3.934805525389567,0.08556866952789699,0.2074419956027309,0.004741460163092293,0.06544775617304721,508.78107049864576,0.007501562500000003,4520.0577861954725,0.18568963244222192,0.16476614786224314,0.19557482920057537,0.1483284877920864,0.2079444678128889,0.16418292829910341,0.3563722352757901,77116.3335111118,0.05688246108558459,2.951696666468085,0.01864240744501655,0.028851749472612154,0.12529631442604372,0.11093062189888923,0.5061170059856671,9.12099567999961,0.027306762668695583,0.2171579716629507,0.590440651077863
NN_TORCH (tuned + ensemble),0.00624076715455002,0.14571988093703991,742.6165044388807,0.12840657611874373,0.12562078408317345,0.3307283267744793,0.23463734479926568,0.1526641871762272,7.544686974485448,0.135264418271421,0.19188490955914106,0.1762656793108659,0.41337910322995913,0.07283994209244027,0.012180200810287145,0.690337498653746,0.7852181460821543,0.08306719417815282,1.3240375129487032,0.011949490767611757,0.2411707322188208,0.19775869759143627,0.06651770546334501,0.21156756267272359,4.267632914152131,0.13287553648068673,0.2131224206271809,0.005104274989072732,0.1381786987822109,537.3359276916103,0.006059374999999978,4520.379224763676,0.1945644275886781,0.16926039902419712,0.22510149330404994,0.15201337939447834,0.25153976140818246,0.15970464830474862,0.4903246300488958,81769.78630477606,0.05947743434606767,3.1935775766260193,0.025725646202428343,0.04608278169782498,0.17792615652001742,0.11370107530873656,0.5275121927695704,9.320258283909997,0.043125138211683844,0.2023746198371569,0.6430234417754196
REALMLP_GPU (tuned + ensemble),0.004447247152794542,0.11661947692266916,698.1350773879441,0.12514296091264143,0.11439574437362043,0.3282004801405133,0.22256043287115324,0.1511271561130192,7.397372707697646,0.13359058535979973,0.1927951557896871,0.16689587426326125,0.4021306037902832,0.07768793474806679,0.011893958076448774,0.7118619341662082,0.7788506925037846,0.08614218980073929,1.1988465638676091,0.009152227081358433,0.23463118942384265,0.17523416592328278,0.04350216097602233,0.20420667719814056,3.913746209718354,0.14733905579399142,0.21204782465442729,0.004684268745648201,0.12484020722599742,510.1180035888571,0.011406249999999951,4566.986088524822,0.19198725313586595,0.16919328272342682,0.19526799281012722,0.15031761097714613,0.22410119120645433,0.16027877157758863,0.40322646498680115,77714.9656519759,0.05982197492242458,3.080727573751511,0.01986492567328102,0.04348221430130206,0.16217405413135189,0.09831015020608902,0.5096831321716309,9.107605439913808,0.04096632970078229,0.21675777435302734,0.5994042727727955
