method,APSFailure,Amazon_employee_access,Another-Dataset-on-used-Fiat-500,Bank_Customer_Churn,Bioresponse,Diabetes130US,E-CommereShippingData,Fitness_Club,Food_Delivery_Time,GiveMeSomeCredit,HR_Analytics_Job_Change_of_Data_Scientists,Is-this-a-good-customer,MIC,Marketing_Campaign,NATICUSdroid,QSAR-TID-11,QSAR_fish_toxicity,SDSS17,airfoil_self_noise,anneal,bank-marketing,blood-transfusion-service-center,churn,coil2000_insurance_policies,concrete_compressive_strength,credit-g,credit_card_clients_default,customer_satisfaction_in_airline,diabetes,diamonds,hazelnut-spread-contaminant-detection,healthcare_insurance_expenses,heloc,hiva_agnostic,houses,in_vehicle_coupon_recommendation,jm1,kddcup09_appetency,maternal_health_risk,miami_housing,online_shoppers_intention,physiochemical_protein,polish_companies_bankruptcy,qsar-biodeg,seismic-bumps,splice,students_dropout_and_academic_success,superconductivity,taiwanese_bankruptcy_prediction,website_phishing,wine_quality
CAT (tuned),0.00956623730003725,0.11321288505669203,734.7366372015457,0.1301072629970268,0.1338785661241414,0.33429096192758134,0.24737809556017198,0.17841182944647904,7.377970388397505,0.13561976125779096,0.19804898345630584,0.22455040048360286,0.44612704467482345,0.10539175876558027,0.0137653690329399,0.7484956301780618,0.8279588101932503,0.07496188062034306,1.5062885903557126,0.016917858250157725,0.23867133867039136,0.228735504014273,0.07417459321276976,0.22676619920270402,4.239463393839303,0.17703862660944203,0.21848293463491386,0.005470210692815725,0.15689968377851038,533.7030382312294,0.02838750000000001,4695.454044262771,0.19856837291313634,0.17437667967317433,0.21097247512735054,0.16449452453839097,0.2535614969825496,0.1512265114999779,0.4461857343859468,81739.80806468929,0.06383878623955852,3.4501336105547162,0.03720815861676241,0.058103586236997184,0.22754197902286366,0.12443811979591475,0.5270681486794917,9.493052987144539,0.057209971963325,0.24578186309144304,0.6157428141032305
EBM (tuned),0.010432062057009972,0.1565932007206463,735.3127263212989,0.13271434009631167,0.13906530416486174,0.3428005278294749,0.24939411565776126,0.17488235070874214,7.441435393072757,0.13615223383111497,0.2006080643938457,0.21774217923530303,0.4372924268245697,0.10354154161223117,0.014516822265280949,0.7858319119376549,0.8465981312314834,0.07344839721918106,2.067618281312544,0.012501362711191177,0.24069332876844696,0.2163135593220339,0.07989454021581566,0.22941097546842282,4.331396246033313,0.1804291845493562,0.21937367737122349,0.008942681688215326,0.1408867657942542,603.1813185912324,0.021389062499999945,4631.872677611251,0.19647273878253446,0.1707204282283783,0.22659915342243184,0.19568239472349058,0.26544076050654997,0.17169574582715674,0.48206037282943726,88837.91418303957,0.06696646788542382,4.03583304367728,0.03997276213458856,0.058721902960645944,0.2187529218939923,0.12770716845989227,0.5338024497032166,10.52739824084137,0.05593107895579241,0.2661924660205841,0.6735823344051021
FASTAI (tuned),0.0118415768800334,0.15780695307253145,766.5992181736817,0.13738113642896543,0.14916029766693484,0.3537925895278845,0.24711014058650171,0.16395472399855782,8.080105250297143,0.16402449141042075,0.2002952388921484,0.21591355599214146,0.44345882789173807,0.09669503195508633,0.014459749867888005,0.7454821411062852,0.8355255319525228,0.1308171411272519,1.7808127454082927,0.028206298066809184,0.2459689033032525,0.19949821587867977,0.08332443126938982,0.24288824356034155,4.935569068739806,0.16506437768240345,0.22082435327313032,0.005671657242000805,0.14620197806633928,561.3077371229584,0.013360937500000003,4767.66461076361,0.20379247322918603,0.18464646750153024,0.2381284285182899,0.19131955489428165,0.2725696574380785,0.22972783162553145,0.5720909004259588,90274.63362019991,0.06436097171078592,3.781764473550156,0.15034983135619884,0.052966101694915224,0.1975502840768465,0.10821688608515878,0.5326471353697441,10.775321565059592,0.07425620850749937,0.24017721563244776,0.6689444699560212
FTtransformer (tuned),0.011307059314037415,0.1740276969836526,1461.1468656295,0.13980647767617838,,0.34827815520194116,0.24619635731194744,0.18257699387085147,8.327555846940482,0.13658788555730494,0.20033386720865298,0.23204624452168654,0.4603147492371033,0.10701599519790972,0.016777082966355494,,1.229749257087197,0.10011009421084749,5.056322118758798,0.03182113683437784,0.2473941870418126,0.24378902765388044,0.08710966304204293,0.24381393602275003,9.910251013920615,0.19967811158798288,0.222363023026105,0.005717080899124705,0.1777568458588441,728.6092260953894,0.042806250000000046,8695.00343531345,0.2065113353874547,,0.33189626484691365,0.19692122860123473,0.2723066407276934,0.1808231031758214,0.6066254157321477,114732.17737610711,0.06335705175553885,4.171991882971102,0.0675033151349349,0.06390485196770201,0.23110600218901423,0.152640331819534,0.5612958711038987,13.8742024685049,0.07089350857415033,0.25817474530271506,0.8783204983032149
GBM (tuned),0.009876127361699294,0.14828756251448771,732.9687240838588,0.13307573085558466,0.13347953668750134,0.340405107285499,0.25281859027006137,0.17294445814911097,7.373808892549263,0.13538517758581425,0.19876081539643808,0.22234774066797647,0.4417838157436654,0.09209420571307514,0.013722740884269835,0.7286561525586938,0.8460941989152364,0.07439499976846482,1.6392286481547198,0.030829140856676384,0.23953828415488143,0.228099910793934,0.07962005991089038,0.2273726658821369,4.229987853896841,0.17551502145922748,0.2181558183824328,0.005558654225933823,0.1499781336203997,538.6383840874134,0.023882812500000017,4708.194705935851,0.19828701748987765,0.17309757104357854,0.21219325252856625,0.1611660652494884,0.2548368420078947,0.175858184623911,0.4670246035616979,84393.12218376431,0.0627805544693193,3.4284343381320994,0.0429792809044246,0.05901287553648071,0.23185675706892095,0.11637218124703036,0.5274629774331678,9.41888063967519,0.05838680095816462,0.2626275573081775,0.6198873208694937
KNN (tuned),0.01616955958833466,0.17646309491869872,820.6593374034326,0.17402629814890247,0.16940314479031293,0.3738905292457806,0.26047414850958983,0.2015621738552914,8.021861834686261,0.1446087366789508,0.2132115064896063,0.256218830285628,0.6497746706008911,0.14758130009533565,0.02318284305090712,0.8642578309509144,0.8441475561870119,0.22161169350147247,2.5481738894685564,0.054277725517749786,0.25724042540739456,0.2525312221231044,0.11292713215559025,0.275154763234993,6.659972708280757,0.21656652360515016,0.2430383128144472,0.01531278189835128,0.18040604184888653,701.0633398445202,0.06102968750000004,5262.187856648114,0.21401006547480794,0.17659004032611847,0.2807326740429032,0.22823824671215776,0.2465386708807762,0.24172959110617565,0.7180581092834473,105179.11171937703,0.09730980002389722,3.656058631442151,0.15105815523194,0.08329999272568556,0.2525671416864209,0.47105905413627625,0.7004319429397583,10.311949933131704,0.0668588872239052,0.3640504777431488,0.6320955848148487
LR (tuned),0.012648658137850877,0.14868185918436994,780.6160670419453,0.22394095166325767,0.2047594735647833,0.34811772918420547,0.27772738779651196,0.17738951403252434,8.324345783223812,0.16073789505252822,0.2064531885882226,0.25799455946803684,0.484922856092453,0.10446311924013985,0.01908190945922139,0.9301552920834093,0.9419526813678623,0.14755137264728546,4.806881883354186,0.043680403381586075,0.2565739574030804,0.24659901873327383,0.17837362259106437,0.2607875260604132,8.551275671196919,0.20042381974248924,0.2573628221792511,0.035730906624492076,0.17107918993473725,1126.4625119487469,0.044906250000000036,6330.211327629374,0.21379916227401796,0.35815203189849854,0.32677145693132026,0.2718665309915117,0.28238409981831036,0.18701252445296945,0.7936410307884216,175898.73940295703,0.08355284358559356,5.203740944238039,0.11419246100485425,0.07807157925365538,0.2525286414361694,0.16532006859779358,0.555404782295227,17.438237511991037,0.06648542572291471,0.3687952756881714,0.7391219485254102
MNCA_GPU (tuned),0.008431798731649565,0.1451851001144039,737.2673443405816,0.12881721590663164,0.14597644243661945,0.3475826605698549,0.2377950239141987,0.16302017116074308,7.431635696451813,0.1349668363968286,0.19882143516231343,0.21307238930028716,0.4484785775014039,0.0930157833409837,0.015613352122599955,0.7254119959830608,0.8060542975527282,0.07914822894026888,1.6158137035133702,0.0036732172085187716,0.2392794579561225,0.20457181088314003,0.0636950093545855,0.22496632240682535,4.42269157350115,0.17979613733905575,0.21475515752662555,0.005376456230056781,0.1361350333041782,527.0317607908148,0.01249218750000003,4653.8845260274975,0.19642619661801297,0.17253972206142595,0.20435086070671118,0.17238215358655562,0.23588576384629012,0.1897846078408144,0.4017890383301926,84140.99070535904,0.061604137926664526,3.0690148895087694,0.03376161292763247,0.054484614825052735,0.19582327285127354,0.14143329731939988,0.5360608030815549,9.62590926076745,0.05641356337943226,0.22961885084686243,0.6063606256392794
NN_TORCH (tuned),0.008929790875776278,0.1719235650979366,763.1984012633088,0.13380038522451454,0.14479869319471095,0.3422762617325248,0.24775909947340446,0.16637886866923468,7.602730713223048,0.13749929728550003,0.2003524854349632,0.2197294846607224,0.44475635923902906,0.08970022244977227,0.014499735775937994,0.7306238330399748,0.8239177918399955,0.0858175403016619,1.4514376526877926,0.022845539160517337,0.24711939233701818,0.21033675289919718,0.08013934697426262,0.23818916526507783,4.659483566313086,0.17322961373390555,0.2192159095552949,0.005621371648172557,0.15595774742649537,555.2469413525727,0.009980468750000027,4601.67920900871,0.19969589704230106,0.1721118573233352,0.23253801525706072,0.1816851367297727,0.26407504532504533,0.177696471046345,0.5303490626382552,86105.58757569767,0.0631053504379343,3.4203175569217494,0.040846842757077284,0.060622317596566555,0.21069261950202678,0.1347767123413971,0.5409204541498512,9.766035379637147,0.05318308273525363,0.2210321220153197,0.6653835910135331
REALMLP_GPU (tuned),0.007676098834785261,0.14030149454781293,724.7096009891534,0.12802666495011839,0.1305393537141325,0.3396246946150807,0.2361059374849026,0.16532097383252053,7.423967029140472,0.13505107475845923,0.19741620938479776,0.2238703339882122,0.42069733142852783,0.08814307404399557,0.01297657213316894,0.7217916052821158,0.808821038701396,0.08798805624246597,1.2556237161242494,0.009595219045877457,0.23857914012903791,0.20817350579839433,0.05607892273156867,0.22273714197177275,4.137959803198967,0.1747371244635193,0.21618513923679128,0.0049873890454805725,0.14080266433425281,519.4272870234751,0.012782812500000018,4594.228929599754,0.19651837401382344,0.1722499579191208,0.19868851037819957,0.15989379713714025,0.2529405292563187,0.17068265376655567,0.4145216643810272,80702.53557567006,0.06271566316536503,3.195611439925583,0.027893923646369667,0.056339564995999125,0.21324738610800975,0.10597684979438782,0.5240767598152161,9.371176961365036,0.05560942267336577,0.22087223827838898,0.6138743384246148
