method,elo,elo+,elo-,rank,winrate,improvability,improvability+,improvability-,mrr,rank=1_count,rank=2_count,rank=3_count,rank>3_count,time_train_s,time_infer_s,time_train_s_per_1K,time_infer_s_per_1K,normalized-error,normalized-error-task,imputed,median_rank,median_improvability,median_loss_rescaled,median_metric_error,median_time_train_s,median_time_infer_s,median_time_train_s_per_1K,median_time_infer_s_per_1K,median_normalized-error,median_normalized-error-task,median_imputed,method_type,method_subtype,config_type,ta_name,ta_suite
"AutoGluon 1.5 (extreme, 4h)",1838.0,622.7,29.5,5.0,0.9322034,0.11343213956115887,0.1846606438462628,0.10480649478690736,0.36523809523809525,1.0,0.0,1.0,3.0,2641.744552326202,16.389544582366945,248.63287031968812,3.214011841232059,0.23680921645956127,0.23680921645956127,0.0,4.0,0.037649247317849355,0.033028935849135785,0.1860632296861865,1092.75852227211,8.966864585876465,293.64903006487026,3.2441777859381333,0.28874750765775986,0.28874750765775986,0.0,baseline,,,AutoGluon_v150_eq_4h8c,tabarena-2025-12-18
REALTABPFN-V2.5 (tuned + ensemble),1710.2,902.5,140.7,8.4,0.8745763,0.048218259725886045,0.10525772251196543,0.045766726244486695,0.42466666666666664,1.0,2.0,0.0,2.0,7270.410148668289,30.289350748062134,1490.8877090741091,6.210715938433635,0.32560797405954023,0.32560797405954023,0.0,2.0,0.01032505003473283,0.0019697344611977943,0.18666876833059753,7564.499755144119,29.750767707824707,720.0532959001488,5.948582620525041,0.01789674372422021,0.01789674372422021,0.0,hpo,tuned_ensemble,REALTABPFN-V2.5,RealTabPFN-v2.5,tabarena-2025-11-12
"AutoGluon 1.4 (extreme, 4h)",1653.9,630.3,158.0,10.4,0.8406779,0.1548494997100621,0.26860446904160273,0.14569662958968266,0.30869565217391304,1.0,0.0,1.0,3.0,3366.5261512756347,9.565076160430909,864.0568786757312,3.5104567036712817,0.3530936891296208,0.3530936891296208,0.0,10.0,0.02015639746528286,0.033698713675147436,0.18610568224937785,1490.3230481147766,3.932518720626831,384.23934586807934,1.929098022674134,0.4130263625826216,0.4130263625826216,0.0,baseline,,,AutoGluon_v140_eq_4h8c,tabarena-2025-11-01
REALTABPFN-V2.5 (tuned),1638.5,546.4,133.9,11.0,0.8305085,0.1638954423223207,0.17788222374954663,0.14699948414345998,0.1761236802413273,0.0,0.0,1.0,4.0,7270.410148668289,3.747172975540161,1490.8877090741091,0.9806917459524633,0.4442570040876775,0.4442570040876775,0.0,5.0,0.04787289807858286,0.04883279844132013,0.18706492674050268,7564.499755144119,3.7531871795654297,720.0532959001488,1.1335001342671371,0.39031491117629047,0.39031491117629047,0.0,hpo,tuned,REALTABPFN-V2.5,RealTabPFN-v2.5,tabarena-2025-11-12
REALMLP_GPU (tuned + ensemble),1623.8,312.2,62.0,11.6,0.820339,0.18043610937149154,0.23273287258793743,0.15646154123445136,0.11438375350140055,0.0,0.0,0.0,5.0,18326.147972536088,15.498459815979004,3399.496923015083,13.817043381372295,0.41506149608959697,0.41506149608959697,0.0,14.0,0.07082380350319062,0.04741882303084857,0.1869753046626541,20144.628666639328,17.178825616836548,2068.171039743479,2.69007604397691,0.29961065439759343,0.29961065439759343,0.0,hpo,tuned_ensemble,REALMLP_GPU,RealMLP_GPU,tabarena-2025-09-03
TABICLV2 (default),1595.7,662.9,111.3,12.8,0.8,0.20632142900778105,0.23713765135912512,0.18651746709541395,0.27194805194805194,1.0,0.0,0.0,4.0,16.638356256484986,0.8070404529571533,8.80540833772649,0.6351745397989277,0.4404560422182948,0.4404560422182948,0.0,15.0,0.15161315260048147,0.03374046374571612,0.1853899503776706,11.03299331665039,0.7665884494781494,1.2819731419944047,0.13150669416752225,0.3471507154238607,0.3471507154238607,0.0,config,default,TABICLV2,TabICLv2,tabarena-2026-02-16
REALMLP_GPU (tuned),1564.9,328.8,93.0,14.2,0.7762711,0.19584988130419473,0.22452477615997735,0.16318403541797408,0.09522222222222224,0.0,0.0,0.0,5.0,18326.147972536088,0.7367074012756347,3399.496923015083,0.7919610351662375,0.5068361884446165,0.5068361884446165,0.0,16.0,0.09960663929546276,0.05968361266582949,0.18775268446948967,20144.628666639328,0.8578579425811768,2068.171039743479,0.13902894286222237,0.3903397802199911,0.3903397802199911,0.0,hpo,tuned,REALMLP_GPU,RealMLP_GPU,tabarena-2025-09-03
CAT (tuned + ensemble),1552.3,314.6,44.2,14.8,0.7661017,0.20795879997869432,0.2141044490000676,0.16931645867448614,0.08962887989203779,0.0,0.0,0.0,5.0,16676.334562015534,2.9887680053710937,9328.124416804263,1.6842957218053152,0.5330638545890896,0.5330638545890896,0.0,13.0,0.07667868553737933,0.0729590976399838,0.18668501560786832,17140.53049969673,1.2826120853424072,2007.6902996142244,1.4772610955460126,0.6106706639750547,0.6106706639750547,0.0,hpo,tuned_ensemble,CAT,CatBoost,tabarena-2025-06-12
"AutoGluon 1.4 (best, 4h)",1540.0,693.1,254.8,15.4,0.7559323,0.21592656491033554,0.295773056625512,0.20134350514918756,0.19873769790329482,0.0,1.0,1.0,3.0,11777.150121212006,19.307350444793702,7034.5176656982385,8.00480582260937,0.4044657384237671,0.4044657384237671,0.0,12.0,0.04494316398857823,0.04151988166140484,0.18458970645886918,12184.700336694717,7.836872577667236,1045.7974439270274,9.936857500741649,0.34603472671869684,0.34603472671869684,0.0,baseline,,,AutoGluon_v140_bq_4h8c,tabarena-2025-11-01
TABDPT_GPU (tuned),1525.9,421.8,159.0,16.1,0.74406785,0.21579686953905153,0.2286762958416308,0.18465742539830926,0.0878998778998779,0.0,0.0,0.0,5.0,52127.55644016266,206.7122155189514,7445.778660064061,42.55083963599586,0.5227234388192077,0.5227234388192077,0.0,12.0,0.12701329926704352,0.03377489926606646,0.18545225344494687,64368.138095617294,270.8187720775604,5108.552903855263,42.4082010769747,0.36237999535595533,0.36237999535595533,0.0,hpo,tuned,TABDPT_GPU,TabDPT_GPU,tabarena-2025-10-20
MNCA_GPU (tuned + ensemble),1517.9,482.9,142.1,16.5,0.7372881,0.23902579032147023,0.24998268124106307,0.21020459997909158,0.08924719348448162,0.0,0.0,0.0,5.0,26084.36896300316,146.0154854297638,8112.802630943515,15.394005495996797,0.6000462782510725,0.6000462782510725,0.0,11.0,0.07010550746478361,0.07216531306271179,0.18665166938153432,13265.27712059021,13.568246603012085,3015.596343234903,2.884683585114663,0.6555636515041292,0.6555636515041292,0.0,hpo,tuned_ensemble,MNCA_GPU,ModernNCA_GPU,tabarena-2025-06-12
MNCA_GPU (tuned),1498.6,434.2,159.9,17.5,0.720339,0.2592982898478594,0.24032741897378096,0.2212674886865228,0.09939329738058553,0.0,0.0,0.0,5.0,26084.36896300316,5.479782438278198,8112.802630943515,0.8033156548587327,0.6097110916578361,0.6097110916578361,0.0,11.0,0.12495596295090716,0.11849352229473538,0.18510195428540277,13265.27712059021,0.6251811981201172,3015.596343234903,0.5505594188819627,0.490994972078666,0.490994972078666,0.0,hpo,tuned,MNCA_GPU,ModernNCA_GPU,tabarena-2025-06-12
TABDPT_GPU (tuned + ensemble),1496.7,344.8,153.1,17.6,0.7186441,0.20328307819964175,0.23285403832780327,0.16892528002615753,0.08499999999999999,0.0,0.0,0.0,5.0,52127.55644016266,1504.2361488342285,7445.778660064061,254.3946195814643,0.588946471476433,0.588946471476433,0.0,18.0,0.09225914239955613,0.07433706982537347,0.18868146531573182,64368.138095617294,1018.5481631755829,5108.552903855263,288.44910720519,0.7140690908541931,0.7140690908541931,0.0,hpo,tuned_ensemble,TABDPT_GPU,TabDPT_GPU,tabarena-2025-10-20
XRFM_GPU (tuned),1492.9,201.5,42.5,17.8,0.71525425,0.21734680019902813,0.17196352531265907,0.15001908226053715,0.06455488955488956,0.0,0.0,0.0,5.0,14174.493799734115,2.703156614303589,1499.7867248503908,0.7349076515847555,0.6376062311424564,0.6376062311424564,0.0,21.0,0.14786782391939235,0.07581781186253848,0.18753701496636288,4021.5141081809998,0.3230624198913574,1636.6060410668988,0.11463317566527102,0.6300590909844372,0.6300590909844372,0.0,hpo,tuned,XRFM_GPU,xRFM_GPU,tabarena-2025-09-03
CAT (tuned),1487.2,261.9,61.3,18.1,0.7101695,0.21525304656861852,0.22933087823922263,0.175393849260365,0.08756286084599976,0.0,0.0,0.0,5.0,16676.334562015534,0.2690695285797119,9328.124416804263,0.19698507425430398,0.5869011074903867,0.5869011074903867,0.0,20.5,0.08089121736758398,0.07228873168873125,0.18734014775588415,17140.53049969673,0.2140333652496338,2007.6902996142244,0.06528969211261772,0.656805742432623,0.656805742432623,0.0,hpo,tuned,CAT,CatBoost,tabarena-2025-06-12
REALTABPFN-V2.5 (default),1481.6,651.5,234.7,18.4,0.7050848,0.1602946396906867,0.12115528995890545,0.12681579793587675,0.16712962962962963,0.0,1.0,0.0,4.0,16.201765298843384,1.824691152572632,5.26658348292399,0.50546279554791,0.5226741904295997,0.5226741904295997,0.0,9.0,0.1183167868177244,0.03902305632956203,0.18784473053628603,18.669576406478882,2.0338704586029053,1.4630370553742746,0.39081527938149846,0.23020154113735586,0.23020154113735586,0.0,config,default,REALTABPFN-V2.5,RealTabPFN-v2.5,tabarena-2025-11-12
TABM_GPU (tuned + ensemble),1474.1,211.3,57.6,18.8,0.6983051,0.22053975942603737,0.2462911525527518,0.17958447527005317,0.06015984015984016,0.0,0.0,0.0,5.0,26655.558120536803,4.330550765991211,7984.904356848009,1.0066732668915968,0.6378713686090052,0.6378713686090052,0.0,22.0,0.1185539171322989,0.05519775500395443,0.18746835711725085,15748.824867010117,3.617600917816162,3456.1674419184064,1.1710660051406767,0.8435824733517993,0.8435824733517993,0.0,hpo,tuned_ensemble,TABM_GPU,TabM_GPU,tabarena-2025-06-12
XRFM_GPU (tuned + ensemble),1455.8,254.6,160.0,19.8,0.68135595,0.21357156685435838,0.19286526739163554,0.1566849285390638,0.06256474519632414,0.0,0.0,0.0,5.0,14174.493799734115,49.26428575515747,1499.7867248503908,5.798464191727111,0.6116066925785867,0.6116066925785867,0.0,18.0,0.10392092392421337,0.07974387199801608,0.18902416494235885,4021.5141081809998,1.5566744804382324,1636.6060410668988,1.1563299219697163,0.5246998844042503,0.5246998844042503,0.0,hpo,tuned_ensemble,XRFM_GPU,xRFM_GPU,tabarena-2025-09-03
XGB (tuned + ensemble),1413.1,274.4,94.2,22.2,0.640678,0.2694189003780319,0.22224950732393328,0.19332894068178025,0.05030314513073133,0.0,0.0,0.0,5.0,4854.119758367538,10.987856531143189,1367.1783427517216,8.849001227667413,0.7962841347026609,0.7962841347026609,0.0,26.0,0.16771291508845898,0.09895274458172587,0.18695401286784363,2462.4207258224487,11.448588609695435,664.2841212884591,2.0779166803803553,0.7476534177626786,0.7476534177626786,0.0,hpo,tuned_ensemble,XGB,XGBoost,tabarena-2025-06-12
GBM (tuned + ensemble),1388.9,254.0,129.5,23.6,0.6169492,0.2824507256803498,0.23313007650422324,0.21155182519175791,0.052340799297321036,0.0,0.0,0.0,5.0,1882.413421869278,17.587220907211304,954.0275543654736,7.5060057640345885,0.7976750520989809,0.7976750520989809,0.0,23.0,0.2026894969840185,0.10479541831310117,0.1860990654146829,1757.0403192043304,9.91017484664917,223.04987467305605,5.476648655048637,0.874085123113436,0.874085123113436,0.0,hpo,tuned_ensemble,GBM,LightGBM,tabarena-2025-06-12
CAT (default),1383.7,342.4,166.3,23.9,0.61186445,0.26885554477794094,0.256863938461774,0.2219812479950295,0.0634501812550593,0.0,0.0,0.0,5.0,155.97321701049805,0.4247401237487793,199.9941373724144,0.3261502851759449,0.7324396264444506,0.7324396264444506,0.0,22.0,0.07941192031540811,0.07611005436436774,0.18734014775588415,49.75146269798279,0.4686851501464844,6.700347814449044,0.08827101352602937,0.8238544010377159,0.8238544010377159,0.0,config,default,CAT,CatBoost,tabarena-2025-06-12
GBM (tuned),1368.3,269.3,104.6,24.8,0.5966102,0.29032669668931443,0.22655481659451482,0.2170801097559227,0.05293149796069707,0.0,0.0,0.0,5.0,1882.413421869278,2.3969571590423584,954.0275543654736,1.8698423262023411,0.8316048138217582,0.8316048138217582,0.0,29.0,0.22455645328607,0.11532668787005795,0.1860822285184789,1757.0403192043304,1.4323420524597168,223.04987467305605,1.074572739213012,0.9956926999313311,0.9956926999313311,0.0,hpo,tuned,GBM,LightGBM,tabarena-2025-06-12
TABDPT_GPU (default),1359.8,297.6,184.8,25.3,0.5881356,0.2548159204499347,0.29092906354882203,0.21211531969047365,0.04940489179850882,0.0,0.0,0.0,5.0,447.46128153800964,199.64003772735595,47.04283213453322,41.614743094488034,0.6890445805667375,0.6890445805667375,0.0,18.0,0.1317751795676967,0.04977648232272426,0.18712474030561654,587.1051151752472,266.84307742118835,45.41610881339672,39.131396748606434,0.7712004868245237,0.7712004868245237,0.0,config,default,TABDPT_GPU,TabDPT_GPU,tabarena-2025-10-20
TABM_GPU (tuned),1351.3,305.7,200.5,25.8,0.579661,0.23394867875638425,0.23522968846840125,0.18517174541055792,0.048961016817794314,0.0,0.0,0.0,5.0,26655.558120536803,0.27107973098754884,7984.904356848009,0.17528563769051758,0.7197058165481678,0.7197058165481678,0.0,25.0,0.125544520143537,0.06416636950443705,0.18803681528208416,15748.824867010117,0.16915225982666016,3456.1674419184064,0.05993975788030194,0.8572744838784961,0.8572744838784961,0.0,hpo,tuned,TABM_GPU,TabM_GPU,tabarena-2025-06-12
XGB (tuned),1337.8,160.2,86.8,26.6,0.56610173,0.27415752727510834,0.21931310926798464,0.19253685174765225,0.039701213818860874,0.0,0.0,0.0,5.0,4854.119758367538,2.15857310295105,1367.1783427517216,3.0371806960744867,0.8681504999092089,0.8681504999092089,0.0,27.0,0.18857728876533908,0.09676135661290884,0.18861018693802767,2462.4207258224487,1.905684232711792,664.2841212884591,0.4748247737108275,0.8791607375625934,0.8791607375625934,0.0,hpo,tuned,XGB,XGBoost,tabarena-2025-06-12
REALMLP_GPU (default),1334.4,197.8,93.1,26.8,0.5627119,0.25627231642328707,0.19500205633832302,0.16778714835564,0.039503588516746416,0.0,0.0,0.0,5.0,84.34206519126892,3.8270761966705322,18.428106236619954,4.465814969030945,0.8404692302656471,0.8404692302656471,0.0,30.0,0.22504071574804807,0.12354188332231962,0.18812231002740032,90.03270626068115,3.7532503604888916,8.125416287177105,0.5883202073419501,0.9984634777532837,0.9984634777532837,0.0,config,default,REALMLP_GPU,RealMLP_GPU,tabarena-2025-09-03
TABICL_GPU (default),1317.5,297.2,323.1,27.8,0.54576266,0.3232372413737087,0.22533289576547477,0.22020086568810632,0.12784489353563688,0.0,1.0,0.0,4.0,64.2886909008026,13.008716058731078,7.494488767449127,1.816465336294637,0.7711476469055858,0.7711476469055858,0.4,31.0,0.18683124331761403,0.187957186347476,0.18423875216717722,12.313645839691162,0.8204135894775391,2.5443940412053636,0.711816961848172,1.0,1.0,0.0,config,default,TABICL_GPU,TabICL_GPU,tabarena-2025-06-12
