method,elo,elo+,elo-,rank,winrate,improvability,improvability+,improvability-,mrr,rank=1_count,rank=2_count,rank=3_count,rank>3_count,time_train_s,time_infer_s,time_train_s_per_1K,time_infer_s_per_1K,normalized-error,normalized-error-task,imputed,median_rank,median_improvability,median_loss_rescaled,median_metric_error,median_time_train_s,median_time_infer_s,median_time_train_s_per_1K,median_time_infer_s_per_1K,median_normalized-error,median_normalized-error-task,median_imputed,method_type,method_subtype,config_type,ta_name,ta_suite
"AutoGluon 1.5 (extreme, 4h)",1682.1,72.2,60.1,7.870152505446623,0.88549745,0.04662289388414499,0.021952032245163844,0.01672288578345686,0.31853763536372764,7.766666666666667,4.4944444444444445,5.783333333333333,32.955555555555556,3781.2631893646744,28.548287265181283,414.16720069135147,6.484215904937491,0.220642883808314,0.28425294478733887,0.0,5.777777777777778,0.021692774275776476,0.019647610607460425,0.20992072650783225,2459.9611043665145,12.99945871035258,289.07302181798457,4.030576938465613,0.1808274032835997,0.26459795690151,0.0,baseline,,,AutoGluon_v150_eq_4h8c,tabarena-2025-12-18
"AutoGluon 1.4 (extreme, 4h)",1626.4,55.7,45.5,9.894771241830066,0.8517539,0.0744882006230862,0.05918877555641805,0.031092046379486746,0.20898515294506317,2.888888888888889,3.388888888888889,3.7666666666666666,40.955555555555556,4904.547390341188,42.352759216190165,769.6653778271032,8.545926453338874,0.31303953847284355,0.369466448770087,0.0,8.533333333333333,0.027743401111271368,0.03638451453995407,0.20504584119581828,2763.144729508294,13.741016403834026,582.2056331934881,6.11556665349833,0.29538982754195786,0.3489147702656129,0.0,baseline,,,AutoGluon_v140_eq_4h8c,tabarena-2025-11-01
REALTABPFN-V2.5 (tuned + ensemble),1595.0,75.6,55.8,11.212527233115468,0.82979125,0.07326378347174435,0.03869063406228247,0.02504000279402592,0.23270961942764962,3.5166666666666666,5.538888888888889,4.5,37.44444444444444,18812.68367108447,176.09942544389654,2790.8769341088378,21.56171377578179,0.34203270186861373,0.40171572107372,0.0,9.444444444444445,0.028176610615690816,0.03739840555611199,0.2108397717843116,7147.794862349828,22.48903277185228,2040.2228420972824,8.919584799004367,0.27185503279629447,0.3544685406573369,0.0,hpo,tuned_ensemble,REALTABPFN-V2.5,RealTabPFN-v2.5,tabarena-2025-11-12
TABICLV2 (default),1589.4,67.9,59.2,11.458932461873639,0.82568455,0.06703843845692933,0.04555559481925063,0.03042710303582217,0.3143871741364653,9.655555555555555,3.022222222222222,2.922222222222222,35.4,32.34858360654129,1.921872303272904,9.715168563577237,0.6984572740530532,0.28662831130085614,0.36751110153884453,0.0,6.777777777777778,0.02680363319249985,0.0338799041527713,0.20413691109399265,11.114966101116604,0.6410409874386258,4.0178695506295234,0.3814798791867088,0.16007041324392252,0.26487832519900856,0.0,config,default,TABICLV2,TabICLv2,tabarena-2026-02-16
REALTABPFN-V2.5 (tuned),1550.7,65.3,48.0,13.282135076252723,0.7952978,0.08046664486357288,0.042386544337818896,0.02701662608869943,0.18088841685622137,2.227777777777778,3.1055555555555556,3.355555555555555,42.31111111111111,18812.68367108447,16.889688710034022,2790.8769341088378,1.8792879328136953,0.3955553447145296,0.4459590408833535,0.0,11.444444444444445,0.03282575022920046,0.04266153747081447,0.21104590425149317,7147.794862349828,2.531904829872979,2040.2228420972824,1.2182605993016282,0.37263102284489247,0.4236607289776615,0.0,hpo,tuned,REALTABPFN-V2.5,RealTabPFN-v2.5,tabarena-2025-11-12
REALTABPFN-V2.5 (default),1521.1,63.6,45.7,14.806427015250543,0.7698929,0.08646282680415207,0.04532095504890235,0.026612187465163292,0.1318030699955748,0.6666666666666666,1.5444444444444443,2.3555555555555556,46.43333333333333,69.93971782442271,11.313600946563522,8.23424538328186,1.3503570899733888,0.42874057443213526,0.5020819483357624,0.0,12.38888888888889,0.043201004695390614,0.0496363691425651,0.2107459099079271,16.303798119227093,1.6366738743252225,5.809757912417686,0.6449838641962012,0.36080116548116486,0.48880095009167285,0.0,config,default,REALTABPFN-V2.5,RealTabPFN-v2.5,tabarena-2025-11-12
REALMLP_GPU (tuned + ensemble),1493.7,52.5,44.8,16.312745098039215,0.7447876,0.10286841571237164,0.05771663361724018,0.03854854061936398,0.10214095346889318,0.4666666666666667,0.7777777777777778,0.8888888888888888,48.86666666666667,31719.44919024875,32.553275945295695,3920.934059553329,25.038123040279135,0.5331858573303517,0.5628783528354324,0.0,15.444444444444445,0.059503456409341106,0.06498909656409618,0.20480583678759645,12996.487454917697,22.297109524408977,2950.724447694827,11.988335415936898,0.5182358471932433,0.5519895310012678,0.0,hpo,tuned_ensemble,REALMLP_GPU,RealMLP_GPU,tabarena-2025-09-03
"AutoGluon 1.4 (best, 4h)",1492.5,51.5,44.0,16.377450980392158,0.74370915,0.10209044772148566,0.05936016493755826,0.03803868113862681,0.1338639418389925,0.9444444444444444,3.2444444444444445,1.3777777777777778,45.43333333333333,9137.802845361031,33.47803166302201,3374.761692642337,3.8804932533372267,0.5369593122412956,0.5372399300360389,0.0,15.0,0.04492256471471285,0.06181467200757987,0.20456891407749778,8083.799419138167,3.942126883400811,1735.7213389822807,2.5594394104544436,0.5078700922451135,0.5633983745654221,0.0,baseline,,,AutoGluon_v140_bq_4h8c,tabarena-2025-11-01
TABDPT_GPU (tuned + ensemble),1448.2,62.3,48.6,19.004901960784313,0.6999182,0.10739961023797034,0.04322850435014697,0.037579442580918485,0.15807205075701689,2.9333333333333336,2.5444444444444443,1.8444444444444443,43.67777777777778,65531.246287913156,3150.928909202443,5054.894167814876,299.49523552266703,0.5636080241472449,0.5845705827351747,0.0,17.444444444444443,0.05593942488761261,0.06316826422164008,0.21281804879745236,27628.197782039642,654.6756100389692,4907.644764608851,286.6520396515387,0.5456957528104057,0.5459307806517282,0.0,hpo,tuned_ensemble,TABDPT_GPU,TabDPT_GPU,tabarena-2025-10-20
TABM_GPU (tuned + ensemble),1430.7,47.7,37.7,20.102396514161217,0.68162674,0.11718506834445953,0.05335755932074092,0.03689926243072551,0.08865337368449873,0.3555555555555555,1.1666666666666667,1.922222222222222,47.55555555555556,36462.58337058756,8.791583087761158,5017.258422060137,3.1802055454964386,0.6463909283539513,0.6563213883801852,0.0,19.11111111111111,0.05761306633759541,0.08251948615075727,0.20535002384358605,8420.993191123009,2.7141049438052707,3285.8688373170553,1.4723486146222118,0.6097170955342472,0.6550912937327513,0.0,hpo,tuned_ensemble,TABM_GPU,TabM_GPU,tabarena-2025-06-12
