method,elo,elo+,elo-,rank,winrate,improvability,improvability+,improvability-,mrr,rank=1_count,rank=2_count,rank=3_count,rank>3_count,time_train_s,time_infer_s,time_train_s_per_1K,time_infer_s_per_1K,normalized-error,normalized-error-task,imputed,median_rank,median_improvability,median_loss_rescaled,median_metric_error,median_time_train_s,median_time_infer_s,median_time_train_s_per_1K,median_time_infer_s_per_1K,median_normalized-error,median_normalized-error-task,median_imputed,method_type,method_subtype,config_type,ta_name,ta_suite
REALTABPFN-V2.5 (tuned + ensemble),1657.4,86.5,57.4,3.21557734204793,0.84174454,0.02844229456362028,0.014691032961266125,0.01168771738562252,0.5490763732757197,17.994444444444444,9.483333333333333,7.555555555555555,15.966666666666667,18812.68367108447,176.09942544389654,2790.8769341088378,21.56171377578179,0.2129319160114448,0.2814701433489932,0.0,2.8333333333333335,0.010204994102446933,0.02425585621160136,0.2108397717843116,7147.794862349828,22.48903277185228,2040.2228420972824,8.919584799004367,0.02556558263424991,0.22563588213587502,0.0,hpo,tuned_ensemble,REALTABPFN-V2.5,RealTabPFN-v2.5,tabarena-2025-11-12
REALTABPFN-V2.5 (tuned),1585.9,70.5,48.8,4.049891067538127,0.7821507,0.03823959941203469,0.016753744480347783,0.01319937318153605,0.39778025523007204,7.011111111111111,13.06111111111111,9.25,21.677777777777777,18812.68367108447,16.889688710034022,2790.8769341088378,1.8792879328136953,0.3106119286245626,0.3644489511980881,0.0,3.3333333333333335,0.018566211537419466,0.03470161680162261,0.21104590425149317,7147.794862349828,2.531904829872979,2040.2228420972824,1.2182605993016282,0.1621943739243219,0.27190555375716075,0.0,hpo,tuned,REALTABPFN-V2.5,RealTabPFN-v2.5,tabarena-2025-11-12
REALMLP_GPU (tuned + ensemble),1548.9,64.9,50.5,4.528867102396514,0.74793804,0.07001398603519376,0.04360509429820074,0.02941256635693535,0.3355046695249042,6.311111111111111,4.988888888888889,4.527777777777778,35.172222222222224,31719.44919024875,32.553275945295695,3920.934059553329,25.038123040279135,0.43490863331045493,0.47510455671207275,0.0,4.444444444444445,0.03364712414830901,0.05562986994267208,0.20480583678759645,12996.487454917697,22.297109524408977,2950.724447694827,11.988335415936898,0.36224066407371613,0.4616143611692875,0.0,hpo,tuned_ensemble,REALMLP_GPU,RealMLP_GPU,tabarena-2025-09-03
REALTABPFN-V2.5 (default),1547.4,69.0,47.6,4.54880174291939,0.74651414,0.04484826362795657,0.01959099244167132,0.015579886151529092,0.34610509487844116,5.594444444444444,7.4111111111111105,12.627777777777778,25.366666666666667,69.93971782442271,11.313600946563522,8.23424538328186,1.3503570899733888,0.35343329422952013,0.4462381623708147,0.0,3.611111111111111,0.0224568577376716,0.043704721630292535,0.2107459099079271,16.303798119227093,1.6366738743252225,5.809757912417686,0.6449838641962012,0.1805974023803133,0.3436610902317256,0.0,config,default,REALTABPFN-V2.5,RealTabPFN-v2.5,tabarena-2025-11-12
CAT (tuned + ensemble),1445.0,50.1,39.3,5.989760348583878,0.64358854,0.09352893644506349,0.049584343497314665,0.03178363529708331,0.22871412699611368,1.8555555555555554,4.2555555555555555,3.4944444444444445,41.394444444444446,20021.3498029566,3.148214934334516,4130.291158755297,0.9792413821552454,0.7110584091336639,0.6985206819790872,0.0,6.222222222222222,0.0560051377040792,0.10759842926281422,0.21078526005985665,7127.110804247856,1.3727677133348253,1658.412974283854,0.65278892715772,0.8337666100235094,0.7810948758224353,0.0,hpo,tuned_ensemble,CAT,CatBoost,tabarena-2025-06-12
REALMLP_GPU (tuned),1443.3,60.1,46.7,6.015686274509804,0.6417367,0.08540708167045714,0.04845947532055665,0.032741103922073356,0.24908962128088377,3.111111111111111,4.011111111111111,2.8722222222222222,41.00555555555555,31719.44919024875,2.0203499359243056,3920.934059553329,1.8761939531149519,0.6658731695274982,0.6238683168005418,0.0,5.766666666666667,0.04535602601335342,0.09744240010142245,0.21245774182898647,12996.487454917697,1.379628578821818,2950.724447694827,0.663132054971364,0.8037049089192055,0.6645954935101785,0.0,hpo,tuned,REALMLP_GPU,RealMLP_GPU,tabarena-2025-09-03
CAT (tuned),1432.5,47.3,38.3,6.174400871459695,0.6304,0.09550141500584805,0.04890185993399973,0.03100898565550532,0.237688883788815,3.4,2.533333333333333,2.922222222222222,42.144444444444446,20021.3498029566,0.45918073721700764,4130.291158755297,0.13269281663977184,0.7351950492882016,0.7136134076719707,0.0,6.611111111111111,0.05125616191871306,0.11459222159305812,0.2112319594863192,7127.110804247856,0.16668947537740073,1658.412974283854,0.08101450844552308,0.9173004380566965,0.786671876114958,0.0,hpo,tuned,CAT,CatBoost,tabarena-2025-06-12
CAT (default),1381.3,43.4,40.4,6.93474945533769,0.5760893,0.10479285818036388,0.05002050904233715,0.033609373936711026,0.2029721052940867,2.1888888888888887,1.6777777777777776,3.988888888888889,43.144444444444446,190.03885268302784,0.2709793741147243,87.82759080296049,0.13562630112555335,0.7708123576106007,0.76571085648876,0.0,7.1,0.06005757121940696,0.13373104114869155,0.2114247398603622,28.268621895048355,0.1854714552561442,6.827020885706225,0.08026752106160412,0.9954030344974583,0.8792428492249846,0.0,config,default,CAT,CatBoost,tabarena-2025-06-12
REALMLP_GPU (default),1248.0,35.4,34.6,8.900326797385622,0.43569097,0.1339538684529355,0.04927026052375502,0.03828382007035355,0.13779416598683436,0.6777777777777778,0.5777777777777777,0.8722222222222222,48.87222222222222,103.49571983814239,4.135357675884803,14.293121399129992,4.23762841234368,0.9445015692792744,0.9068749769578343,0.0,9.0,0.08699869598319017,0.22036189442624257,0.2152840502108363,45.712981435987686,3.7755640347798667,10.05564923800873,1.688795494836301,1.0,0.9673275503298971,0.0,config,default,REALMLP_GPU,RealMLP_GPU,tabarena-2025-09-03
RF (tuned + ensemble),1209.0,64.6,49.5,9.455010893246188,0.39607066,0.16390230834395939,0.05421091932379943,0.040784321569961604,0.13746916580656596,0.8,1.1666666666666667,1.55,47.483333333333334,2245.014868743487,2.632504310950734,530.9489806737863,1.2198476221584795,0.9341670948446776,0.9094378808311997,0.0,10.0,0.10108228414454112,0.25564942246942723,0.21965696802105297,886.9249708387587,1.8479143513573542,373.17861356387994,0.7709478321252661,1.0,1.0,0.0,hpo,tuned_ensemble,RF,RandomForest,tabarena-2025-06-12
RF (tuned),1148.1,58.3,51.5,10.29041394335512,0.33639902,0.17189997378334612,0.05644522544107969,0.041835659100260214,0.1272630475444069,1.1555555555555554,0.6888888888888889,0.3833333333333333,48.772222222222226,2245.014868743487,0.2778017885544721,530.9489806737863,0.15585979099514927,0.9671014196341611,0.9371326903836407,0.0,10.777777777777779,0.10738392252594658,0.2878887581612834,0.22016403215448485,886.9249708387587,0.17402595943874782,373.17861356387994,0.08526202343425164,1.0,1.0,0.0,hpo,tuned,RF,RandomForest,tabarena-2025-06-12
LR (tuned + ensemble),1025.2,59.3,100.1,11.828213507625273,0.22655618,0.3012841079722054,0.08226289313068408,0.05996117394308739,0.09832500525221649,0.26666666666666666,0.36666666666666664,0.4666666666666667,49.9,1272.3476942870093,1.926500420165218,517.8443597044652,0.7281369195732498,0.9690709885304482,0.9660084855483434,0.0,13.0,0.21344749704872362,0.6975059091406257,0.2516865347882153,840.2010504404703,0.7469922224680583,237.57907233142552,0.42380755904917644,1.0,1.0,0.0,hpo,tuned_ensemble,LR,LinearModel,tabarena-2025-10-20
RF (default),1000.0,49.7,59.1,12.113507625272332,0.20617802,0.2221374459190721,0.058788435228523755,0.0477665455844537,0.08984181912877348,0.09999999999999999,0.2111111111111111,0.03333333333333333,50.65555555555556,5.289521401640116,0.18747803105248345,0.8914167974682212,0.07557012377860906,0.9989203444246645,0.9848226541004882,0.0,12.0,0.1540680325817048,0.5183993826830815,0.24839971454272267,1.2628253036075168,0.08775801128811306,0.43425701731008426,0.05354175385774865,1.0,1.0,0.0,config,default,RF,RandomForest,tabarena-2025-06-12
LR (tuned),970.8,66.6,108.2,12.429411764705883,0.18361345,0.3075826731737236,0.085171457076813,0.06153430738009552,0.09417930581411939,0.3333333333333333,0.3333333333333333,0.24444444444444444,50.08888888888889,1272.3476942870093,0.3831362790791298,517.8443597044652,0.12163640964822225,0.9877593687580479,0.971471844634796,0.0,13.633333333333333,0.21527747523843913,0.7355344656892302,0.25220697115605994,840.2010504404703,0.12291624810960558,237.57907233142552,0.08479119287675184,1.0,1.0,0.0,hpo,tuned,LR,LinearModel,tabarena-2025-10-20
LR (default),853.0,74.6,149.7,13.52538126361656,0.10532991,0.3357910624221532,0.08317807049701098,0.06296583156338342,0.0838909407927595,0.2,0.23333333333333334,0.2111111111111111,50.355555555555554,6.2583739210058145,0.44883886702959314,2.592227263028345,0.17786844272016777,0.9869680066814889,0.9783508005771668,0.0,14.466666666666667,0.2732316314537539,0.9959778112108582,0.2546211062154529,4.11922812461853,0.15203822983635795,1.1900446696701918,0.12001296174074401,1.0,1.0,0.0,config,default,LR,LinearModel,tabarena-2025-10-20
