method,elo,elo+,elo-,rank,winrate,improvability,improvability+,improvability-,mrr,rank=1_count,rank=2_count,rank=3_count,rank>3_count,time_train_s,time_infer_s,time_train_s_per_1K,time_infer_s_per_1K,normalized-error,normalized-error-task,imputed,median_rank,median_improvability,median_loss_rescaled,median_metric_error,median_time_train_s,median_time_infer_s,median_time_train_s_per_1K,median_time_infer_s_per_1K,median_normalized-error,median_normalized-error-task,median_imputed,method_type,method_subtype,config_type,ta_name,ta_suite
"AutoGluon 1.5 (extreme, 4h)",1695.1,73.9,59.9,7.314705882352942,0.88723737,0.04418167685001077,0.01956053142261202,0.014898192817628976,0.3280444470219281,7.944444444444445,4.961111111111111,5.694444444444445,32.4,3781.2631893646744,28.548287265181283,414.16720069135147,6.484215904937491,0.21297798597369877,0.27810011675391266,0.0,5.666666666666667,0.021692774275776476,0.020873533340750264,0.20992072650783225,2459.9611043665145,12.99945871035258,289.07302181798457,4.030576938465613,0.18109596484539087,0.26240496906558397,0.0,baseline,,,AutoGluon_v150_eq_4h8c,tabarena-2025-12-18
"AutoGluon 1.4 (extreme, 4h)",1638.2,53.4,45.9,9.223420479302833,0.85315317,0.07231430640510786,0.059057353070601726,0.029612662899489627,0.21620833957080232,2.9555555555555557,3.5999999999999996,3.8,40.644444444444446,4904.547390341188,42.352759216190165,769.6653778271032,8.545926453338874,0.2946776832133123,0.3642531539204005,0.0,8.166666666666666,0.027467218994844007,0.035556129325507,0.20504584119581828,2763.144729508294,13.741016403834026,582.2056331934881,6.11556665349833,0.26630434643201234,0.3408221419408969,0.0,baseline,,,AutoGluon_v140_eq_4h8c,tabarena-2025-11-01
REALTABPFN-V2.5 (tuned + ensemble),1603.3,79.0,55.6,10.580065359477125,0.82892746,0.07059805456515328,0.03681491413592408,0.02358241663034244,0.24658423475944982,4.094444444444444,5.983333333333333,4.177777777777778,36.74444444444445,18812.68367108447,176.09942544389654,2790.8769341088378,21.56171377578179,0.33533229087247185,0.3992438446002913,0.0,9.444444444444445,0.026640096868489956,0.03536944224212357,0.2108397717843116,7147.794862349828,22.48903277185228,2040.2228420972824,8.919584799004367,0.2700585112895812,0.3554174862381483,0.0,hpo,tuned_ensemble,REALTABPFN-V2.5,RealTabPFN-v2.5,tabarena-2025-11-12
TABICLV2 (default),1598.3,69.2,59.1,10.787472766884532,0.8252238,0.06502773669475366,0.04478429143734371,0.02928324569967601,0.32962539491630866,10.355555555555556,3.3555555555555556,2.6777777777777776,34.611111111111114,32.34858360654129,1.921872303272904,9.715168563577237,0.6984572740530532,0.26696237337183204,0.3621772235771865,0.0,6.777777777777778,0.02519622519176834,0.03229739431650539,0.20413691109399265,11.114966101116604,0.6410409874386258,4.0178695506295234,0.3814798791867088,0.15508318500493953,0.26725866089293804,0.0,config,default,TABICLV2,TabICLv2,tabarena-2026-02-16
REALTABPFN-V2.5 (tuned),1558.3,65.6,48.7,12.537254901960784,0.7939776,0.0778162701627605,0.04074592654878817,0.025384663626698924,0.18884166529691668,2.3277777777777775,3.3499999999999996,4.111111111111111,41.21111111111111,18812.68367108447,16.889688710034022,2790.8769341088378,1.8792879328136953,0.3901294113092621,0.44400986724158487,0.0,11.444444444444445,0.03282575022920046,0.041304346180832265,0.21104590425149317,7147.794862349828,2.531904829872979,2040.2228420972824,1.2182605993016282,0.38644427343161325,0.4492687968765743,0.0,hpo,tuned,REALTABPFN-V2.5,RealTabPFN-v2.5,tabarena-2025-11-12
REALTABPFN-V2.5 (default),1526.8,66.4,45.1,14.048257080610021,0.7669954,0.08364758153432043,0.045872988348848884,0.02442655782367792,0.14348709603208562,1.0999999999999999,1.711111111111111,2.3555555555555556,45.833333333333336,69.93971782442271,11.313600946563522,8.23424538328186,1.3503570899733888,0.4191067666850216,0.5028451065102968,0.0,11.944444444444445,0.043201004695390614,0.0496363691425651,0.2107459099079271,16.303798119227093,1.6366738743252225,5.809757912417686,0.6449838641962012,0.33709395743367293,0.48723952878534693,0.0,config,default,REALTABPFN-V2.5,RealTabPFN-v2.5,tabarena-2025-11-12
REALMLP_GPU (tuned + ensemble),1503.1,52.7,43.9,15.26263616557734,0.74531,0.10057013038478271,0.05333145956258328,0.03677215704575741,0.1092878049842443,0.5333333333333333,1.011111111111111,0.8666666666666666,48.58888888888889,31719.44919024875,32.553275945295695,3920.934059553329,25.038123040279135,0.5183082547892508,0.5614890569092557,0.0,14.466666666666667,0.05749713166915728,0.06629669684470191,0.20480583678759645,12996.487454917697,22.297109524408977,2950.724447694827,11.988335415936898,0.5319971656967356,0.5464651493409011,0.0,hpo,tuned_ensemble,REALMLP_GPU,RealMLP_GPU,tabarena-2025-09-03
"AutoGluon 1.4 (best, 4h)",1502.9,51.9,45.3,15.275054466230937,0.7450883,0.10047027681062376,0.059215725494628946,0.03682001713541144,0.1403203270996077,1.0888888888888888,3.388888888888889,1.3777777777777778,45.144444444444446,9137.802845361031,33.47803166302201,3374.761692642337,3.8804932533372267,0.5313945360920432,0.5366848418057347,0.0,14.0,0.04492256471471285,0.06181467200757987,0.20456891407749778,8083.799419138167,3.942126883400811,1735.7213389822807,2.5594394104544436,0.5078700922451135,0.562392419851298,0.0,baseline,,,AutoGluon_v140_bq_4h8c,tabarena-2025-11-01
TABDPT_GPU (tuned + ensemble),1455.8,59.6,49.1,17.859150326797383,0.69894373,0.10568086571748002,0.04300984873705323,0.03648340917588988,0.16524614133121915,3.2222222222222223,2.422222222222222,2.0888888888888886,43.266666666666666,65531.246287913156,3150.928909202443,5054.894167814876,299.49523552266703,0.557492083090309,0.5834126113342903,0.0,16.85,0.05593942488761261,0.06304447401840498,0.21281804879745236,27628.197782039642,654.6756100389692,4907.644764608851,286.6520396515387,0.5354702970011463,0.5524293290121342,0.0,hpo,tuned_ensemble,TABDPT_GPU,TabDPT_GPU,tabarena-2025-10-20
TABM_GPU (tuned + ensemble),1437.5,48.6,37.8,18.916122004357298,0.68006927,0.115381045956276,0.05356242443985705,0.035487443861460785,0.09260437685834326,0.3555555555555555,1.2333333333333334,1.922222222222222,47.48888888888889,36462.58337058756,8.791583087761158,5017.258422060137,3.1802055454964386,0.6386592871424375,0.6556540640014656,0.0,17.633333333333333,0.05615432723255279,0.08251948615075727,0.20535002384358605,8420.993191123009,2.7141049438052707,3285.8688373170553,1.4723486146222118,0.6276581192968512,0.6489393687737296,0.0,hpo,tuned_ensemble,TABM_GPU,TabM_GPU,tabarena-2025-06-12
